q      	H_200-H_21   	H_200-C_7    	C_100-N_2    	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	H_100-N_2    	C_100-H_19   	H_200-H_16   	C_100-C_3    	C_100-H_24   	H_100-C_14   	C_100-C_13   	C_100-H_15   	H_200-H_22   	H_100-H_23   	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_8    	H_200-C_12   	C_100-C_8    	C_100-C_5    	H_200-C_3    	C_100-C_10   	H_100-C_13   	H_200-C_5    	H_100-H_17   	C_100-N_1    	H_100-H_24   	H_100-C_8    	H_200-H_15   	C_100-C_7    	C_100-H_22   	H_200-H_23   	H_200-C_11   	C_100-H_17   	H_100-C_7    	C_100-C_14   	H_100-C_12   	C_100-H_21   	H_200-H_24   	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	H_100-N_1    	C_100-C_11   	H_100-H_16   	H_200-N_1    	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	C_100-H_23   	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	H_200-N_2    	C_100-H_18  
7.575 	-4.17371e-06	-7.56452e-05	0.0082395   	-0.00931634 	-1.38855e-05	-0.000694578	-0.000307702	0.00105961  	0.000255883 	-8.75801e-06	-0.0130492  	0.000822329 	-0.000530023	-0.020583   	-0.000346854	6.98685e-06 	-1.21937e-05	-0.000795895	0.000191891 	-5.3006e-06 	-0.000235035	-0.000107175	-0.0294215  	-0.0379852  	-0.000297177	-0.017849   	-9.64985e-05	-0.000261503	4.63924e-06 	0.00922131  	1.47623e-06 	-0.000485653	-1.16312e-06	-0.0241916  	5.99694e-05 	-1.27997e-05	5.98557e-05 	-8.95479e-05	-0.00106178 	-0.0201672  	-0.000523212	-2.34426e-05	4.54886e-06 	0.0135009   	4.47442e-06 	0.0002605   	-0.00045353 	0.000451347 	-0.0206012  	-4.02271e-06	-0.000130405	-0.000513108	-0.0194897  	9.00095e-06 	-1.68572e-06	-0.000228484	-9.78354e-06	5.2903e-06  	0.000379551 	-0.000707925	-6.34787e-07	-0.000117827	-9.02452e-06	-0.000221731	-1.2653e-05 	-0.0275964  	-0.000438321	0.000149408 	3.73947e-06 	-0.000427438	0.000337825 	0.000285057 
7.585 	-2.25583e-06	-4.02386e-05	0.00648053  	-0.00908859 	-1.33721e-05	-0.000617996	-0.00031743 	0.00102718  	0.00031304  	-7.06047e-06	-0.011523   	0.000753008 	-0.000513338	-0.0190521  	-0.00027219 	8.53615e-06 	-1.34461e-05	-0.00079946 	0.000232857 	-3.4931e-06 	-0.000211902	-2.00024e-05	-0.0310598  	-0.0334538  	-0.000267374	-0.0162624  	-0.00016837 	-0.000154066	4.67873e-06 	0.00956236  	3.39224e-06 	-0.000504438	1.48398e-06 	-0.020516   	7.00722e-05 	-1.13721e-05	7.06705e-05 	-0.0001177  	-0.00107666 	-0.0163508  	-0.000432004	7.86945e-05 	3.71712e-06 	0.0158627   	6.06056e-06 	0.000285773 	-0.000431659	0.000408542 	-0.0173856  	-4.51404e-06	-0.000135144	-0.000540811	-0.0154655  	9.80072e-06 	-1.3517e-06 	-0.000105833	-8.8497e-06 	4.85509e-06 	0.000345185 	-0.000639495	-9.29858e-07	-9.24613e-05	-3.0245e-05 	-0.000193388	-1.26772e-05	-0.0214082  	-0.000463049	0.00017057  	4.77336e-06 	-0.000460027	0.000402124 	0.000245889 
7.595 	-1.08595e-07	-9.13188e-06	0.00432429  	-0.0087975  	-1.26173e-05	-0.000529003	-0.000324094	0.000979048 	0.00037002  	-5.11964e-06	-0.00965303 	0.000678729 	-0.000494653	-0.0172323  	-0.00018907 	1.00178e-05 	-1.44907e-05	-0.000793841	0.00027539  	-1.57821e-06	-0.000188512	6.99417e-05 	-0.032689   	-0.0281702  	-0.000229038	-0.0143964  	-0.000241463	-4.3131e-05 	4.76576e-06 	0.00953006  	5.12741e-06 	-0.000518142	4.15137e-06 	-0.0167538  	9.14545e-05 	-9.78067e-06	8.5244e-05  	-0.00013999 	-0.00107874 	-0.0123403  	-0.000336179	0.000190332 	2.98881e-06 	0.0176857   	7.55775e-06 	0.00030404  	-0.000405268	0.000364903 	-0.0136643  	-4.851e-06  	-0.000130489	-0.000562966	-0.0114645  	1.0432e-05  	-1.0332e-06 	1.10454e-05 	-7.71226e-06	4.48131e-06 	0.000307701 	-0.000560671	-1.2883e-06 	-6.15526e-05	-5.31448e-05	-0.000164737	-1.24455e-05	-0.0151014  	-0.000477364	0.000189487 	5.60841e-06 	-0.000492135	0.000459858 	0.00019363  
7.605 	2.21621e-06 	1.65081e-05 	0.00181523  	-0.00847578 	-1.16518e-05	-0.000430283	-0.00032731 	0.00091553  	0.000425127 	-2.99044e-06	-0.00749355 	0.000601504 	-0.000474183	-0.0151958  	-0.00010066 	1.14032e-05 	-1.52996e-05	-0.000779525	0.000318512 	4.08371e-07 	-0.000164909	0.00016087  	-0.0342658  	-0.0223052  	-0.000183941	-0.0123029  	-0.000314441	6.72844e-05 	4.89611e-06 	0.00910824  	6.65537e-06 	-0.0005263  	6.75905e-06 	-0.0130277  	0.000122233 	-8.06049e-06	0.000103098 	-0.00015579 	-0.00106825 	-0.00824701 	-0.000238124	0.000307791 	2.37996e-06 	0.0189032   	8.92324e-06 	0.000314017 	-0.000374895	0.000321512 	-0.00955091 	-5.00762e-06	-0.000116814	-0.000580175	-0.0076208  	1.08888e-05 	-7.10918e-07	0.000120334 	-6.40118e-06	4.1839e-06  	0.000268898 	-0.000473058	-1.69019e-06	-2.74883e-05	-7.75311e-05	-0.00013698 	-1.19707e-05	-0.0088749  	-0.000481103	0.000205386 	6.23307e-06 	-0.000522905	0.000509167 	0.000130938 
7.615 	4.66013e-06 	3.57375e-05 	-0.00098898 	-0.00815688 	-1.0511e-05 	-0.000324813	-0.000326858	0.000837389 	0.000476718 	-7.34413e-07	-0.00510826 	0.000523367 	-0.000452188	-0.0130208  	-1.02885e-05	1.26662e-05 	-1.58515e-05	-0.000757225	0.000361203 	2.42847e-06 	-0.000141158	0.000250867 	-0.0357423  	-0.0160484  	-0.000134069	-0.010043   	-0.000386001	0.000173153 	5.06249e-06 	0.00829095  	7.95587e-06 	-0.000528629	9.22828e-06 	-0.00945768 	0.00016013  	-6.24828e-06	0.000123546 	-0.00016467 	-0.0010458  	-0.00418708 	-0.000140283	0.000427112 	1.90219e-06 	0.0194627   	1.0118e-05  	0.00031467  	-0.000341232	0.000279394 	-0.00517462 	-4.96437e-06	-9.47855e-05	-0.000593134	-0.0040651  	1.11699e-05 	-3.67808e-07	0.000220404 	-4.95087e-06	3.97373e-06 	0.000230584 	-0.000378557	-2.11403e-06	7.21663e-06 	-0.000103153	-0.000111249	-1.12707e-05	-0.00292231 	-0.00047439 	0.000217507 	6.6425e-06  	-0.000551517	0.000548476 	6.07942e-05 
7.625 	7.16018e-06 	4.78736e-05 	-0.00401937 	-0.00787354 	-9.23314e-06	-0.000215762	-0.00032268 	0.000745801 	0.000523253 	1.58272e-06 	-0.00256791 	0.000446311 	-0.000428958	-0.0107883  	7.86864e-05 	1.37839e-05 	-1.61324e-05	-0.000727837	0.000402434 	4.44266e-06 	-0.000117343	0.000337954 	-0.0370677  	-0.00960204 	-8.15462e-05	-0.00768429 	-0.00045489 	0.00027059  	5.25513e-06 	0.00708237  	9.01536e-06 	-0.000525037	1.14846e-05 	-0.0061564  	0.000202584 	-4.38114e-06	0.000145727 	-0.000166405	-0.00101228 	-0.000277506	-4.50871e-05	0.000544202 	1.56255e-06 	0.0193289   	1.11084e-05 	0.000305257 	-0.000305084	0.000239485 	-0.000674889	-4.70865e-06	-6.53412e-05	-0.000602585	-0.000919857	1.12791e-05 	1.01038e-08 	0.000309851 	-3.39898e-06	3.85754e-06 	0.000194513 	-0.000279306	-2.53719e-06	4.00257e-05 	-0.000129707	-8.85611e-05	-1.03677e-05	0.00257476  	-0.000457629	0.000225145 	6.83881e-06 	-0.000577206	0.000576539 	-1.36134e-05
7.635 	9.65106e-06 	5.25238e-05 	-0.00719788 	-0.00765634 	-7.85761e-06	-0.000106387	-0.000314874	0.000642328 	0.000563355 	3.89356e-06 	5.21758e-05 	0.000372236 	-0.000404804	-0.00857816 	0.000163017 	1.47374e-05 	-1.61354e-05	-0.000692406	0.00044121  	6.41146e-06 	-9.35678e-05	0.000420147 	-0.0381892  	-0.00317269 	-2.85613e-05	-0.00529868 	-0.000519917	0.000355999 	5.46246e-06 	0.00549646  	9.82739e-06 	-0.000515613	1.34606e-05 	-0.00322525 	0.000246868 	-2.49555e-06	0.000168652 	-0.000160994	-0.000968854	0.0033681   	4.51171e-05 	0.000654987 	1.36361e-06 	0.0184855   	1.18675e-05 	0.00028537  	-0.000267338	0.000202609 	0.0038045   	-4.23505e-06	-2.96567e-05	-0.000609275	0.0017057   	1.12244e-05 	4.33027e-07 	0.00038753  	-1.78494e-06	3.83787e-06 	0.00016233  	-0.000177606	-2.93639e-06	6.8486e-05  	-0.000156846	-6.97717e-05	-9.28738e-06	0.00745367  	-0.000431475	0.000227684 	6.83105e-06 	-0.000599279	0.00059247  	-8.90178e-05
7.645 	1.20675e-05 	4.96028e-05 	-0.0104399  	-0.00753226 	-6.42367e-06	7.35622e-08 	-0.000303682	0.000528871 	0.000595855 	6.1316e-06  	0.00267488  	0.000302886 	-0.000380052	-0.00646621 	0.000239692 	1.55125e-05 	-1.58604e-05	-0.000652076	0.000476605 	8.29655e-06 	-6.9954e-05 	0.000495529 	-0.0390542  	0.00303581  	2.27182e-05 	-0.00295907 	-0.000579966	0.000426208 	5.67184e-06 	0.00355641  	1.03928e-05 	-0.000500618	1.50985e-05 	-0.000750628	0.000290222 	-6.26352e-07	0.000191244 	-0.00014865 	-0.0009169  	0.00664346  	0.000128137 	0.000755567 	1.30368e-06 	0.016936    	1.23761e-05 	0.000254955 	-0.000228914	0.000169452 	0.00812131  	-3.54533e-06	1.08932e-05 	-0.000613914	0.00371993  	1.10178e-05 	9.06938e-07 	0.000452578 	-1.48605e-07	3.91324e-06 	0.000135512 	-7.58445e-05	-3.28822e-06	9.03295e-05 	-0.000184184	-5.55384e-05	-8.0576e-06 	0.0115767   	-0.000396808	0.000224634 	6.63503e-06 	-0.000617125	0.000595769 	-0.000162196
7.655 	1.43464e-05 	3.93378e-05 	-0.0136571  	-0.00752351 	-4.96886e-06	0.000100506 	-0.00028948 	0.000407621 	0.000619834 	8.23364e-06 	0.00522392  	0.000239805 	-0.000355026	-0.00452075 	0.000306058 	1.60999e-05 	-1.53142e-05	-0.000608049	0.000507796 	1.0062e-05  	-4.66412e-05	0.000562306 	-0.039611   	0.0088299   	7.02218e-05 	-0.000736677	-0.00063401 	0.000478592 	5.87028e-06 	0.00129396  	1.07196e-05 	-0.000480471	1.63521e-05 	0.00119914  	0.000329974 	1.19412e-06 	0.000212389 	-0.000129802	-0.000857931	0.00945341  	0.000201996 	0.000842357 	1.37708e-06 	0.0147051   	1.26239e-05 	0.000214332 	-0.000190731	0.000140546 	0.0121406   	-2.64819e-06	5.47802e-05 	-0.00061713 	0.00505252  	1.06743e-05 	1.43331e-06 	0.000504432 	1.47117e-06 	4.07848e-06 	0.000115325 	2.35841e-05 	-3.56967e-06	0.000103565 	-0.000211316	-4.62931e-05	-6.70762e-06	0.0148363   	-0.000354692	0.000215659 	6.27286e-06 	-0.000630232	0.000586328 	-0.00023009 
7.665 	1.64292e-05 	2.2262e-05  	-0.0167602  	-0.00764645 	-3.52787e-06	0.00019202  	-0.00027275 	0.000280997 	0.000634651 	1.01421e-05 	0.00762644  	0.000184292 	-0.000330039	-0.00280005 	0.000359919 	1.64955e-05 	-1.45094e-05	-0.000561534	0.000534094 	1.16752e-05 	-2.37857e-05	0.000618873 	-0.0398112  	0.0140332   	0.000112051 	0.00130169  	-0.000681121	0.000511167 	6.04519e-06 	-0.00125154 	1.08226e-05 	-0.000455723	1.71889e-05 	0.00257627  	0.000363658 	2.93679e-06 	0.000230985 	-0.000105076	-0.000793548	0.0117173   	0.000264995 	0.00091222  	1.57454e-06 	0.0118383   	1.26097e-05 	0.000164189 	-0.000153663	0.000116257 	0.0157401   	-1.55886e-06	0.000100371 	-0.000619445	0.00565748  	1.02119e-05 	2.00908e-06 	0.000542839 	3.03784e-06 	4.32507e-06 	0.000102781 	0.000118356 	-3.7587e-06 	0.000106558 	-0.000237818	-4.2223e-05 	-5.26697e-06	0.0171586   	-0.000306343	0.000200602 	5.77231e-06 	-0.000638194	0.000564429 	-0.000289918
7.675 	1.82636e-05 	-8.03837e-07	-0.019662   	-0.00791083 	-2.13138e-06	0.000272042 	-0.000254061	0.000151574 	0.00063997  	1.18069e-05 	0.00981547  	0.00013737  	-0.000305391	-0.00135012 	0.000399624 	1.67007e-05 	-1.34638e-05	-0.000513708	0.000554961 	1.3108e-05  	-1.55876e-06	0.000663859 	-0.0396111  	0.0184927   	0.000146544 	0.0030962   	-0.00072048 	0.000522669 	6.18509e-06 	-0.00403411 	1.07233e-05 	-0.000427038	1.75905e-05 	0.00335516  	0.000389128 	4.57647e-06 	0.000245992 	-7.52766e-05	-0.000725375	0.0133716   	0.000315756 	0.000962585 	1.88376e-06 	0.00840125  	1.23418e-05 	0.000105569 	-0.000118508	9.67783e-05 	0.018815    	-2.98426e-07	0.000145979 	-0.000621241	0.00551519  	9.64997e-06 	2.62679e-06 	0.000567854 	4.51832e-06 	4.64169e-06 	9.86104e-05 	0.000206292 	-3.83477e-06	9.80981e-05 	-0.000263271	-4.32624e-05	-3.76455e-06	0.0185064   	-0.000253078	0.000179506 	5.16595e-06 	-0.000640713	0.000530729 	-0.00033927 
