q      	cage        
2.775 	-31.1196    
2.785 	-30.238     
2.795 	-29.0673    
2.805 	-27.6098    
2.815 	-25.8783    
2.825 	-23.8951    
2.835 	-21.6915    
2.845 	-19.3057    
2.855 	-16.7822    
2.865 	-14.1694    
2.875 	-11.518     
2.885 	-8.87903    
2.895 	-6.30213    
2.905 	-3.83381    
2.915 	-1.51582    
2.925 	0.61611     
2.935 	2.5334      
2.945 	4.21533     
2.955 	5.64953     
2.965 	6.83205     
2.975 	7.76719     
2.985 	8.46698     
2.995 	8.9504      
3.005 	9.24236     
3.015 	9.37246     
3.025 	9.37369     
3.035 	9.28099     
3.045 	9.12975     
3.055 	8.95447     
3.065 	8.78737     
3.075 	8.65722     
3.085 	8.58833     
3.095 	8.59973     
3.105 	8.70463     
3.115 	8.9101      
3.125 	9.21702     
3.135 	9.62026     
3.145 	10.1091     
3.155 	10.6681     
3.165 	11.2773     
3.175 	11.9142     
3.185 	12.5538     
3.195 	13.1703     
3.205 	13.7383     
3.215 	14.2335     
3.225 	14.634      
3.235 	14.9212     
3.245 	15.0805     
3.255 	15.1017     
3.265 	14.9797     
3.275 	14.7146     
3.285 	14.3114     
3.295 	13.7802     
3.305 	13.1351     
3.315 	12.3946     
3.325 	11.5799     
3.335 	10.7146     
3.345 	9.82367     
3.355 	8.93244     
3.365 	8.0657      
3.375 	7.24678     
3.385 	6.49668     
3.395 	5.83339     
3.405 	5.27121     
3.415 	4.82036     
3.425 	4.48668     
3.435 	4.27147     
3.445 	4.17162     
3.455 	4.17978     
3.465 	4.28476     
3.475 	4.47206     
3.485 	4.72451     
3.495 	5.02298     
3.505 	5.34717     
3.515 	5.67643     
3.525 	5.99054     
3.535 	6.2705      
3.545 	6.49923     
3.555 	6.66218     
3.565 	6.74786     
3.575 	6.74816     
3.585 	6.65865     
3.595 	6.4786      
3.605 	6.21098     
3.615 	5.86223     
3.625 	5.44195     
3.635 	4.96242     
3.645 	4.43811     
3.655 	3.88504     
3.665 	3.3201      
3.675 	2.76042     
3.685 	2.22269     
3.695 	1.72247     
3.705 	1.27366     
3.715 	0.887973    
3.725 	0.574502    
3.735 	0.339451    
3.745 	0.18593     
3.755 	0.113896    
3.765 	0.120215    
3.775 	0.198838    
3.785 	0.341094    
3.795 	0.536066    
3.805 	0.771054    
3.815 	1.0321      
3.825 	1.30453     
3.835 	1.57356     
3.845 	1.82481     
3.855 	2.0449      
3.865 	2.22189     
3.875 	2.34574     
3.885 	2.40862     
3.895 	2.40519     
3.905 	2.33271     
3.915 	2.19111     
3.925 	1.98293     
3.935 	1.71317     
3.945 	1.38899     
3.955 	1.01945     
3.965 	0.615078    
3.975 	0.187428    
3.985 	-0.251376   
3.995 	-0.689133   
4.005 	-1.11404    
4.015 	-1.51512    
4.025 	-1.88268    
4.035 	-2.20859    
4.045 	-2.48662    
4.055 	-2.71259    
4.065 	-2.88453    
4.075 	-3.00268    
4.085 	-3.06942    
4.095 	-3.08912    
4.105 	-3.06795    
4.115 	-3.01358    
4.125 	-2.93481    
4.135 	-2.84121    
4.145 	-2.74274    
4.155 	-2.64929    
4.165 	-2.57032    
4.175 	-2.51447    
4.185 	-2.4892     
4.195 	-2.50055    
4.205 	-2.55286    
4.215 	-2.64865    
4.225 	-2.78853    
4.235 	-2.9712     
4.245 	-3.19349    
4.255 	-3.45055    
4.265 	-3.736      
4.275 	-4.04223    
4.285 	-4.36071    
4.295 	-4.6823     
4.305 	-4.99759    
4.315 	-5.29734    
4.325 	-5.57273    
4.335 	-5.81575    
4.345 	-6.01948    
4.355 	-6.17832    
4.365 	-6.28819    
4.375 	-6.34668    
4.385 	-6.35306    
4.395 	-6.30833    
4.405 	-6.21512    
4.415 	-6.07758    
4.425 	-5.90117    
4.435 	-5.69244    
4.445 	-5.45876    
4.455 	-5.20799    
4.465 	-4.94823    
4.475 	-4.68743    
4.485 	-4.4331     
4.495 	-4.19207    
4.505 	-3.97018    
4.515 	-3.77209    
4.525 	-3.60111    
4.535 	-3.4591     
4.545 	-3.34639    
4.555 	-3.26184    
4.565 	-3.20285    
4.575 	-3.16553    
4.585 	-3.14481    
4.595 	-3.13472    
4.605 	-3.1286     
4.615 	-3.11936    
4.625 	-3.0998     
4.635 	-3.06285    
4.645 	-3.00191    
4.655 	-2.91105    
4.665 	-2.78526    
4.675 	-2.62067    
4.685 	-2.41466    
4.695 	-2.16599    
4.705 	-1.87486    
4.715 	-1.54287    
4.725 	-1.173      
4.735 	-0.769523   
4.745 	-0.337796   
4.755 	0.115863    
4.765 	0.58442     
4.775 	1.06036     
4.785 	1.53592     
4.795 	2.00339     
4.805 	2.45531     
4.815 	2.88473     
4.825 	3.28543     
4.835 	3.65209     
4.845 	3.98044     
4.855 	4.26735     
4.865 	4.51093     
4.875 	4.7105      
4.885 	4.86659     
4.895 	4.98087     
4.905 	5.05601     
4.915 	5.09559     
4.925 	5.10389     
4.935 	5.08571     
4.945 	5.04618     
4.955 	4.99051     
4.965 	4.92386     
4.975 	4.85109     
4.985 	4.77661     
4.995 	4.70419     
5.005 	4.63692     
5.015 	4.57705     
5.025 	4.52596     
5.035 	4.48415     
5.045 	4.45125     
5.055 	4.42611     
5.065 	4.40684     
5.075 	4.39093     
5.085 	4.37541     
5.095 	4.357       
5.105 	4.33224     
5.115 	4.29769     
5.125 	4.25006     
5.135 	4.18636     
5.145 	4.10407     
5.155 	4.00121     
5.165 	3.87645     
5.175 	3.72917     
5.185 	3.55948     
5.195 	3.36824     
5.205 	3.157       
5.215 	2.92796     
5.225 	2.68391     
5.235 	2.42808     
5.245 	2.16406     
5.255 	1.89565     
5.265 	1.62673     
5.275 	1.3611      
5.285 	1.10237     
5.295 	0.853837    
5.305 	0.618366    
5.315 	0.3983      
5.325 	0.195398    
5.335 	0.0107913   
5.345 	-0.155038   
5.355 	-0.302244   
5.365 	-0.431587   
5.375 	-0.544377   
5.385 	-0.642397   
5.395 	-0.727809   
5.405 	-0.803051   
5.415 	-0.870717   
5.425 	-0.933447   
5.435 	-0.993802   
5.445 	-1.05416    
5.455 	-1.11662    
5.465 	-1.18291    
5.475 	-1.25431    
5.485 	-1.33161    
5.495 	-1.41511    
5.505 	-1.50458    
5.515 	-1.59929    
5.525 	-1.69805    
5.535 	-1.79926    
5.545 	-1.901      
5.555 	-2.00112    
5.565 	-2.0973     
5.575 	-2.18718    
5.585 	-2.26849    
5.595 	-2.33908    
5.605 	-2.39707    
5.615 	-2.44091    
5.625 	-2.46944    
5.635 	-2.48195    
5.645 	-2.47822    
5.655 	-2.4585     
5.665 	-2.42353    
5.675 	-2.37452    
5.685 	-2.31305    
5.695 	-2.24106    
5.705 	-2.16078    
5.715 	-2.07459    
5.725 	-1.98497    
5.735 	-1.89438    
5.745 	-1.80521    
5.755 	-1.71964    
5.765 	-1.63956    
5.775 	-1.56655    
5.785 	-1.50177    
5.795 	-1.44596    
5.805 	-1.39939    
5.815 	-1.36188    
5.825 	-1.33282    
5.835 	-1.31116    
5.845 	-1.29553    
5.855 	-1.28425    
5.865 	-1.2754     
5.875 	-1.26698    
