q      	H_200-H_21   	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	C_100-H_19   	H_200-H_16   	C_100-C_3    	C_100-H_24   	H_100-C_14   	C_100-C_13   	C_100-H_15   	H_100-C_1    	H_200-H_22   	H_100-N_7    	H_100-H_23   	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_2    	H_200-C_12   	C_100-C_5    	H_200-C_3    	C_100-C_10   	H_100-C_13   	H_100-C_2    	C_100-C_2    	H_100-N_8    	H_200-C_5    	H_100-H_17   	H_100-H_24   	H_200-H_15   	C_100-H_22   	H_200-N_7    	H_200-H_23   	H_200-C_11   	C_100-H_17   	C_100-C_1    	H_200-C_1    	C_100-N_7    	C_100-C_14   	H_100-C_12   	C_100-H_21   	H_200-N_8    	H_200-H_24   	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	C_100-C_11   	H_100-H_16   	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	C_100-H_23   	C_100-N_8    	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	C_100-H_18  
0.005 	-6.79045    	-574.371    	-4.87369    	-34.4318    	-31.5181    	-19.6973    	-5.40194    	-454.498    	-19.1579    	-27.4868    	-227.92     	-23.8453    	-28.6806    	-4.60737    	-31.9549    	-4.42176    	-27.129     	-29.8272    	-4.8547     	-47.6874    	-38.397     	-473.705    	-54.5648    	-480.612    	-24.9493    	-32.999     	-377.145    	-31.2942    	-53.5425    	-5.38573    	-3.9844     	-4.44912    	-20.1528    	-46.8629    	-3.9003     	-49.6923    	-52.6067    	-407.366    	-49.1047    	-295.989    	-294.114    	-26.1197    	-36.9579    	-46.0066    	-4.151      	-372.369    	-3.21865    	-54.2795    	-24.601     	-402.076    	-5.76373    	-32.4044    	-277.877    	-3.79262    	-6.9468     	-31.1927    	-5.78713    	-6.42623    	-20.8303    	-340.422    	-43.0962    	-3.571      	-54.5425    	-58.9024    	-44.2015    	-3.46097    	-488.77     	-39.3529    	-34.3088    	-6.00508    	-22.7776    	-39.1671    
0.015 	-6.85615    	-573.508    	-4.98489    	-34.9648    	-32.1646    	-20.5275    	-5.51088    	-455.192    	-19.9676    	-28.152     	-230.935    	-24.6217    	-29.3884    	-4.69656    	-32.7839    	-4.5222     	-27.806     	-30.5177    	-4.96293    	-48.1619    	-38.8449    	-474.202    	-54.946     	-480.451    	-25.6033    	-33.646     	-378.842    	-32.1112    	-53.9496    	-5.48589    	-4.10507    	-4.57209    	-20.7942    	-47.5187    	-4.00873    	-50.0083    	-52.9935    	-408.68     	-49.5659    	-299.73     	-296.55     	-26.7269    	-37.4237    	-46.6636    	-4.27318    	-374.156    	-3.3303     	-54.5838    	-25.2413    	-402.735    	-5.86117    	-33.0342    	-280.04     	-3.92698    	-7.03416    	-31.854     	-5.8804     	-6.52407    	-21.5242    	-343.476    	-43.5693    	-3.68883    	-54.8765    	-59.2294    	-44.7341    	-3.56517    	-488.687    	-39.8539    	-34.924     	-6.10326    	-23.4784    	-39.745     
0.025 	-6.98635    	-571.81     	-5.2052     	-36.0215    	-33.4447    	-22.1716    	-5.72634    	-456.575    	-21.5713    	-29.4699    	-236.913    	-26.1584    	-30.7899    	-4.8732     	-34.4259    	-4.72109    	-29.1473    	-31.8834    	-5.17718    	-49.1023    	-39.7328    	-475.193    	-55.7013    	-480.153    	-26.8986    	-34.9267    	-382.21     	-33.7297    	-54.7562    	-5.68402    	-4.34405    	-4.81548    	-22.0642    	-48.819     	-4.22351    	-50.6356    	-53.7587    	-411.294    	-50.4804    	-307.148    	-301.384    	-27.9293    	-38.3461    	-47.9662    	-4.51521    	-377.706    	-3.55125    	-55.1883    	-26.5092    	-404.051    	-6.05389    	-34.2804    	-284.33     	-4.19301    	-7.20694    	-33.1639    	-6.0652     	-6.7177     	-22.8986    	-349.538    	-44.508     	-3.92215    	-55.5405    	-59.8773    	-45.7897    	-3.77141    	-488.544    	-40.8469    	-36.1414    	-6.2976     	-24.8662    	-40.889     
0.035 	-7.1787     	-569.331    	-5.53049    	-37.5834    	-35.3326    	-24.5979    	-6.04355    	-458.629    	-23.9381    	-31.4154    	-245.748    	-28.4235    	-32.8574    	-5.13384    	-36.8491    	-5.01455    	-31.1277    	-33.8938    	-5.49308    	-50.4914    	-41.0455    	-476.679    	-56.8162    	-479.759    	-28.8098    	-36.8149    	-387.197    	-36.1191    	-55.9473    	-5.97577    	-4.6967     	-5.17427    	-23.9372    	-50.7409    	-4.54051    	-51.5649    	-54.8857    	-415.184    	-51.8331    	-318.119    	-308.544    	-29.7033    	-39.707     	-49.8915    	-4.87251    	-382.971    	-3.8769     	-56.0853    	-28.3795    	-406.023    	-6.33766    	-36.117     	-290.676    	-4.58543    	-7.46137    	-35.0973    	-6.33811    	-7.0031     	-24.9265    	-358.516    	-45.8974    	-4.26636    	-56.5259    	-60.8338    	-47.3489    	-4.07541    	-488.386    	-42.3143    	-37.9353    	-6.58409    	-26.9142    	-42.5753    
0.045 	-7.4297     	-566.151    	-5.95467    	-39.6233    	-37.7905    	-27.7594    	-6.45549    	-461.333    	-27.0225    	-33.952     	-257.287    	-31.3703    	-35.5504    	-5.4734     	-40.0066    	-5.39682    	-33.7102    	-36.5043    	-5.90418    	-52.3036    	-42.7603    	-478.656    	-58.2696    	-479.334    	-31.3       	-39.2721    	-393.728    	-39.2341    	-57.5008    	-6.35473    	-5.15619    	-5.64104    	-26.3758    	-53.2509    	-4.95366    	-52.7826    	-56.3502    	-420.314    	-53.6013    	-332.457    	-317.923    	-32.0139    	-41.4799    	-52.4061    	-5.33832    	-389.876    	-4.30047    	-57.263     	-30.8153    	-408.648    	-6.70623    	-38.5054    	-298.977    	-5.09645    	-7.79185    	-37.6171    	-6.69406    	-7.37431    	-27.5685    	-370.276    	-47.7152    	-4.71466    	-57.8203    	-62.0809    	-49.3835    	-4.4709     	-488.281    	-44.2301    	-40.268     	-6.95686    	-29.5827    	-44.769     
0.055 	-7.73481    	-562.371    	-6.46985    	-42.1057    	-40.7691    	-31.5952    	-6.95309    	-464.655    	-30.7655    	-37.032     	-271.327    	-34.9382    	-38.816     	-5.88529    	-43.8376    	-5.86045    	-36.8467    	-39.6573    	-6.40215    	-54.5059    	-44.8476    	-481.119    	-60.0338    	-478.956    	-34.3209    	-42.2481    	-401.702    	-43.0162    	-59.3879    	-6.81265    	-5.71367    	-6.20623    	-29.3313    	-56.3055    	-5.45508    	-54.2707    	-58.1206    	-426.632    	-55.7555    	-349.92     	-329.379    	-34.8158    	-43.63      	-55.4664    	-5.90387    	-398.328    	-4.81316    	-58.706     	-33.7686    	-411.919    	-7.15153    	-41.3958    	-309.096    	-5.71598    	-8.19118    	-40.6753    	-7.1265     	-7.82363    	-30.7735    	-384.639    	-49.9327    	-5.25824    	-59.4075    	-63.595     	-51.8568    	-4.94974    	-488.313    	-46.5602    	-43.0904    	-7.40828    	-32.8203    	-47.4252    
0.065 	-8.08851    	-558.109    	-7.06647    	-44.9875    	-44.2094    	-36.032     	-7.52542    	-468.557    	-35.096     	-40.598     	-287.627    	-39.0541    	-42.5906    	-6.36153    	-48.2689    	-6.39646    	-40.4791    	-43.2832    	-6.97693    	-57.0583    	-47.2716    	-484.06     	-62.0754    	-478.718    	-37.8144    	-45.6829    	-410.999    	-47.3946    	-61.5738    	-7.33954    	-6.35843    	-6.85828    	-32.745     	-59.8518    	-6.03525    	-56.0073    	-60.1587    	-434.077    	-58.2598    	-370.216    	-342.742    	-38.0545    	-46.1157    	-59.0196    	-6.55859    	-408.209    	-5.40437    	-60.3952    	-37.1814    	-415.825    	-7.66381    	-44.728     	-320.869    	-6.43188    	-8.65063    	-44.214     	-7.62747    	-8.34181    	-34.4798    	-401.391    	-52.5148    	-5.88649    	-61.2672    	-65.3475    	-54.7242    	-5.5021     	-488.576    	-49.2636    	-46.3439    	-7.92916    	-36.5648    	-50.4893    
0.075 	-8.48444    	-553.499    	-7.73355    	-48.2193    	-48.0433    	-40.9857    	-8.15997    	-472.992    	-39.9324    	-44.5839    	-305.904    	-43.6343    	-46.8012    	-6.89296    	-53.2163    	-6.99448    	-44.5406    	-47.3028    	-7.61694    	-59.9146    	-49.9908    	-487.468    	-64.3559    	-478.719    	-41.7139    	-49.5074    	-421.476    	-52.2879    	-64.0181    	-7.924      	-7.07824    	-7.58396    	-36.5497    	-63.8289    	-6.68323    	-57.9665    	-62.4206    	-442.573    	-61.073     	-393.008    	-357.811    	-41.6671    	-48.8889    	-63.0048    	-7.29031    	-419.383    	-6.06197    	-62.3084    	-40.9873    	-420.354    	-8.23194    	-48.4334    	-334.106    	-7.23022    	-9.16022    	-48.1665    	-8.18782    	-8.91819    	-38.6164    	-420.28     	-55.4207    	-6.58718    	-63.3757    	-67.3056    	-57.9345    	-6.11672    	-489.179    	-52.2928    	-49.9607    	-8.50894    	-40.7449    	-53.8992    
0.085 	-8.91549    	-548.684    	-8.45891    	-51.7456    	-52.1957    	-46.363     	-8.84296    	-477.904    	-45.1844    	-48.9165    	-325.847    	-48.5867    	-51.3673    	-7.46942    	-58.5868    	-7.64308    	-48.9573    	-51.6284    	-8.30942    	-63.0231    	-52.959     	-491.325    	-66.8321    	-479.065    	-45.9455    	-53.6454    	-432.973    	-57.606     	-66.6763    	-8.55342    	-7.85951    	-8.36865    	-40.6707    	-68.1688    	-7.38688    	-60.1194    	-64.8581    	-452.033    	-64.1485    	-417.918    	-374.364    	-45.5842    	-51.8966    	-67.3541    	-8.08557    	-431.696    	-6.77253    	-64.42      	-45.1126    	-425.483    	-8.84362    	-52.4357    	-348.592    	-8.09562    	-9.70893    	-52.4591    	-8.79738    	-9.54104    	-43.1049    	-441.025    	-58.6048    	-7.3468     	-65.7058    	-69.4324    	-61.4308    	-6.78115    	-490.23     	-55.5951    	-53.8663    	-9.13597    	-45.2816    	-57.586     
0.095 	-9.37396    	-543.808    	-9.22942    	-55.5065    	-56.586     	-52.0643    	-9.55964    	-483.23     	-50.7553    	-53.5172    	-347.118    	-53.8124    	-56.2024    	-8.07994    	-64.2804    	-8.32992    	-53.6495    	-56.1669    	-9.04066    	-66.3284    	-56.126     	-495.609    	-69.4576    	-479.857    	-50.4298    	-58.0153    	-445.315    	-63.252     	-69.5       	-9.21433    	-8.6877     	-9.19668    	-45.028     	-72.7982    	-8.13313    	-62.4339    	-67.4191    	-462.356    	-67.4363    	-444.538    	-392.155    	-49.7311    	-55.0813    	-71.9943    	-8.9299     	-444.976    	-7.5217     	-66.7017    	-49.4785    	-431.185    	-9.4857     	-56.6537    	-364.096    	-9.01161    	-10.285     	-57.0124    	-9.44519    	-10.1978    	-47.8609    	-463.318    	-62.0174    	-8.15084    	-68.2276    	-71.6879    	-65.1516    	-7.48204    	-491.836    	-59.1132    	-57.9809    	-9.79773    	-50.09      	-61.4761    
