q      	H_200-H_21   	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	C_100-H_19   	H_200-H_16   	C_100-C_3    	C_100-H_24   	H_100-C_14   	C_100-C_13   	C_100-H_15   	H_100-C_1    	H_200-H_22   	H_100-N_7    	H_100-H_23   	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_2    	H_200-C_12   	C_100-C_5    	H_200-C_3    	C_100-C_10   	H_100-C_13   	H_100-C_2    	C_100-C_2    	H_100-N_8    	H_200-C_5    	H_100-H_17   	H_100-H_24   	H_200-H_15   	C_100-H_22   	H_200-N_7    	H_200-H_23   	H_200-C_11   	C_100-H_17   	C_100-C_1    	H_200-C_1    	C_100-N_7    	C_100-C_14   	H_100-C_12   	C_100-H_21   	H_200-N_8    	H_200-H_24   	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	C_100-C_11   	H_100-H_16   	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	C_100-H_23   	C_100-N_8    	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	C_100-H_18  
0.105 	-9.85167    	-539.017    	-10.0313    	-59.4386    	-61.1298    	-57.9849    	-10.2947    	-488.899    	-56.544     	-58.3035    	-369.36     	-59.2085    	-61.2162    	-8.71305    	-70.1924    	-9.0421     	-58.5337    	-60.8213    	-9.7963     	-69.7717    	-59.4384    	-500.29     	-72.1831    	-481.193    	-55.0839    	-62.5318    	-458.31     	-69.124     	-72.4382    	-9.89268    	-9.54759    	-10.0517    	-49.5381    	-77.6394    	-8.90828    	-64.8756    	-70.0491    	-473.431    	-70.8828    	-472.435    	-410.925    	-54.0296    	-58.3832    	-76.8479    	-9.80815    	-459.041    	-8.29446    	-69.1227    	-54.0021    	-437.422    	-10.1445    	-61.0024    	-380.37     	-9.96102    	-10.876     	-61.7434    	-10.1197    	-10.8752    	-52.7964    	-486.828    	-65.6056    	-8.98408    	-70.9082    	-74.0301    	-69.0322    	-8.20544    	-494.098    	-62.7867    	-62.2214    	-10.4811    	-55.0813    	-65.4927    
0.115 	-10.3402    	-534.447    	-10.8503    	-63.4765    	-65.741     	-64.0184    	-11.0325    	-494.829    	-62.4472    	-63.191     	-392.204    	-64.6702    	-66.3164    	-9.35693    	-76.2158    	-9.76638    	-63.5241    	-65.4933    	-10.5617    	-73.2921    	-62.8411    	-505.329    	-74.9578    	-483.156    	-59.8227    	-67.1081    	-471.761    	-75.1179    	-75.4383    	-10.5742    	-10.4236    	-10.9172    	-54.1152    	-82.6124    	-9.69827    	-67.408     	-72.6927    	-485.133    	-74.4326    	-501.161    	-430.4      	-58.3997    	-61.7408    	-81.8352    	-10.7048    	-473.696    	-9.07554    	-71.65      	-58.5987    	-444.148    	-10.806     	-65.3952    	-397.154    	-10.9263    	-11.4694    	-66.5668    	-10.809     	-11.56      	-57.8209    	-511.211    	-69.3142    	-9.83097    	-73.7124    	-76.415     	-73.0061    	-8.93712    	-497.103    	-66.5532    	-66.5028    	-11.1729    	-60.1645    	-69.5573    
0.125 	-10.8309    	-530.223    	-11.6724    	-67.5535    	-70.3337    	-70.0581    	-11.7577    	-500.933    	-68.3616    	-68.0949    	-415.278    	-70.0932    	-71.4112    	-9.99974    	-82.2438    	-10.4895    	-68.5347    	-70.0856    	-11.3222    	-76.8284    	-66.2776    	-510.679    	-77.7301    	-485.814    	-64.5612    	-71.6578    	-485.46     	-81.1292    	-78.4473    	-11.2447    	-11.3002    	-11.7764    	-58.6738    	-87.6358    	-10.489     	-69.9932    	-75.2942    	-497.328    	-78.0291    	-530.261    	-450.299    	-62.761     	-65.0921    	-86.8752    	-11.6042    	-488.736    	-9.84971    	-74.2489    	-63.1839    	-451.305    	-11.4564    	-69.746     	-414.184    	-11.8901    	-12.0528    	-71.3975    	-11.5012    	-12.2388    	-62.8442    	-536.11     	-73.0865    	-10.6759    	-76.6034    	-78.7982    	-77.0061    	-9.66287    	-500.922    	-70.3493    	-70.741     	-11.8596    	-65.2484    	-73.592     
0.135 	-11.3153    	-526.452    	-12.4833    	-71.6034    	-74.8237    	-76.0001    	-12.4553    	-507.116    	-74.1867    	-72.932     	-438.211    	-75.3763    	-76.4107    	-10.6298    	-88.1713    	-11.1984    	-73.481     	-74.5042    	-12.0635    	-80.3195    	-69.6919    	-516.284    	-80.4486    	-489.214    	-69.2161    	-76.0966    	-499.195    	-87.0551    	-81.4122    	-11.8904    	-12.1623    	-12.6133    	-63.1303    	-92.6291    	-11.2665    	-72.5922    	-77.7992    	-509.87     	-81.6158    	-559.281    	-470.337    	-67.0352    	-68.3766    	-91.8877    	-12.4912    	-503.952    	-10.6021    	-76.8832    	-67.6745    	-458.821    	-12.0822    	-73.9711    	-431.193    	-12.8353    	-12.6139    	-76.1516    	-12.1844    	-12.8986    	-67.7777    	-561.165    	-76.8656    	-11.5037    	-79.5425    	-81.1353    	-80.9659    	-10.3688    	-505.6      	-74.112     	-74.8537    	-12.5283    	-70.2437    	-77.5208    
0.145 	-11.7848    	-523.221    	-13.2697    	-75.5615    	-79.1305    	-81.7447    	-13.1111    	-513.275    	-79.8259    	-77.6223    	-460.641    	-80.4232    	-81.2292    	-11.2358    	-93.8981    	-11.8806    	-78.2814    	-78.6606    	-12.7719    	-83.706     	-73.0285    	-522.075    	-83.0635    	-493.377    	-73.7075    	-80.3443    	-512.755    	-92.7968    	-84.2818    	-12.4982    	-12.9951    	-13.4124    	-67.4044    	-97.5135    	-12.0175    	-75.1659    	-80.1557    	-522.606    	-85.137     	-587.777    	-490.232    	-71.1466    	-71.5357    	-96.7944    	-13.3512    	-519.134    	-11.3187    	-79.5161    	-71.9911    	-466.615    	-12.6707    	-77.9905    	-447.916    	-13.7459    	-13.1413    	-80.7487    	-12.8471    	-13.5269    	-72.5364    	-586.016    	-80.5952    	-12.2995    	-82.4905    	-83.3829    	-84.821     	-11.0417    	-511.157    	-77.78      	-78.7629    	-13.1665    	-75.0647    	-81.2712    
0.155 	-12.2316    	-520.588    	-14.0187    	-79.3657    	-83.1792    	-87.1992    	-13.712     	-519.302    	-85.1894    	-82.0906    	-482.225    	-85.1448    	-85.7866    	-11.8072    	-99.3301    	-12.5243    	-82.8591    	-82.4733    	-13.4346    	-86.9312    	-76.2344    	-527.976    	-85.5269    	-498.297    	-77.9604    	-84.3263    	-525.928    	-98.2614    	-87.0071    	-13.056     	-13.7852    	-14.1596    	-71.4213    	-102.214    	-12.7294    	-77.6751    	-82.315     	-535.373    	-88.5388    	-615.321    	-509.705    	-75.0245    	-74.5143    	-101.52     	-14.1702    	-534.069    	-11.9862    	-82.11      	-76.0593    	-474.592    	-13.2102    	-81.7303    	-464.095    	-14.6067    	-13.6241    	-85.1134    	-13.4783    	-14.1122    	-77.0409    	-610.311    	-84.2203    	-13.0499    	-85.4074    	-85.4992    	-88.5104    	-11.6693    	-517.583    	-81.2944    	-82.3964    	-13.7626    	-79.631     	-84.7761    
0.165 	-12.6478    	-518.588    	-14.7185    	-82.9578    	-86.9016    	-92.2791    	-14.2466    	-525.085    	-90.1955    	-86.2678    	-502.637    	-89.4611    	-90.0105    	-12.3342    	-104.382    	-13.1187    	-87.1437    	-85.8703    	-14.04      	-89.9421    	-79.2591    	-533.898    	-87.7939    	-503.938    	-81.9064    	-87.9754    	-538.509    	-103.364    	-89.5425    	-13.5531    	-14.5201    	-14.842     	-75.1127    	-106.66     	-13.3905    	-80.0816    	-84.2328    	-548.006    	-91.7703    	-641.511    	-528.489    	-78.6042    	-77.2617    	-105.996    	-14.9358    	-548.55     	-12.593     	-84.6279    	-79.8113    	-482.644    	-13.69      	-85.1238    	-479.484    	-15.4043    	-14.0526    	-89.1764    	-14.0681    	-14.6442    	-81.2185    	-633.71     	-87.6887    	-13.7421    	-88.2535    	-87.4449    	-91.9773    	-12.2403    	-524.837    	-84.5999    	-85.689     	-14.3062    	-83.8691    	-87.9745    
0.175 	-13.0266    	-517.222    	-15.3586    	-86.2842    	-90.2374    	-96.9101    	-14.7047    	-530.506    	-94.7721    	-90.0923    	-521.581    	-93.3024    	-93.8371    	-12.8081    	-108.977    	-13.6541    	-91.0721    	-88.7899    	-14.5779    	-92.6905    	-82.056     	-539.745    	-89.8239    	-510.232    	-85.4847    	-91.2328    	-550.302    	-108.027    	-91.8462    	-13.98      	-15.1889    	-15.4483    	-78.4184    	-110.787    	-13.9905    	-82.3486    	-85.8702    	-560.332    	-94.7843    	-665.977    	-546.33     	-81.8284    	-79.7324    	-110.158    	-15.6367    	-562.375    	-13.1285    	-87.033     	-83.1868    	-490.653    	-14.101     	-88.1129    	-493.849    	-16.1267    	-14.4185    	-92.8761    	-14.6073    	-15.1135    	-85.0045    	-655.89     	-90.9512    	-14.3651    	-90.9898    	-89.184     	-95.1704    	-12.745     	-532.843    	-87.6459    	-88.584     	-14.7879    	-87.7137    	-90.8132    
0.185 	-13.3616    	-516.461    	-15.9299    	-89.2972    	-93.1358    	-101.029    	-15.0781    	-535.448    	-98.8582    	-93.5112    	-538.794    	-96.6108    	-97.2124    	-13.2212    	-113.051    	-14.1224    	-94.5895    	-91.1822    	-15.0395    	-95.1335    	-84.5832    	-545.41     	-91.5804    	-517.079    	-88.6434    	-94.049     	-561.12     	-112.187    	-93.8815    	-14.329     	-15.7822    	-15.9691    	-81.2872    	-114.537    	-14.5204    	-84.4409    	-87.1938    	-572.18     	-97.538     	-688.387    	-562.992    	-84.6479    	-81.8872    	-113.948    	-16.2633    	-575.35     	-13.5843    	-89.2899    	-86.1347    	-498.489    	-14.4358    	-90.649     	-506.978    	-16.764     	-14.7148    	-96.1597    	-15.0877    	-15.5127    	-88.3439    	-676.553    	-93.9627    	-14.9094    	-93.5784    	-90.6839    	-98.0444    	-13.1751    	-541.493    	-90.3874    	-91.0342    	-15.2       	-91.109     	-93.2475    
0.195 	-13.6474    	-516.246    	-16.4245    	-91.9552    	-95.5559    	-104.586    	-15.3607    	-539.792    	-102.404    	-96.4805    	-554.046    	-99.3414    	-100.093    	-13.5673    	-116.551    	-14.5166    	-97.6509    	-93.0098    	-15.418     	-97.2345    	-86.8035    	-550.78     	-93.0323    	-524.352    	-91.34      	-96.3851    	-570.792    	-115.788    	-95.6167    	-14.5943    	-16.2925    	-16.3972    	-83.6779    	-117.863    	-14.9728    	-86.326     	-88.1771    	-583.378    	-99.9935    	-708.45     	-578.261    	-87.0224    	-83.6933    	-117.318    	-16.8077    	-587.296    	-13.9535    	-91.3648    	-88.6134    	-506.015    	-14.6884    	-92.6943    	-518.676    	-17.3083    	-14.9359    	-98.9838    	-15.5027    	-15.8356    	-91.1917    	-695.425    	-96.6831    	-15.3674    	-95.9832    	-91.9166    	-100.561    	-13.5241    	-550.646    	-92.7851    	-93.0028    	-15.5361    	-94.0094    	-95.2419    
0.205 	-13.8792    	-516.488    	-16.8367    	-94.2238    	-97.4673    	-107.543    	-15.5484    	-543.421    	-105.374    	-98.9664    	-567.149    	-101.462    	-102.448    	-13.8415    	-119.439    	-14.8316    	-100.221    	-94.2484    	-15.7081    	-98.9635    	-88.6859    	-555.736    	-94.1541    	-531.893    	-93.5421    	-98.213     	-579.164    	-118.789    	-97.026     	-14.7717    	-16.7142    	-16.7271    	-85.5595    	-120.722    	-15.342     	-87.9743    	-88.8001    	-593.757    	-102.119    	-725.925    	-591.946    	-88.9216    	-85.1251    	-120.228    	-17.2638    	-598.045    	-14.2312    	-93.2261    	-90.5916    	-513.086    	-14.8551    	-94.2216    	-528.776    	-17.7539    	-15.078     	-101.315    	-15.8467    	-16.0777    	-93.5137    	-712.265    	-99.0773    	-15.7331    	-98.1706    	-92.8586    	-102.69     	-13.7873    	-560.133    	-94.8067    	-94.4635    	-15.7918    	-96.3803    	-96.7707    
0.215 	-14.0534    	-517.069    	-17.1621    	-96.0758    	-98.8504    	-109.877    	-15.6389    	-546.222    	-107.744    	-100.945    	-577.953    	-102.955    	-104.255    	-14.0404    	-121.686    	-15.0638    	-102.275    	-94.8869    	-15.9067    	-100.298    	-90.2051    	-560.155    	-94.9263    	-539.52     	-95.228     	-99.5154    	-586.099    	-121.162    	-98.0896    	-14.8591    	-17.0434    	-16.9558    	-86.9121    	-123.083    	-15.6237    	-89.3593    	-89.0501    	-603.156    	-103.888    	-740.618    	-603.881    	-90.3248    	-86.1642    	-122.647    	-17.6276    	-607.448    	-14.4145    	-94.8449    	-92.0485    	-519.553    	-14.9336    	-95.2149    	-537.136    	-18.0974    	-15.1389    	-103.131    	-16.1156    	-16.2364    	-95.2866    	-726.868    	-101.116    	-16.0028    	-100.11     	-93.4916    	-104.408    	-13.9615    	-569.757    	-96.4267    	-95.4013    	-15.9641    	-98.1982    	-97.8177    
0.225 	-14.1675    	-517.85     	-17.3981    	-97.492     	-99.6966    	-111.575    	-15.6323    	-548.088    	-109.502    	-102.404    	-586.352    	-103.816    	-105.507    	-14.162     	-123.28     	-15.211     	-103.798    	-94.9271    	-16.0121    	-101.222    	-91.3424    	-563.913    	-95.3357    	-547.031    	-96.3862    	-100.286    	-591.481    	-122.889    	-98.7939    	-14.8562    	-17.2783    	-17.0823    	-87.7265    	-124.924    	-15.8158    	-90.4585    	-88.9213    	-611.422    	-105.281    	-752.389    	-613.933    	-91.2215    	-86.7999    	-124.552    	-17.8966    	-615.375    	-14.5025    	-96.1955    	-92.9739    	-525.265    	-14.9238    	-95.6698    	-543.64     	-18.3375    	-15.1181    	-104.419    	-16.3067    	-16.3106    	-96.4985    	-739.063    	-102.777    	-16.1745    	-101.773    	-93.8023    	-105.699    	-14.0459    	-579.303    	-97.6269    	-95.8119    	-16.0518    	-99.4509    	-98.3769    
0.235 	-14.2196    	-518.667    	-17.5439    	-98.4607    	-100.008    	-112.641    	-15.5306    	-548.919    	-110.65     	-103.338    	-592.284    	-104.052    	-106.206    	-14.2057    	-124.222    	-15.2731    	-104.787    	-94.3837    	-16.025     	-101.727    	-92.0855    	-566.885    	-95.3754    	-554.208    	-97.0155    	-100.53     	-595.22     	-123.968    	-99.1318    	-14.7644    	-17.4189    	-17.1075    	-88.004     	-126.233    	-15.9175    	-91.2535    	-88.4151    	-618.414    	-106.286    	-761.15     	-621.993    	-91.6107    	-87.0284    	-125.93     	-18.0706    	-621.716    	-14.4963    	-97.2557    	-93.3682    	-530.074    	-14.8271    	-95.5922    	-548.203    	-18.4749    	-15.0166    	-105.177    	-16.4188    	-16.3009    	-97.1483    	-748.721    	-104.043    	-16.2481    	-103.137    	-93.783     	-106.557    	-14.0409    	-588.537    	-98.3967    	-95.7018    	-16.0553    	-100.138    	-98.4515    
0.245 	-14.2092    	-519.347    	-17.6004    	-98.9782    	-99.7962    	-113.089    	-15.3377    	-548.627    	-111.202    	-103.755    	-595.724    	-103.685    	-106.363    	-14.1724    	-124.522    	-15.2511    	-105.246    	-93.2825    	-15.9473    	-101.814    	-92.4289    	-568.953    	-95.045     	-560.825    	-97.1246    	-100.262    	-597.246    	-124.407    	-99.1022    	-14.5872    	-17.467     	-17.0347    	-87.7562    	-127.006    	-15.93      	-91.73      	-87.5395    	-624.006    	-106.895    	-766.867    	-627.989    	-91.5013    	-86.8533    	-126.78     	-18.151     	-626.383    	-14.3986    	-98.0073    	-93.2415    	-533.835    	-14.6468    	-94.9986    	-550.77     	-18.5126    	-14.837     	-105.414    	-16.4521    	-16.2096    	-97.2454    	-755.752    	-104.905    	-16.2256    	-104.183    	-93.4314    	-106.983    	-13.949     	-597.216    	-98.7326    	-95.0876    	-15.9767    	-100.268    	-98.0538    
0.255 	-14.1366    	-519.701    	-17.57      	-99.048     	-99.083     	-112.946    	-15.0591    	-547.135    	-111.18     	-103.67     	-596.693    	-102.746    	-106.003    	-14.0644    	-124.206    	-15.1477    	-105.192    	-91.6604    	-15.783     	-101.488    	-92.3733    	-570.003    	-94.3499    	-566.65     	-96.7313    	-99.5049    	-597.515    	-124.225    	-98.71      	-14.3293    	-17.4262    	-16.8685    	-87.0042    	-127.25     	-15.8556    	-91.8787    	-86.3088    	-628.089    	-107.109    	-769.556    	-631.875    	-90.9106    	-86.2847    	-127.105    	-18.1408    	-629.314    	-14.2139    	-98.4363    	-92.6136    	-536.413    	-14.3877    	-93.9149    	-551.314    	-18.4551    	-14.5833    	-105.146    	-16.408     	-16.0403    	-96.8089    	-760.11     	-105.358    	-16.1106    	-104.895    	-92.7504    	-106.983    	-13.7742    	-605.094    	-98.638     	-93.9949    	-15.8194    	-99.8613    	-97.2044    
