q      	cage        
2.765 	-32.9945    
2.775 	-31.6415    
2.785 	-29.942     
2.795 	-27.9079    
2.805 	-25.563     
2.815 	-22.9428    
2.825 	-20.0923    
2.835 	-17.0646    
2.845 	-13.9185    
2.855 	-10.7168    
2.865 	-7.52315    
2.875 	-4.40059    
2.885 	-1.40875    
2.895 	1.39791     
2.905 	3.97198     
2.915 	6.27451     
2.925 	8.27615     
2.935 	9.95788     
2.945 	11.3113     
2.955 	12.3386     
2.965 	13.0521     
2.975 	13.4732     
2.985 	13.6316     
2.995 	13.5637     
3.005 	13.3109     
3.015 	12.9181     
3.025 	12.4317     
3.035 	11.898      
3.045 	11.361      
3.055 	10.8615     
3.065 	10.4353     
3.075 	10.112      
3.085 	9.91432     
3.095 	9.85724     
3.105 	9.94805     
3.115 	10.1862     
3.125 	10.5636     
3.135 	11.0655     
3.145 	11.6709     
3.155 	12.354      
3.165 	13.0854     
3.175 	13.8331     
3.185 	14.5645     
3.195 	15.2469     
3.205 	15.8497     
3.215 	16.3451     
3.225 	16.7092     
3.235 	16.9231     
3.245 	16.9733     
3.255 	16.8526     
3.265 	16.5596     
3.275 	16.0991     
3.285 	15.4818     
3.295 	14.7238     
3.305 	13.8455     
3.315 	12.8713     
3.325 	11.8285     
3.335 	10.7457     
3.345 	9.6524      
3.355 	8.57768     
3.365 	7.54895     
3.375 	6.59119     
3.385 	5.72605     
3.395 	4.97116     
3.405 	4.33961     
3.415 	3.83961     
3.425 	3.47437     
3.435 	3.24212     
3.445 	3.13634     
3.455 	3.14622     
3.465 	3.25717     
3.475 	3.45153     
3.485 	3.70933     
3.495 	4.00917     
3.505 	4.32906     
3.515 	4.64729     
3.525 	4.94327     
3.535 	5.19829     
3.545 	5.39615     
3.555 	5.52374     
3.565 	5.57143     
3.575 	5.53332     
3.585 	5.40735     
3.595 	5.19524     
3.605 	4.90231     
3.615 	4.53712     
3.625 	4.11104     
3.635 	3.63767     
3.645 	3.13228     
3.655 	2.61106     
3.665 	2.0905      
3.675 	1.58669     
3.685 	1.11466     
3.695 	0.687812    
3.705 	0.317417    
3.715 	0.0122104   
3.725 	-0.221901   
3.735 	-0.382011   
3.745 	-0.468257   
3.755 	-0.483749   
3.765 	-0.434368   
3.775 	-0.328472   
3.785 	-0.176502   
3.795 	0.00948826  
3.805 	0.216348    
3.815 	0.430386    
3.825 	0.637933    
3.835 	0.825887    
3.845 	0.982235    
3.855 	1.09651     
3.865 	1.16017     
3.875 	1.16693     
3.885 	1.11294     
3.895 	0.996902    
3.905 	0.820088    
3.915 	0.58622     
3.925 	0.301285    
3.935 	-0.0267468  
3.945 	-0.388278   
3.955 	-0.772496   
3.965 	-1.16782    
3.975 	-1.5624     
3.985 	-1.94456    
3.995 	-2.30328    
4.005 	-2.62862    
4.015 	-2.91211    
4.025 	-3.14703    
4.035 	-3.32868    
4.045 	-3.45453    
4.055 	-3.52426    
4.065 	-3.53977    
4.075 	-3.50503    
4.085 	-3.42595    
4.095 	-3.31006    
4.105 	-3.1662     
4.115 	-3.00417    
4.125 	-2.83432    
4.135 	-2.66711    
4.145 	-2.51272    
4.155 	-2.38065    
4.165 	-2.27934    
4.175 	-2.21586    
4.185 	-2.19565    
4.195 	-2.22232    
4.205 	-2.29754    
4.215 	-2.42097    
4.225 	-2.59034    
4.235 	-2.80152    
4.245 	-3.04872    
4.255 	-3.32474    
4.265 	-3.62121    
4.275 	-3.929      
4.285 	-4.23852    
4.295 	-4.5401     
4.305 	-4.82436    
4.315 	-5.08257    
4.325 	-5.30694    
4.335 	-5.4909     
4.345 	-5.62935    
4.355 	-5.71879    
4.365 	-5.75742    
4.375 	-5.7452     
4.385 	-5.68377    
4.395 	-5.57637    
4.405 	-5.42767    
4.415 	-5.24353    
4.425 	-5.03081    
4.435 	-4.79697    
4.445 	-4.54985    
4.455 	-4.2973     
4.465 	-4.04687    
4.475 	-3.80552    
4.485 	-3.57934    
4.495 	-3.37332    
4.505 	-3.19117    
4.515 	-3.03519    
4.525 	-2.90617    
4.535 	-2.80344    
4.545 	-2.72486    
4.555 	-2.66696    
4.565 	-2.62508    
4.575 	-2.59361    
4.585 	-2.56618    
4.595 	-2.536      
4.605 	-2.49609    
4.615 	-2.43959    
4.625 	-2.36006    
4.635 	-2.25176    
4.645 	-2.10985    
4.655 	-1.93064    
4.665 	-1.71172    
4.675 	-1.45212    
4.685 	-1.1523     
4.695 	-0.814209   
4.705 	-0.441199   
4.715 	-0.0379369  
4.725 	0.389757    
4.735 	0.835106    
4.745 	1.29061     
4.755 	1.7483      
4.765 	2.2         
4.775 	2.63765     
4.785 	3.0535      
4.795 	3.44044     
4.805 	3.79221     
4.815 	4.10359     
4.825 	4.37055     
4.835 	4.59041     
4.845 	4.76187     
4.855 	4.88501     
4.865 	4.9613      
4.875 	4.99348     
4.885 	4.98546     
4.895 	4.94212     
4.905 	4.86911     
4.915 	4.77267     
4.925 	4.65932     
4.935 	4.53568     
4.945 	4.40815     
4.955 	4.28277     
4.965 	4.16492     
4.975 	4.05917     
4.985 	3.96914     
4.995 	3.89738     
5.005 	3.8453      
5.015 	3.81312     
5.025 	3.79996     
5.035 	3.80382     
5.045 	3.82176     
5.055 	3.84998     
5.065 	3.88403     
5.075 	3.91899     
5.085 	3.94968     
