q      	H_200-H_21   	H_200-C_7    	C_100-N_2    	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	H_100-N_2    	C_100-H_19   	H_200-H_16   	C_100-C_3    	C_100-H_24   	H_100-C_14   	C_100-C_13   	C_100-H_15   	H_200-H_22   	H_100-H_23   	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_8    	H_200-C_12   	C_100-C_8    	C_100-C_5    	H_200-C_3    	C_100-C_10   	H_100-C_13   	H_200-C_5    	H_100-H_17   	C_100-N_1    	H_100-H_24   	H_100-C_8    	H_200-H_15   	C_100-C_7    	C_100-H_22   	H_200-H_23   	H_200-C_11   	C_100-H_17   	H_100-C_7    	C_100-C_14   	H_100-C_12   	C_100-H_21   	H_200-H_24   	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	H_100-N_1    	C_100-C_11   	H_100-H_16   	H_200-N_1    	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	C_100-H_23   	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	H_200-N_2    	C_100-H_18  
0.005 	-8.77639    	-65.0133    	-260.477    	-445.774    	-6.67229    	-71.1755    	-39.6418    	-56.8653    	-25.8602    	-8.51243    	-599.497    	-55.1612    	-41.1493    	-652.534    	-35.3442    	-4.66871    	-7.74864    	-43.6352    	-43.5664    	-4.1393     	-47.1465    	-56.5367    	-399.194    	-544.244    	-65.1604    	-734.18     	-48.0396    	-59.3099    	-7.73944    	-357.68     	-5.80117    	-34.5978    	-5.5343     	-624.463    	-38.7447    	-7.06994    	-73.1813    	-37.0575    	-46.1604    	-725.901    	-35.5154    	-70.2653    	-7.57291    	-565.289    	-6.9055     	-75.1232    	-45.8451    	-54.795     	-725.974    	-10.0415    	-56.6059    	-46.0368    	-541.91     	-5.87965    	-6.72049    	-55.4486    	-10.3448    	-2.18038    	-48.0646    	-71.8124    	-8.14917    	-63.3408    	-55.3397    	-65.4755    	-4.12085    	-531.014    	-70.9327    	-46.0923    	-5.88178    	-48.869     	-52.1073    	-2.14464    
0.015 	-8.83189    	-65.2075    	-264.643    	-446.106    	-6.75768    	-71.2659    	-40.2135    	-57.4195    	-26.5603    	-8.57606    	-598.073    	-55.3019    	-41.545     	-650.359    	-35.9492    	-4.74532    	-7.81671    	-44.1294    	-44.087     	-4.24863    	-47.4597    	-56.6787    	-399.712    	-543.588    	-65.3529    	-730.519    	-48.4612    	-59.5772    	-7.81884    	-360.53     	-5.87199    	-35.1389    	-5.63521    	-622.711    	-39.1083    	-7.14128    	-73.2659    	-37.6204    	-46.6483    	-721.999    	-35.9788    	-70.4142    	-7.61244    	-564.194    	-6.98738    	-75.09      	-46.3054    	-55.3737    	-723.005    	-10.0903    	-57.0873    	-46.4959    	-540.41     	-5.97056    	-6.80569    	-55.7756    	-10.3674    	-2.30564    	-48.4396    	-71.7612    	-8.20717    	-63.5416    	-55.6086    	-65.6265    	-4.21105    	-530.475    	-70.9739    	-46.594     	-5.98541    	-49.2253    	-52.6492    	-3.062      
0.025 	-8.94181    	-65.5943    	-272.897    	-446.783    	-6.92656    	-71.4461    	-41.3452    	-58.5174    	-27.945     	-8.70205    	-595.279    	-55.5819    	-42.3291    	-646.067    	-37.1471    	-4.89727    	-7.95135    	-45.1076    	-45.1172    	-4.46525    	-48.0825    	-56.9627    	-400.759    	-542.304    	-65.7366    	-723.293    	-49.2958    	-60.1079    	-7.97618    	-366.187    	-6.01221    	-36.2114    	-5.83501    	-619.266    	-39.8296    	-7.28242    	-73.4348    	-38.7364    	-47.615     	-714.297    	-36.8974    	-70.7093    	-7.69091    	-562.042    	-7.14948    	-75.0262    	-47.2169    	-56.5202    	-717.145    	-10.187     	-58.0426    	-47.4058    	-537.463    	-6.15039    	-6.97461    	-56.4238    	-10.4121    	-2.55388    	-49.1818    	-71.6626    	-8.32191    	-63.9402    	-56.1437    	-65.9274    	-4.38977    	-529.416    	-71.0565    	-47.5878    	-6.1905     	-49.9311    	-53.724     	-4.87939    
0.035 	-9.104      	-66.1703    	-285.091    	-447.828    	-7.17516    	-71.7149    	-43.0142    	-60.1384    	-29.9831    	-8.8879     	-591.218    	-55.9983    	-43.4871    	-639.773    	-38.9141    	-5.12199    	-8.14957    	-46.5494    	-46.6348    	-4.7851     	-49.0082    	-57.3883    	-402.357    	-540.45     	-66.3089    	-712.689    	-50.5264    	-60.8946    	-8.20859    	-374.563    	-6.219      	-37.7959    	-6.12971    	-614.244    	-40.8969    	-7.49035    	-73.6878    	-40.3863    	-49.0425    	-703        	-38.255     	-71.1454    	-7.80712    	-558.906    	-7.3885     	-74.9373    	-48.5623    	-58.213     	-708.546    	-10.3296    	-59.457     	-48.7499    	-533.167    	-6.41523    	-7.22427    	-57.3816    	-10.4784    	-2.92062    	-50.2758    	-71.5235    	-8.49088    	-64.5305    	-56.9391    	-66.3756    	-4.6537     	-527.88     	-71.1804    	-49.0551    	-6.49271    	-50.9728    	-55.3137    	-7.56256    
0.045 	-9.31531    	-66.9304    	-301.002    	-449.275    	-7.49794    	-72.0702    	-45.1866    	-62.2519    	-32.6295    	-9.12993    	-586.042    	-56.5469    	-44.9978    	-631.643    	-41.2152    	-5.41574    	-8.40697    	-48.4247    	-48.6078    	-5.20221    	-50.2262    	-57.955     	-404.537    	-538.108    	-67.0657    	-698.985    	-52.128     	-61.9258    	-8.51181    	-385.532    	-6.4882     	-39.8639    	-6.51342    	-607.814    	-42.2929    	-7.76062    	-74.0242    	-42.5418    	-50.9041    	-688.407    	-40.0279    	-71.715     	-7.95932    	-554.891    	-7.69959    	-74.8311    	-50.3153    	-60.4205    	-697.433    	-10.5154    	-61.3087    	-50.504     	-527.672    	-6.75932    	-7.55028    	-58.6319    	-10.5649    	-3.39924    	-51.699     	-71.3545    	-8.71041    	-65.3035    	-57.9865    	-66.9673    	-4.99794    	-525.926    	-71.3459    	-50.9684    	-6.88569    	-52.3307    	-57.392     	-11.0611    
0.055 	-9.57162    	-67.8678    	-320.343    	-451.166    	-7.88771    	-72.5093    	-47.8187    	-64.8185    	-35.8252    	-9.42336    	-579.946    	-57.2218    	-46.8334    	-621.892    	-44.0046    	-5.77362    	-8.71784    	-50.6947    	-50.9944    	-5.70885    	-51.7229    	-58.6619    	-407.335    	-535.385    	-68.0016    	-682.534    	-54.0683    	-63.1868    	-8.88032    	-398.927    	-6.81443    	-42.3784    	-6.97852    	-600.193    	-43.9951    	-8.08747    	-74.4428    	-45.166     	-53.1653    	-670.9      	-42.1849    	-72.4081    	-8.14522    	-550.135    	-8.07644    	-74.7174    	-52.4424    	-63.1016    	-684.092    	-10.7408    	-63.5689    	-52.6366    	-521.163    	-7.17518    	-7.94697    	-60.1525    	-10.6705    	-3.98115    	-53.4219    	-71.1684    	-8.97574    	-66.2474    	-59.2745    	-67.6972    	-5.41613    	-523.63     	-71.5528    	-53.292     	-7.36121    	-53.9786    	-59.9243    	-15.3096    
0.065 	-9.868      	-68.974     	-342.766    	-453.548    	-8.33583    	-73.0287    	-50.8578    	-67.7904    	-39.4997    	-9.76242    	-573.159    	-58.0159    	-48.9604    	-610.775    	-47.2276    	-6.18969    	-9.07534    	-53.3124    	-53.7444    	-6.29567    	-53.4815    	-59.5072    	-410.795    	-532.404    	-69.1094    	-663.76     	-56.3078    	-64.6593    	-9.30743    	-414.544    	-7.19117    	-45.2946    	-7.51581    	-591.637    	-45.9761    	-8.46393    	-74.9422    	-48.2141    	-55.7843    	-650.939    	-44.6885    	-73.2126    	-8.36198    	-544.798    	-8.51145    	-74.6077    	-54.9026    	-66.2065    	-668.867    	-11.0013    	-66.2029    	-55.1094    	-513.866    	-7.65382    	-8.40743    	-61.9164    	-10.7932    	-4.65595    	-55.4089    	-70.9808    	-9.28113    	-67.3477    	-60.7891    	-68.559     	-5.9006     	-521.08     	-71.8008    	-55.9827    	-7.90932    	-55.8854    	-62.8689    	-20.2292    
0.075 	-10.1987    	-70.2384    	-367.871    	-456.472    	-8.8324     	-73.6238    	-54.2433    	-71.1125    	-43.5723    	-10.1405    	-565.935    	-58.9204    	-51.3401    	-598.581    	-50.8208    	-6.65708    	-9.47156    	-56.2239    	-56.8005    	-6.95191    	-55.4817    	-60.4886    	-414.958    	-529.302    	-70.3803    	-643.141    	-58.8016    	-66.3219    	-9.78546    	-432.146    	-7.61094    	-48.5608    	-8.1147     	-582.433    	-48.2042    	-8.88204    	-75.5202    	-51.6345    	-58.713     	-629.041    	-47.4954    	-74.1145    	-8.60633    	-539.063    	-8.99589    	-74.5145    	-57.6491    	-69.6781    	-652.146    	-11.2919    	-69.1701    	-57.8786    	-506.03     	-8.18495    	-8.92371    	-63.8924    	-10.931     	-5.41171    	-57.6192    	-70.8083    	-9.61998    	-68.5872    	-62.5136    	-69.5447    	-6.44249    	-518.374    	-72.0892    	-58.9907    	-8.51864    	-58.0149    	-66.1773    	-25.7292    
0.085 	-10.5575    	-71.6489    	-395.215    	-459.986    	-9.36648    	-74.2888    	-57.9081    	-74.7239    	-47.954     	-10.5503    	-558.551    	-59.9251    	-53.9294    	-585.621    	-54.7143    	-7.16814    	-9.8978     	-59.3696    	-60.0997    	-7.66566    	-57.7008    	-61.6022    	-419.865    	-526.224    	-71.8035    	-621.198    	-61.4995    	-68.1504    	-10.3058    	-451.468    	-8.06544    	-52.1198    	-8.7635     	-572.892    	-50.6441    	-9.33295    	-76.1735    	-55.3696    	-61.898     	-605.769    	-50.5571    	-75.0982    	-8.87453    	-533.124    	-9.52008    	-74.451     	-60.6298    	-73.4526    	-634.352    	-11.6069    	-72.4249    	-60.8952    	-497.926    	-8.75719    	-9.48698    	-66.0456    	-11.0816    	-6.23516    	-60.0073    	-70.6687    	-9.985      	-69.9466    	-64.4289    	-70.6448    	-7.03197    	-515.618    	-72.4166    	-62.2608    	-9.17661    	-60.327     	-69.7956    	-31.7094    
0.095 	-10.9375    	-73.1913    	-424.319    	-464.135    	-9.92637    	-75.017     	-61.7802    	-78.5588    	-52.5502    	-10.9839    	-551.287    	-61.0183    	-56.6818    	-572.222    	-58.8328    	-7.71455    	-10.3447    	-62.6855    	-63.5745    	-8.42408    	-60.1127    	-62.8429    	-425.55     	-523.318    	-73.3666    	-598.478    	-64.3478    	-70.1178    	-10.8593    	-472.218    	-8.54576    	-55.9098    	-9.4496     	-563.334    	-53.2575    	-9.80721    	-76.8983    	-59.3571    	-65.2818    	-581.714    	-53.8213    	-76.1465    	-9.16249    	-527.184    	-10.0736    	-74.4301    	-63.7883    	-77.4617    	-615.929    	-11.9403    	-75.9178    	-64.1066    	-489.834    	-9.35837    	-10.0877    	-68.3385    	-11.2424    	-7.11202    	-62.5242    	-70.5796    	-10.3684    	-71.4043    	-66.5132    	-71.8487    	-7.65844    	-512.915    	-72.781     	-65.7335    	-9.86972    	-62.7785    	-73.6653    	-38.0619    
