q      	H_200-H_21   	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	C_100-H_19   	H_200-H_16   	C_100-C_3    	H_100-C_14   	H_200-Br_23  	C_100-C_13   	C_100-H_15   	H_100-C_1    	H_200-H_22   	H_100-N_7    	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_2    	H_200-C_12   	C_100-C_5    	H_200-C_3    	C_100-Br_23  	H_100-Br_23  	C_100-C_10   	H_100-C_13   	H_100-C_2    	C_100-C_2    	H_100-N_8    	H_200-C_5    	H_100-H_17   	H_200-H_15   	H_200-Br_24  	C_100-H_22   	H_200-N_7    	H_200-C_11   	C_100-H_17   	C_100-C_1    	H_200-C_1    	C_100-Br_24  	C_100-N_7    	C_100-C_14   	H_100-C_12   	C_100-H_21   	H_200-N_8    	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	C_100-C_11   	H_100-H_16   	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	C_100-N_8    	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-Br_24  	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	C_100-H_18  
0.005 	-15.165     	-1987.03    	-21.6455    	-108.679    	-223.853    	-166.1      	-47.1591    	-1838.3     	-149.095    	381.027     	-798.716    	-356.525    	-269.193    	-31.7635    	-318.182    	-170.323    	-258.458    	-31.9902    	-316.626    	-58.7902    	-1524.9     	-294.69     	1871.84     	385.31      	-957.411    	-81.437     	-296.756    	-2048.49    	-272.021    	-239.092    	-31.6593    	-55.4981    	-1727.51    	-180.41     	-353.514    	-60.0123    	-211.867    	-1813.96    	-292.313    	-12065.7    	-2349.09    	-972.974    	-29.9092    	-120.978    	-297.528    	-1155.09    	-10.5476    	-130.21     	-45.8384    	-537.21     	-51.7717    	-267.59     	-589.456    	-23.8539    	-33.9462    	-223.278    	-1.1764     	-24.8664    	-1957.35    	-156.88     	-1.34462    	-181.301    	-303.507    	-213.467    	-1502.89    	-30.317     	-1219.14    	-11.192     	-293.693    	-52.8252    	-113.461    	-100.041    
0.015 	-15.2655    	-1981.73    	-21.7019    	-109.165    	-224.09     	-166.047    	-47.2137    	-1837.71    	-149.553    	371.355     	-799.671    	-356.143    	-269.245    	-31.8137    	-318.142    	-170.615    	-259.162    	-32.0568    	-316.469    	-59.5103    	-1523.9     	-294.713    	1819.19     	376.057     	-957.398    	-82.2249    	-296.77     	-2045.74    	-272.006    	-239.148    	-31.7191    	-55.4792    	-1723.16    	-180.868    	-353.107    	-60.7853    	-211.973    	-1812.09    	-292.118    	-12017      	-2343.94    	-975.073    	-30.965     	-121.193    	-297.266    	-1159.47    	-10.6946    	-130.596    	-46.7553    	-539.435    	-51.7444    	-267.509    	-590.609    	-23.8935    	-33.9819    	-223.58     	-1.36131    	-25.0383    	-1953.78    	-157.293    	-1.51849    	-181.508    	-302.994    	-213.932    	-1501.23    	-30.3743    	-1218.77    	-12.2419    	-293.637    	-52.8203    	-114.009    	-101.734    
0.025 	-15.4641    	-1971.19    	-21.8127    	-110.125    	-224.549    	-165.938    	-47.3184    	-1836.45    	-150.455    	352.195     	-801.561    	-355.368    	-269.334    	-31.9118    	-318.049    	-171.186    	-260.532    	-32.1873    	-316.145    	-60.9369    	-1521.87    	-294.744    	1714.84     	357.72      	-957.361    	-83.7821    	-296.783    	-2040.23    	-271.964    	-239.249    	-31.836     	-55.439     	-1714.48    	-181.767    	-352.288    	-62.3152    	-212.175    	-1808.33    	-291.722    	-11920.2    	-2333.67    	-979.198    	-33.0545    	-121.617    	-296.738    	-1168.06    	-10.9854    	-131.357    	-48.569     	-543.848    	-51.6875    	-267.335    	-592.911    	-23.9711    	-34.0511    	-224.167    	-1.72734    	-25.3767    	-1946.63    	-158.105    	-1.86267    	-181.912    	-301.967    	-214.843    	-1497.86    	-30.4863    	-1218       	-14.3204    	-293.51     	-52.8077    	-115.09     	-105.073    
0.035 	-15.7562    	-1955.5     	-21.9739    	-111.538    	-225.198    	-165.766    	-47.4646    	-1834.36    	-151.77     	323.903     	-804.348    	-354.182    	-269.435    	-32.0532    	-317.874    	-172.012    	-262.499    	-32.3757    	-315.628    	-63.0435    	-1518.76    	-294.748    	1560.71     	330.635     	-957.272    	-86.0721    	-296.763    	-2031.88    	-271.875    	-239.375    	-32.0043    	-55.3721    	-1701.51    	-183.071    	-351.047    	-64.5702    	-212.453    	-1802.61    	-291.108    	-11776.7    	-2318.33    	-985.21     	-36.1344    	-122.242    	-295.932    	-1180.57    	-11.4133    	-132.469    	-51.2398    	-550.374    	-51.5966    	-267.047    	-596.351    	-24.0834    	-34.1495    	-225.005    	-2.26699    	-25.871     	-1935.95    	-159.289    	-2.37009    	-182.495    	-300.426    	-216.158    	-1492.71    	-30.6482    	-1216.79    	-17.3857    	-293.285    	-52.782     	-116.673    	-109.964    
0.045 	-16.1353    	-1934.84    	-22.1797    	-113.371    	-225.991    	-165.523    	-47.6395    	-1831.19    	-153.457    	287.008     	-807.977    	-352.559    	-269.506    	-32.2314    	-317.579    	-173.058    	-264.959    	-32.6139    	-314.885    	-65.7909    	-1514.51    	-294.68     	1359.6      	295.294     	-957.095    	-89.0414    	-296.665    	-2020.62    	-271.708    	-239.496    	-32.2158    	-55.2714    	-1684.33    	-184.73     	-349.367    	-67.5033    	-212.778    	-1794.86    	-290.255    	-11588.6    	-2298       	-992.901    	-40.1409    	-123.052    	-294.836    	-1196.55    	-11.9687    	-133.9      	-54.7094    	-558.899    	-51.4652    	-266.613    	-600.913    	-24.2257    	-34.2709    	-226.043    	-2.96923    	-26.5058    	-1921.77    	-160.808    	-3.03041    	-183.226    	-298.37     	-217.821    	-1485.66    	-30.8529    	-1215.07    	-21.376     	-292.922    	-52.7355    	-118.713    	-116.268    
0.055 	-16.5925    	-1909.39    	-22.4229    	-115.584    	-226.868    	-165.197    	-47.8271    	-1826.65    	-155.459    	242.197     	-812.373    	-350.464    	-269.496    	-32.4376    	-317.111    	-174.28     	-267.78     	-32.891     	-313.872    	-69.128     	-1509       	-294.479    	1115.18     	252.34      	-956.781    	-92.6203    	-296.433    	-2006.33    	-271.422    	-239.571    	-32.46      	-55.1274    	-1663.02    	-186.676    	-347.23     	-71.0536    	-213.114    	-1784.98    	-289.135    	-11358.3    	-2272.79    	-1002.01    	-44.9913    	-124.031    	-293.43     	-1215.43    	-12.6389    	-135.607    	-58.9021    	-569.279    	-51.2851    	-265.991    	-606.572    	-24.3919    	-34.4074    	-227.219    	-3.81979    	-27.2612    	-1904.14    	-162.61     	-3.83016    	-184.07     	-295.797    	-219.756    	-1476.56    	-31.0911    	-1212.77    	-26.2113    	-292.369    	-52.6582    	-121.153    	-123.809    
0.065 	-17.1175    	-1879.4     	-22.6944    	-118.124    	-227.76     	-164.775    	-48.008     	-1820.38    	-157.71     	190.295     	-817.444    	-347.858    	-269.346    	-32.6618    	-316.412    	-175.622    	-270.805    	-33.1941    	-312.538    	-72.9927    	-1502.13    	-294.074    	831.85      	202.547     	-956.27     	-96.7254    	-295.998    	-1988.91    	-270.971    	-239.555    	-32.7242    	-54.929     	-1637.7     	-188.831    	-344.613    	-75.1476    	-213.415    	-1772.83    	-287.716    	-11089.1    	-2242.84    	-1012.2     	-50.5858    	-125.155    	-291.694    	-1236.53    	-13.4089    	-137.539    	-63.7269    	-581.333    	-51.0466    	-265.134    	-613.295    	-24.5747    	-34.5492    	-228.457    	-4.80142    	-28.1132    	-1883.12    	-164.635    	-4.75315    	-184.981    	-292.708    	-221.875    	-1465.23    	-31.3521    	-1209.78    	-31.7951    	-291.564    	-52.5383    	-123.923    	-132.374    
0.075 	-17.6981    	-1845.15    	-22.9842    	-120.936    	-228.587    	-164.24     	-48.1608    	-1811.99    	-160.135    	132.255     	-823.081    	-344.698    	-268.988    	-32.8922    	-315.414    	-177.024    	-273.857    	-33.5089    	-310.825    	-77.3134    	-1493.78    	-293.384    	514.673     	146.806     	-955.491    	-101.261    	-295.284    	-1968.23    	-270.303    	-239.396    	-32.9943    	-54.664     	-1608.5     	-191.106    	-341.492    	-79.7006    	-213.632    	-1758.29    	-285.96     	-10784.6    	-2208.3     	-1023.13    	-56.8103    	-126.4      	-289.603    	-1259.07    	-14.2615    	-139.638    	-69.0797    	-594.852    	-50.7389    	-263.987    	-621.037    	-24.7658    	-34.6856    	-229.67     	-5.89439    	-29.0349    	-1858.81    	-166.816    	-5.78081    	-185.911    	-289.103    	-224.076    	-1451.48    	-31.6232    	-1205.99    	-38.0166    	-290.441    	-52.3627    	-126.944    	-141.721    
0.085 	-18.3213    	-1806.96    	-23.2813    	-123.953    	-229.264    	-163.577    	-48.2625    	-1801.06    	-162.651    	69.1277     	-829.161    	-340.94     	-268.349    	-33.1165    	-314.046    	-178.419    	-276.746    	-33.8193    	-308.674    	-82.0104    	-1483.79    	-292.326    	169.27      	86.1066     	-954.367    	-106.122    	-294.21     	-1944.15    	-269.361    	-239.035    	-33.2547    	-54.3194    	-1575.58    	-193.405    	-337.844    	-84.6192    	-213.708    	-1741.23    	-283.83     	-10448.6    	-2169.38    	-1034.39    	-63.5384    	-127.735    	-287.134    	-1282.2     	-15.1774    	-141.837    	-74.8454    	-609.599    	-50.3508    	-262.493    	-629.739    	-24.9561    	-34.8047    	-230.767    	-7.07685    	-29.9968    	-1831.3     	-169.077    	-6.8926     	-186.804    	-284.983    	-226.249    	-1435.11    	-31.8912    	-1201.29    	-44.7535    	-288.927    	-52.1176    	-130.129    	-151.589    
0.095 	-18.9727    	-1765.16    	-23.5739    	-127.107    	-229.701    	-162.767    	-48.2892    	-1787.15    	-165.17     	2.04564     	-835.546    	-336.54     	-267.355    	-33.3215    	-312.234    	-179.736    	-279.275    	-34.1089    	-306.023    	-86.9972    	-1472.02    	-290.812    	-198.312    	21.5133     	-952.812    	-111.196    	-292.693    	-1916.55    	-268.088    	-238.414    	-33.4892    	-53.8821    	-1539.12    	-195.625    	-333.644    	-89.8025    	-213.587    	-1721.5     	-281.286    	-10085.6    	-2126.28    	-1045.56    	-70.6348    	-129.131    	-284.263    	-1305.03    	-16.1365    	-144.07     	-80.9012    	-625.311    	-49.8706    	-260.593    	-639.326    	-25.1363    	-34.8941    	-231.65     	-8.32541    	-30.9679    	-1800.7     	-171.34     	-8.06653    	-187.603    	-280.351    	-228.279    	-1415.93    	-32.1419    	-1195.53    	-51.8744    	-286.948    	-51.7884    	-133.387    	-161.699    
