q      	cage        
2.805 	-56.4514    
2.815 	-50.9659    
2.825 	-45.0107    
2.835 	-38.6695    
2.845 	-32.0414    
2.855 	-25.2359    
2.865 	-18.3697    
2.875 	-11.5615    
2.885 	-4.92815    
2.895 	1.41989     
2.905 	7.38238     
2.915 	12.8726     
2.925 	17.8203     
2.935 	22.1736     
2.945 	25.9004     
2.955 	28.9891     
2.965 	31.4482     
2.975 	33.3051     
2.985 	34.6048     
2.995 	35.4071     
3.005 	35.7843     
3.015 	35.8173     
3.025 	35.5927     
3.035 	35.1987     
3.045 	34.722      
3.055 	34.244      
3.065 	33.8379     
3.075 	33.5659     
3.085 	33.4774     
3.095 	33.6069     
3.105 	33.9732     
3.115 	34.5795     
3.125 	35.4131     
3.135 	36.447      
3.145 	37.6411     
3.155 	38.9444     
3.165 	40.2972     
3.175 	41.6345     
3.185 	42.8882     
3.195 	43.9905     
3.205 	44.877      
3.215 	45.4891     
3.225 	45.7767     
3.235 	45.7007     
3.245 	45.2341     
3.255 	44.3635     
3.265 	43.0896     
3.275 	41.4275     
3.285 	39.4061     
3.295 	37.067      
3.305 	34.463      
3.315 	31.6562     
3.325 	28.716      
3.335 	25.7161     
3.345 	22.7322     
3.355 	19.8392     
3.365 	17.1085     
3.375 	14.6056     
3.385 	12.3876     
3.395 	10.5017     
3.405 	8.98335     
3.415 	7.85522     
3.425 	7.12671     
3.435 	6.79377     
3.445 	6.83931     
3.455 	7.23404     
3.465 	7.93774     
3.475 	8.90091     
3.485 	10.0667     
3.495 	11.3733     
3.505 	12.7557     
3.515 	14.1488     
3.525 	15.4891     
3.535 	16.7172     
3.545 	17.78       
3.555 	18.6318     
3.565 	19.2365     
3.575 	19.5679     
3.585 	19.6108     
3.595 	19.3613     
3.605 	18.8258     
3.615 	18.0215     
3.625 	16.9746     
3.635 	15.7195     
3.645 	14.2967     
3.655 	12.7519     
3.665 	11.1332     
3.675 	9.48988     
3.685 	7.87013     
3.695 	6.31932     
3.705 	4.8784      
3.715 	3.5824      
3.725 	2.45928     
