q      	cage        
2.775 	-31.2668    
2.785 	-30.4071    
2.795 	-29.2743    
2.805 	-27.861     
2.815 	-26.1709    
2.825 	-24.218     
2.835 	-22.0263    
2.845 	-19.6287    
2.855 	-17.0654    
2.865 	-14.3829    
2.875 	-11.6314    
2.885 	-8.8634     
2.895 	-6.13184    
2.905 	-3.48779    
2.915 	-0.978915   
2.925 	1.35225     
2.935 	3.46966     
2.945 	5.34486     
2.955 	6.95782     
2.965 	8.29736     
2.975 	9.36128     
2.985 	10.1561     
2.995 	10.6966     
3.005 	11.0048     
3.015 	11.1091     
3.025 	11.0428     
3.035 	10.8428     
3.045 	10.5478     
3.055 	10.1972     
3.065 	9.82924     
3.075 	9.47967     
3.085 	9.18048     
3.095 	8.95882     
3.105 	8.83612     
3.115 	8.82749     
3.125 	8.94141     
3.135 	9.17957     
3.145 	9.53719     
3.155 	10.0034     
3.165 	10.5618     
3.175 	11.1918     
3.185 	11.8689     
3.195 	12.5664     
3.205 	13.2566     
3.215 	13.9115     
3.225 	14.5046     
3.235 	15.0114     
3.245 	15.411      
3.255 	15.6863     
3.265 	15.8249     
3.275 	15.8197     
3.285 	15.6687     
3.295 	15.3753     
3.305 	14.9481     
3.315 	14.4001     
3.325 	13.7485     
3.335 	13.0138     
3.345 	12.219      
3.355 	11.3884     
3.365 	10.5471     
3.375 	9.71951     
3.385 	8.92882     
3.395 	8.1959      
3.405 	7.5386      
3.415 	6.97116     
3.425 	6.50376     
3.435 	6.14217     
3.445 	5.88769     
3.455 	5.73721     
3.465 	5.68343     
3.475 	5.7153      
3.485 	5.8185      
3.495 	5.97617     
3.505 	6.1696      
3.515 	6.37905     
3.525 	6.58461     
3.535 	6.76693     
3.545 	6.9081      
3.555 	6.99226     
3.565 	7.00627     
3.575 	6.94018     
3.585 	6.78757     
3.595 	6.54576     
3.605 	6.21588     
3.615 	5.80276     
3.625 	5.31468     
3.635 	4.763       
3.645 	4.16169     
3.655 	3.52672     
3.665 	2.87542     
3.675 	2.22578     
3.685 	1.59575     
3.695 	1.00254     
3.705 	0.461945    
3.715 	-0.0122185  
3.725 	-0.408638   
3.735 	-0.718898   
3.745 	-0.937769   
3.755 	-1.06336    
3.765 	-1.09714    
3.775 	-1.04385    
3.785 	-0.911255   
3.795 	-0.709841   
3.805 	-0.452345   
3.815 	-0.153262   
3.825 	0.171725    
3.835 	0.50635     
3.845 	0.834378    
3.855 	1.1402      
3.865 	1.40941     
3.875 	1.6293      
3.885 	1.78929     
3.895 	1.88127     
3.905 	1.89988     
3.915 	1.84256     
3.925 	1.70967     
3.935 	1.50433     
3.945 	1.23225     
3.955 	0.901455    
3.965 	0.521916    
3.975 	0.105108    
3.985 	-0.336461   
3.995 	-0.789754   
4.005 	-1.24173    
4.015 	-1.67982    
4.025 	-2.09244    
4.035 	-2.46936    
4.045 	-2.8021     
4.055 	-3.08419    
