q      	H_200-H_21   	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	C_100-H_19   	H_200-H_16   	C_100-C_3    	C_100-H_24   	H_100-C_14   	C_100-C_13   	C_100-H_15   	H_100-C_1    	H_200-H_22   	H_100-N_7    	H_100-H_23   	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_2    	H_200-C_12   	C_100-C_5    	H_200-C_3    	C_100-C_10   	H_100-C_13   	H_100-C_2    	C_100-C_2    	H_100-N_8    	H_200-C_5    	H_100-H_17   	H_100-H_24   	H_200-H_15   	C_100-H_22   	H_200-N_7    	H_200-H_23   	H_200-C_11   	C_100-H_17   	C_100-C_1    	H_200-C_1    	C_100-N_7    	C_100-C_14   	H_100-C_12   	C_100-H_21   	H_200-N_8    	H_200-H_24   	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	C_100-C_11   	H_100-H_16   	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	C_100-H_23   	C_100-N_8    	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	C_100-H_18  
8.155 	6.57945e-06 	-0.0124116  	1.01743e-05 	-1.26299e-05	0.000410484 	9.54232e-05 	1.16842e-05 	0.0030564   	0.000215752 	4.38536e-05 	-0.0111265  	-7.09837e-05	0.000404604 	9.43086e-06 	-0.000446984	1.05489e-05 	-0.000263685	-2.95592e-05	6.92709e-06 	-0.000137119	6.91807e-05 	0.00359197  	0.000258116 	-0.00540511 	5.79918e-05 	5.8216e-05  	-0.0162764  	-0.00064581 	0.000165385 	1.10191e-05 	6.60252e-06 	4.64939e-06 	0.000102899 	-0.000210392	8.97201e-06 	4.44794e-05 	0.000223686 	-0.0211816  	0.000195664 	-0.0291204  	-0.00276033 	0.000413478 	-4.41149e-05	-0.000634417	4.00534e-06 	0.00821851  	1.39175e-05 	-0.000280441	0.000194208 	-0.0145696  	1.06691e-05 	-0.00024789 	0.00713569  	-1.53709e-07	2.49951e-06 	-2.85689e-05	4.03923e-06 	8.08307e-06 	-3.66894e-05	-0.000358236	-0.000198546	1.00554e-05 	3.93343e-05 	-0.000211883	-0.000229563	1.01721e-05 	-0.0119078  	-2.06469e-05	-0.00020992 	1.56186e-05 	0.000205561 	-6.76099e-05
8.165 	5.93567e-06 	-0.0136918  	9.80166e-06 	1.59337e-05 	0.000413769 	0.000136806 	1.11994e-05 	0.00128525  	0.000171584 	3.45051e-05 	-0.0082362  	-1.24307e-05	0.000382047 	9.74401e-06 	-0.000383855	1.01065e-05 	-0.00026267 	-6.96947e-05	6.44286e-06 	-0.000140082	9.64243e-05 	0.000437868 	0.000278693 	-0.00429019 	4.18471e-05 	5.47794e-05 	-0.0139971  	-0.000689916	0.000192778 	1.04176e-05 	5.78647e-06 	4.3022e-06  	9.31288e-05 	-0.000238823	8.86086e-06 	5.93217e-05 	0.00023979  	-0.0220942  	0.000193494 	-0.0303955  	-0.00427761 	0.000393063 	-6.89733e-05	-0.000602083	4.08398e-06 	0.00559115  	1.34474e-05 	-0.000284894	0.000198567 	-0.0149262  	1.02344e-05 	-0.000254025	0.00796982  	-1.03468e-06	2.78611e-06 	-1.5972e-05 	3.96272e-06 	8.31978e-06 	-4.71945e-05	-0.000371947	-0.000170827	9.6917e-06  	3.06837e-05 	-0.000223713	-0.000186212	9.33969e-06 	-0.0107564  	-2.84511e-05	-0.000265074	1.4564e-05  	0.00016847  	-0.000103102
8.175 	5.38736e-06 	-0.0142223  	9.40352e-06 	4.52988e-05 	0.00041459  	0.000177603 	1.07633e-05 	5.21245e-06 	0.000125645 	2.25301e-05 	-0.00523281 	4.82249e-05 	0.000353297 	1.0057e-05  	-0.000317281	9.72625e-06 	-0.00025336 	-0.000101028	6.09477e-06 	-0.00013609 	0.00012176  	-0.00219094 	0.000293779 	-0.00268566 	2.85468e-05 	5.20732e-05 	-0.0113743  	-0.0007182  	0.000217749 	9.8253e-06  	5.09259e-06 	4.03634e-06 	9.06541e-05 	-0.000262648	8.82918e-06 	7.36428e-05 	0.000259702 	-0.0223233  	0.000187883 	-0.0311251  	-0.00550679 	0.000367163 	-8.84142e-05	-0.000562495	4.22391e-06 	0.00342576  	1.29751e-05 	-0.000285191	0.000204567 	-0.0147142  	9.84181e-06 	-0.000255941	0.00892837  	-1.70015e-06	3.24651e-06 	-1.00659e-06	3.96143e-06 	8.60563e-06 	-5.27775e-05	-0.000117033	-0.00014099 	9.47461e-06 	2.39137e-05 	-0.000228321	-0.00014214 	8.61942e-06 	-0.00936592 	-3.52542e-05	-0.000311328	1.34781e-05 	0.000133398 	-0.00013201 
8.185 	4.94295e-06 	-0.013973   	8.97836e-06 	7.51421e-05 	0.000413074 	0.000217204 	1.03925e-05 	-0.000754364	7.95011e-05 	8.70304e-06 	-0.00217902 	0.000109433 	0.000319341 	1.03515e-05 	-0.000248571	9.41444e-06 	-0.000236076	-0.000122825	5.88586e-06 	-0.000125207	0.000144781 	-0.00423172 	0.000303347 	-0.00062779 	1.83571e-05 	5.02283e-05 	-0.00847624 	-0.000730261	0.000239922 	9.25424e-06 	4.54135e-06 	3.85703e-06 	9.56161e-05 	-0.00028166 	8.88293e-06 	8.73526e-05 	0.000283054 	-0.0218589  	0.000179011 	-0.0312847  	-0.00644166 	0.000336784 	-0.000101774	-0.000516625	4.43047e-06 	0.00177736  	1.25025e-05 	-0.000281366	0.000212297 	-0.0139349  	9.48515e-06 	-0.000253163	0.00998063  	-2.1367e-06 	3.87279e-06 	1.60495e-05 	4.03244e-06 	8.9328e-06  	-5.31727e-05	0.000383581 	-0.000109281	9.39953e-06 	1.89598e-05 	-0.000225257	-9.84477e-05	8.02551e-06 	-0.00777741 	-4.10739e-05	-0.000347069	1.23709e-05 	0.000101133 	-0.000153604
8.195 	4.60636e-06 	-0.0129454  	8.52481e-06 	0.000105069 	0.000409316 	0.000255004 	1.0099e-05  	-0.000985424	3.46256e-05 	-6.1812e-06 	0.000862902 	0.000169702 	0.00028125  	1.06092e-05 	-0.000179102	9.1739e-06  	-0.000211412	-0.000134704	5.8132e-06  	-0.000107755	0.000165115 	-0.00564457 	0.00030751  	0.00183173  	1.14187e-05 	4.93018e-05 	-0.00538158 	-0.000726232	0.000258946 	8.71537e-06 	4.14756e-06 	3.76693e-06 	0.00010784  	-0.000295837	9.02432e-06 	0.000100388 	0.000309281 	-0.020713   	0.000167109 	-0.0308681  	-0.00708715 	0.00030302  	-0.000108587	-0.000465606	4.7064e-06  	0.000680616 	1.20301e-05 	-0.000273489	0.000221726 	-0.0126078  	9.15696e-06 	-0.000245428	0.0110891   	-2.33871e-06	4.65105e-06 	3.48211e-05 	4.17031e-06 	9.291e-06   	-4.82576e-05	0.00109371  	-7.59643e-05	9.45603e-06 	1.57016e-05 	-0.000214309	-5.61926e-05	7.56735e-06 	-0.00604202 	-4.59099e-05	-0.000371099	1.12528e-05 	7.22813e-05 	-0.000167418
8.205 	4.37698e-06 	-0.011172   	8.04182e-06 	0.00013462  	0.000403388 	0.000290413 	9.88959e-06 	-0.000701077	-7.6383e-06 	-2.13335e-05	0.00383277  	0.000227637 	0.000240144 	1.08132e-05 	-0.00011029 	9.00408e-06 	-0.000180216	-0.000136644	5.86813e-06 	-8.43034e-05	0.000182439 	-0.00641314 	0.000306521 	0.00462745  	7.7483e-06  	4.92797e-05 	-0.00217646 	-0.000706758	0.000274508 	8.21801e-06 	3.9199e-06  	3.76606e-06 	0.000126842 	-0.00030534 	9.2518e-06  	0.000112711 	0.000337631 	-0.0189201  	0.000152455 	-0.0298868  	-0.00745846 	0.000267019 	-0.000108595	-0.000410702	5.05164e-06 	0.000149248 	1.15571e-05 	-0.000261662	0.0002327   	-0.0107696  	8.84885e-06 	-0.000232703	0.0122106   	-2.30839e-06	5.56201e-06 	5.48481e-05 	4.36733e-06 	9.66785e-06 	-3.80563e-05	0.0019653   	-4.13164e-05	9.62831e-06 	1.39724e-05 	-0.000195512	-1.63512e-05	7.24932e-06 	-0.00421901 	-4.97393e-05	-0.000382658	1.01349e-05 	4.72563e-05 	-0.000173259
8.215 	4.2499e-06  	-0.00871543 	7.52901e-06 	0.000163281 	0.000395345 	0.000322869 	9.76577e-06 	6.53423e-05 	-4.6115e-05 	-3.59951e-05	0.00667404  	0.000281968 	0.000197167 	1.09482e-05 	-4.35615e-05	8.90111e-06 	-0.000143556	-0.000128973	6.03671e-06 	-5.56468e-05	0.000196488 	-0.00654429 	0.000300759 	0.00768222  	7.24513e-06 	5.0083e-05  	0.00104821  	-0.000672965	0.000286344 	7.76974e-06 	3.86078e-06 	3.85191e-06 	0.000151856 	-0.000310501	9.56015e-06 	0.000124306 	0.000367193 	-0.0165348  	0.00013537  	-0.0283695  	-0.00757984 	0.000229947 	-0.000101761	-0.000353263	5.46328e-06 	0.000176184 	1.10816e-05 	-0.000246021	0.00024495  	-0.0084729  	8.55204e-06 	-0.000215177	0.0132985   	-2.05553e-06	6.58166e-06 	7.56013e-05 	4.61384e-06 	1.00493e-05 	-2.27383e-05	0.00294026  	-5.62827e-06	9.89595e-06 	1.35704e-05 	-0.000169142	2.02115e-05 	7.07074e-06 	-0.00237359 	-5.25136e-05	-0.000381446	9.02837e-06 	2.62761e-05 	-0.000171207
8.225 	4.2162e-06  	-0.0056651  	6.98681e-06 	0.000190497 	0.000385231 	0.000351841 	9.72423e-06 	0.00126199  	-7.9823e-05 	-4.94598e-05	0.00933528  	0.000331578 	0.00015345  	1.10015e-05 	1.9685e-05  	8.85799e-06 	-0.000102686	-0.000112359	6.30038e-06 	-2.27736e-05	0.000207067 	-0.00606705 	0.000290713 	0.0109097   	9.70101e-06 	5.15769e-05 	0.0041999   	-0.000626406	0.00029425  	7.37632e-06 	3.96633e-06 	4.01955e-06 	0.000181859 	-0.000311807	9.9407e-06  	0.000135176 	0.000396923 	-0.0136305  	0.000116216 	-0.0263606  	-0.00748303 	0.000192955 	-8.82599e-05	-0.000294686	5.93553e-06 	0.00073444  	1.06006e-05 	-0.000226735	0.000258104 	-0.00578412 	8.2578e-06  	-0.00019326 	0.0143039   	-1.59707e-06	7.68212e-06 	9.65011e-05 	4.89864e-06 	1.04201e-05 	-2.61307e-06	0.00395282  	3.07969e-05 	1.02347e-05 	1.42702e-05 	-0.000135703	5.27694e-05 	7.02602e-06 	-0.000574357	-5.4159e-05 	-0.000367614	7.9447e-06  	9.37156e-06 	-0.000161601
8.235 	4.26349e-06 	-0.002134   	6.41669e-06 	0.000215684 	0.000373095 	0.00037685  	9.75714e-06 	0.00282091  	-0.000107993	-6.1093e-05 	0.0117714   	0.000375522 	0.000110086 	1.09633e-05 	7.81088e-05 	8.86493e-06 	-5.89944e-05	-8.77685e-05	6.63679e-06 	1.31706e-05 	0.000214053 	-0.00503072 	0.000276972 	0.0142173   	1.48144e-05 	5.35821e-05 	0.00718769  	-0.000568998	0.000298089 	7.04161e-06 	4.22669e-06 	4.26184e-06 	0.000215619 	-0.000309874	1.03817e-05 	0.000145339 	0.000425683 	-0.0102962  	9.53929e-05 	-0.0239181  	-0.00720542 	0.000157144 	-6.84772e-05	-0.000236365	6.45999e-06 	0.00177868  	1.01108e-05 	-0.000204006	0.000271697 	-0.00278132 	7.95795e-06 	-0.000167555	0.0151783   	-9.56358e-07	8.8327e-06  	0.000116939 	5.20941e-06 	1.07644e-05 	2.188e-05   	0.00493219  	6.7645e-05  	1.06177e-05 	1.58336e-05 	-9.59168e-05	8.07586e-05 	7.10493e-06 	0.00110945  	-5.45778e-05	-0.000341749	6.89538e-06 	-3.59885e-06	-0.000145019
8.245 	4.37645e-06 	0.00174614  	5.82131e-06 	0.000238254 	0.000358998 	0.000397474 	9.85285e-06 	0.00466099  	-0.000130077	-7.03475e-05	0.0139447   	0.000413039 	6.81031e-05 	1.08272e-05 	0.000130462 	8.9098e-06  	-1.39628e-05	-5.64331e-05	7.02075e-06 	5.09262e-05 	0.000217405 	-0.00350235 	0.000260198 	0.0175087   	2.22071e-05 	5.58882e-05 	0.00992553  	-0.000502949	0.000297804 	6.76762e-06 	4.62649e-06 	4.56972e-06 	0.000251745 	-0.00030542 	1.08687e-05 	0.000154826 	0.000452284 	-0.00663335 	7.33283e-05 	-0.0211115  	-0.00678807 	0.000123536 	-4.29909e-05	-0.000179654	7.02577e-06 	0.00324739  	9.60818e-06 	-0.00017807 	0.000285199 	0.000448542 	7.64526e-06 	-0.000138837	0.0158751   	-1.6219e-07 	1.00009e-05 	0.000136299 	5.53315e-06 	1.10663e-05 	5.01855e-05 	0.00580546  	0.000104592 	1.10161e-05 	1.80212e-05 	-5.06907e-05	0.000103794 	7.29311e-06 	0.00261082  	-5.36531e-05	-0.000304841	5.89178e-06 	-1.29286e-05	-0.000122253
