q      	sum          	Hg-I_2       	H_1-I_2      	I_2-I_2      	I_1-I_2      	O-Hg         	O-I_1        	H_2-Hg       	C-I_1        	H_1-I_1      	H_1-H_1      	C-C          	O-O          	H_2-H_2      	C-H_2        	O-I_2        	C-H_1        	C-I_2        	Hg-I_1       	O-H_2        	Hg-Hg        	H_1-H_2      	H_2-I_1      	O-H_1        	O-C          	H_1-Hg       	I_1-I_1      	H_2-I_2      	C-Hg        
1.825 	64202       	-1080.69    	12.776      	2119.43     	-195.767    	-442.87     	228.599     	23.6424     	230.732     	-2.47484    	56.5442     	16307.1     	20422.3     	238.189     	1893.88     	309.441     	-277.709    	240.401     	-1080.69    	107.338     	5268.9      	-139.983    	9.45618     	4816.88     	12805.1     	41.4254     	2119.43     	7.40245     	163.235     
1.835 	63067.7     	-1063.81    	11.2681     	2114.32     	-210.065    	-419.394    	214.135     	23.1657     	222.036     	-5.3621     	54.8629     	15986.5     	20229.6     	234.394     	1837.11     	304.87      	-312.975    	226.85      	-1063.81    	85.5033     	5259.49     	-137.439    	9.21652     	4693.84     	12436       	47.5504     	2114.32     	6.51076     	169.078     
1.845 	61934.5     	-1046.35    	9.74033     	2109.22     	-223.505    	-395.485    	200.591     	22.4754     	213.618     	-7.91205    	54.1656     	15654.1     	20045.7     	230.611     	1779.47     	298.84      	-345.606    	212.947     	-1046.35    	63.2931     	5250.08     	-134.852    	8.98241     	4577.03     	12062.3     	53.6873     	2109.22     	5.67917     	172.841     
1.855 	60812.2     	-1028.35    	8.21193     	2104.12     	-236.062    	-371.731    	188.355     	21.5981     	205.733     	-10.1295    	54.4087     	15313.8     	19871.4     	226.854     	1721.47     	291.488     	-375.449    	199.054     	-1028.35    	40.968      	5240.67     	-132.214    	8.75948     	4466.42     	11687.9     	59.7512     	2104.12     	4.92386     	174.514     
1.865 	59709.2     	-1009.82    	6.70188     	2099.04     	-247.712    	-348.684    	177.712     	20.5657     	198.576     	-12.0378    	55.5359     	14968.9     	19707.4     	223.138     	1663.59     	282.977     	-402.443    	185.514     	-1009.82    	18.7659     	5231.25     	-129.521    	8.55191     	4361.83     	11316.1     	65.671      	2099.04     	4.25779     	174.141     
1.875 	58632.4     	-990.792    	5.22801     	2093.96     	-258.434    	-326.827    	168.839     	19.4135     	192.276     	-13.6747    	57.4799     	14622.7     	19553.9     	219.475     	1606.25     	273.497     	-426.607    	172.648     	-990.792    	-3.10202    	5221.83     	-126.772    	8.36213     	4262.99     	10949.7     	71.3924     	2093.96     	3.69045     	171.816     
1.885 	57586.9     	-971.277    	3.80639     	2088.89     	-268.213    	-306.56     	161.804     	18.1785     	186.893     	-15.0889    	60.1643     	14278       	19410.9     	215.877     	1549.83     	263.253     	-448.036    	160.735     	-971.277    	-24.4542    	5212.41     	-123.969    	8.19073     	4169.53     	10590.7     	76.8784     	2088.89     	3.22759     	167.679     
1.895 	56576.4     	-951.302    	2.45074     	2083.83     	-277.032    	-288.181    	156.578     	16.8981     	182.415     	-16.3346    	63.5071     	13937.2     	19277.9     	212.352     	1494.67     	252.463     	-466.893    	150.002     	-951.302    	-45.1406    	5202.99     	-121.117    	8.03641     	4080.99     	10240.7     	82.1091     	2083.83     	2.87122     	161.91      
1.905 	55603       	-930.886    	1.17187     	2078.77     	-284.88     	-271.872    	153.038     	15.6077     	178.764     	-17.4682    	67.4229     	13602.5     	19154.4     	208.911     	1441.04     	241.347     	-483.393    	140.621     	-930.886    	-65.0435    	5193.57     	-118.221    	7.89605     	3996.89     	9900.54     	87.0791     	2078.77     	2.61969     	154.721     
1.915 	54667.4     	-910.051    	-0.0227404  	2073.73     	-291.75     	-257.703    	150.99      	14.3397     	175.806     	-18.5436    	71.8262     	13275.2     	19039.5     	205.558     	1389.15     	230.129     	-497.792    	132.7       	-910.051    	-84.0771    	5184.15     	-115.29     	7.7649      	3916.68     	9570.79     	91.7947     	2073.73     	2.46789     	146.353     
1.925 	53769.2     	-888.819    	-1.12924    	2068.7      	-297.635    	-245.625    	150.178     	13.1225     	173.354     	-19.6088    	76.6348     	12956.7     	18932.2     	202.299     	1339.15     	219.018     	-510.374    	126.279     	-888.819    	-102.187    	5174.73     	-112.334    	7.63683     	3839.84     	9251.41     	96.2696     	2068.7      	2.40757     	137.068     
1.935 	52906.9     	-867.21     	-2.14758    	2063.67     	-302.533    	-235.484    	150.305     	11.9792     	171.186     	-20.7038    	81.7721     	12647.7     	18831.4     	199.137     	1291.15     	208.212     	-521.434    	121.33      	-867.21     	-119.346    	5165.31     	-109.361    	7.50468     	3765.84     	8942.03     	100.52      	2063.67     	2.42785     	127.14      
1.945 	52078.3     	-845.246    	-3.08153    	2058.66     	-306.445    	-227.03     	151.054     	10.9271     	169.056     	-21.8583    	87.1697     	12348.6     	18736.1     	196.073     	1245.18     	197.883     	-531.268    	117.765     	-845.246    	-135.555    	5155.89     	-106.381    	7.36071     	3694.17     	8641.99     	104.561     	2058.66     	2.51565     	116.852     
1.955 	51280.8     	-822.948    	-3.93849    	2053.65     	-309.375    	-219.934    	152.102     	9.97754     	166.708     	-23.0908    	92.7696     	12059.4     	18645.2     	193.109     	1201.23     	188.18      	-540.161    	115.434     	-822.948    	-150.835    	5146.47     	-103.405    	7.19709     	3624.4      	8350.45     	108.4       	2053.65     	2.65637     	106.486     
1.965 	50511.5     	-800.337    	-4.7292     	2048.66     	-311.327    	-213.811    	153.138     	9.13588     	163.895     	-24.4089    	98.5257     	11780       	18557.7     	190.241     	1159.27     	179.216     	-548.372    	114.136     	-800.337    	-165.227    	5137.05     	-100.441    	7.00634     	3556.13     	8066.46     	112.036     	2048.66     	2.83444     	96.3195     
1.975 	49767.2     	-777.433    	-5.46726    	2043.67     	-312.311    	-208.241    	153.881     	8.40196     	160.388     	-25.8098    	104.404     	11510       	18472.9     	187.468     	1119.21     	171.072     	-556.13     	113.633     	-777.433    	-178.784    	5127.64     	-97.4982    	6.78188     	3489.07     	7789.08     	115.453     	2043.67     	3.03401     	86.6184     
1.985 	49045.3     	-754.259    	-6.16855    	2038.69     	-312.338    	-202.793    	154.087     	7.77063     	155.994     	-27.2821    	110.384     	11248.8     	18390       	184.786     	1080.94     	163.79      	-563.627    	113.657     	-754.259    	-191.571    	5118.23     	-94.5828    	6.51848     	3422.98     	7517.38     	118.622     	2038.69     	3.23956     	77.6311     
1.995 	48343.1     	-730.834    	-6.85051    	2033.73     	-311.424    	-197.047    	153.564     	7.2326      	150.562     	-28.8073    	116.456     	10995.7     	18308.6     	182.191     	1044.33     	157.378     	-571.01     	113.925     	-730.834    	-203.657    	5108.82     	-91.7011    	6.21267     	3357.7      	7250.59     	121.499     	2033.73     	3.43648     	69.5837     
2.005 	47658.8     	-707.179    	-7.53135    	2028.77     	-309.584    	-190.618    	152.173     	6.77546     	143.998     	-30.3624    	122.624     	10750.2     	18228.6     	179.679     	1009.26     	151.803     	-578.386    	114.153     	-707.179    	-215.113    	5099.41     	-88.858     	5.86309     	3293.16     	6988.09     	124.026     	2028.77     	3.6116      	62.6754     
2.015 	46990.7     	-683.315    	-8.22925    	2023.83     	-306.837    	-183.175    	149.834     	6.38474     	136.265     	-31.9223    	128.898     	10511.4     	18149.8     	177.243     	975.582     	147.003     	-585.817    	114.067     	-683.315    	-226.007    	5090        	-86.0568    	5.47067     	3229.36     	6729.45     	126.136     	2023.83     	3.75367     	57.0739     
2.025 	46338.1     	-659.262    	-8.96149    	2018.89     	-303.206    	-174.455    	146.525     	6.045       	127.388     	-33.4623    	135.299     	10278.9     	18072.5     	174.879     	943.169     	142.883     	-593.326    	113.419     	-659.262    	-236.403    	5080.6      	-83.3001    	5.03881     	3166.35     	6474.46     	127.752     	2018.89     	3.85367     	52.9119     
2.035 	45700.7     	-635.04     	-9.74366    	2013.97     	-298.713    	-164.276    	142.276     	5.74091     	117.455     	-34.9598    	141.851     	10052.2     	17997       	172.582     	911.899     	139.324     	-600.899    	111.997     	-635.04     	-246.358    	5071.2      	-80.5892    	4.57335     	3104.24     	6223.1      	128.798     	2013.97     	3.9051      	50.2843     
2.045 	45078.9     	-610.669    	-10.5889    	2009.06     	-293.386    	-152.545    	137.166     	5.45818     	106.611     	-36.3961    	148.581     	9830.78     	17923.9     	170.347     	881.666     	136.186     	-608.496    	109.632     	-610.669    	-255.92     	5061.81     	-77.9244    	4.08242     	3043.17     	5975.58     	129.198     	2009.06     	3.90408     	49.2457     
2.055 	44473.3     	-586.169    	-11.5071    	2004.16     	-287.252    	-139.257    	131.315     	5.18442     	95.0516     	-37.7579    	155.517     	9614.49     	17853.9     	168.17      	852.383     	133.32      	-616.053    	106.208     	-586.169    	-265.125    	5052.42     	-75.3055    	3.57623     	2983.3      	5732.22     	128.887     	2004.16     	3.84942     	49.8089     
2.065 	43885.3     	-561.559    	-12.5048    	1999.27     	-280.34     	-124.497    	124.871     	4.90976     	83.0158     	-39.0372    	162.682     	9403.22     	17787.6     	166.046     	823.984     	130.566     	-623.493    	101.665     	-561.559    	-274.001    	5043.04     	-72.7316    	3.06664     	2924.81     	5493.5      	127.814     	1999.27     	3.74252     	51.9447     
2.075 	43316.3     	-536.86     	-13.5841    	1994.39     	-272.684    	-108.429    	118.004     	4.62724     	70.7728     	-40.2318    	170.098     	9196.98     	17725.9     	163.972     	796.423     	127.771     	-630.733    	96.0025     	-536.86     	-282.566    	5033.66     	-70.2016    	2.56673     	2867.85     	5259.98     	125.949     	1994.39     	3.58716     	55.5821     
2.085 	42768       	-512.09     	-14.743     	1989.52     	-264.316    	-91.2896    	110.892     	4.33308     	58.6099     	-41.3444    	177.777     	8995.92     	17669.4     	161.946     	769.675     	124.785     	-637.691    	89.2746     	-512.09     	-290.828    	5024.28     	-67.7142    	2.09028     	2812.56     	5032.21     	123.284     	1989.52     	3.38923     	60.6099     
2.095 	42241.9     	-487.268    	-15.9751    	1984.66     	-255.271    	-73.3677    	103.712     	4.0266      	46.8193     	-42.3815    	185.725     	8800.29     	17618.8     	159.965     	743.734     	121.478     	-644.295    	81.5902     	-487.268    	-298.787    	5014.91     	-65.2681    	1.6511      	2759.07     	4810.76     	119.842     	1984.66     	3.15639     	66.8792     
2.105 	41739.6     	-462.413    	-17.2699    	1979.82     	-245.587    	-54.9934    	96.6322     	3.71002     	35.684      	-43.3516    	193.938     	8610.39     	17574.8     	158.028     	718.608     	117.736     	-650.485    	73.1047     	-462.413    	-306.439    	5005.55     	-62.862     	1.2625      	2707.43     	4596.11     	115.67      	1979.82     	2.89765     	74.2071     
2.115 	41262.4     	-437.544    	-18.6127    	1974.98     	-235.3      	-36.5172    	89.8007     	3.38805     	25.4647     	-44.2639    	202.404     	8426.6      	17537.9     	156.133     	694.32      	113.473     	-656.222    	64.0116     	-437.544    	-313.773    	4996.19     	-60.4951    	0.936627    	2657.69     	4388.61     	110.85      	1974.98     	2.6229      	82.3815     
2.125 	40811.2     	-412.679    	-19.9857    	1970.16     	-224.451    	-18.2923    	83.3413     	3.06732     	16.3879     	-45.1257    	211.101     	8249.28     	17508.2     	154.28      	670.899     	108.632     	-661.488    	54.5331     	-412.679    	-320.777    	4986.84     	-58.1667    	0.683903    	2609.82     	4188.49     	105.489     	1970.16     	2.34245     	91.1664     
2.135 	40386.4     	-387.836    	-21.3678    	1965.35     	-213.08     	-0.656057   	77.348      	2.75572     	8.63558     	-45.9413    	219.997     	8078.77     	17485.9     	152.469     	648.379     	103.186     	-666.289    	44.9082     	-387.836    	-327.44     	4977.5      	-55.8766    	0.512531    	2563.78     	3995.81     	99.7188     	1965.35     	2.06656     	100.309     
2.145 	39988.1     	-363.033    	-22.7362    	1960.55     	-201.227    	16.0865     	71.8824     	2.46168     	2.33687     	-46.7097    	229.057     	7915.38     	17471       	150.698     	626.794     	97.1411     	-670.654    	35.3813     	-363.033    	-333.749    	4968.16     	-53.6248    	0.428071    	2519.45     	3810.42     	93.6914     	1960.55     	1.80499     	109.546     
2.155 	39615.7     	-338.288    	-24.0667    	1955.77     	-188.935    	31.6777     	66.9731     	2.19344     	-2.43709    	-47.4237    	238.236     	7759.35     	17463.3     	148.968     	606.176     	90.5348     	-674.632    	26.1901     	-338.288    	-339.697    	4958.83     	-51.4117    	0.433137    	2476.71     	3632.01     	87.5735     	1955.77     	1.56662     	118.613     
2.165 	39268.2     	-313.616    	-25.3345    	1950.99     	-176.247    	45.9188     	62.6171     	1.95828     	-5.6761     	-48.0692    	247.486     	7610.82     	17462.3     	147.279     	586.546     	83.4344     	-678.292    	17.5544     	-313.616    	-345.279    	4949.5      	-49.2381    	0.52722     	2435.39     	3460.09     	81.5385     	1950.99     	1.35904     	127.249     
2.175 	38944.2     	-289.037    	-26.5156    	1946.23     	-163.205    	58.6788     	58.7822     	1.76199     	-7.43065    	-48.6248    	256.758     	7469.82     	17467.6     	145.63      	567.918     	75.9334     	-681.716    	9.66644     	-289.037    	-350.495    	4940.18     	-47.1046    	0.70665     	2395.32     	3294        	75.759      	1946.23     	1.18836     	135.209     
2.185 	38641.7     	-264.566    	-27.5874    	1941.48     	-149.854    	69.8994     	55.4116     	1.60829     	-7.80894    	-49.0625    	266.004     	7336.29     	17478.3     	144.022     	550.291     	68.1475     	-684.997    	2.68169     	-264.566    	-355.351    	4930.88     	-45.0123    	0.964692    	2356.3      	3132.97     	70.3993     	1941.48     	1.05893     	142.267     
2.195 	38358.5     	-240.219    	-28.5295    	1936.74     	-136.237    	79.5962     	52.429      	1.49847     	-6.97122    	-49.3488    	275.176     	7210.05     	17493.9     	142.453     	533.653     	60.209      	-688.228    	-3.28708    	-240.219    	-359.856    	4921.57     	-42.9622    	1.29178     	2318.15     	2976.12     	65.6074     	1936.74     	0.97328     	148.226     
2.205 	38092.2     	-216.014    	-29.3248    	1932.01     	-122.4      	87.8565     	49.7449     	1.43122     	-5.12184    	-49.4461    	284.231     	7090.79     	17513.4     	140.922     	517.976     	52.2607     	-691.502    	-8.17418    	-216.014    	-364.027    	4912.28     	-40.955     	1.67589     	2280.69     	2822.54     	61.508      	1932.01     	0.93207     	152.924     
2.215 	37840.2     	-191.964    	-29.9596    	1927.3      	-108.385    	94.8334     	47.2625     	1.40257     	-2.49941    	-49.3152    	293.132     	6978.15     	17536       	139.429     	503.219     	44.4495     	-694.903    	-11.9628    	-191.964    	-367.882    	4903        	-38.9917    	2.10297     	2243.77     	2671.29     	58.1962     	1927.3      	0.934153    	156.236     
2.225 	37599.8     	-168.087    	-30.4249    	1922.6      	-94.237     	100.737     	44.8844     	1.40602     	0.634439    	-48.9175    	301.849     	6871.67     	17560.8     	137.972     	489.327     	36.9193     	-698.504    	-14.6844    	-168.087    	-371.442    	4893.72     	-37.0725    	2.55754     	2207.26     	2521.48     	55.7327     	1922.6      	0.976712    	158.081     
2.235 	37368.5     	-144.397    	-30.7159    	1917.91     	-80.0003    	105.824     	42.518      	1.43289     	4.00713     	-48.2181    	310.358     	6770.81     	17587.1     	136.548     	476.236     	29.8055     	-702.357    	-16.4155    	-144.397    	-374.733    	4884.45     	-35.1978    	3.02328     	2171.06     	2372.27     	54.141      	1917.91     	1.05546     	158.423     
2.245 	37143.9     	-120.909    	-30.8327    	1913.23     	-65.718     	110.382     	40.081      	1.47273     	7.34741     	-47.1881    	318.644     	6675.04     	17614.1     	135.157     	463.872     	23.2277     	-706.497    	-17.2726    	-120.909    	-377.778    	4875.19     	-33.3675    	3.48369     	2135.11     	2222.94     	53.4056     	1913.23     	1.1649      	157.272     
2.255 	36924       	-97.6371    	-30.7801    	1908.57     	-51.4334    	114.719     	37.5051     	1.5139      	10.3973     	-45.8079    	326.701     	6583.77     	17641.2     	133.796     	452.156     	17.2854     	-710.932    	-17.405     	-97.6371    	-380.602    	4865.94     	-31.5812    	3.92273     	2099.38     	2072.92     	53.4725     	1908.57     	1.29864     	154.682     
2.265 	36706.9     	-74.5959    	-30.5672    	1903.92     	-37.1888    	119.145     	34.7397     	1.54418     	12.9231     	-44.0686    	334.528     	6496.46     	17667.8     	132.463     	441.005     	12.0531     	-715.65     	-16.9866    	-74.5959    	-383.226    	4856.7      	-29.8381    	4.32544     	2063.89     	1921.76     	54.2517     	1903.92     	1.44969     	150.747     
2.275 	36491.4     	-51.7989    	-30.2073    	1899.28     	-23.0262    	123.961     	31.7531     	1.5515      	14.7249     	-41.9748    	342.131     	6412.57     	17693.6     	131.155     	430.338     	7.57715     	-720.613    	-16.2061    	-51.7989    	-385.669    	4847.47     	-28.1374    	4.67855     	2028.67     	1769.22     	55.6212     	1899.28     	1.61084     	145.603     
2.285 	36276.4     	-29.2597    	-29.717     	1894.65     	-8.98649    	129.44      	28.5331     	1.52456     	15.6447     	-39.545     	349.522     	6331.62     	17718.3     	129.871     	420.074     	3.87379     	-725.76     	-15.2574    	-29.2597    	-387.946    	4838.25     	-26.4778    	4.97091     	1993.8      	1615.2      	57.4325     	1894.65     	1.77496     	139.414     
2.295 	36061.4     	-6.99125    	-29.1159    	1890.04     	4.89026     	135.823     	25.0871     	1.45353     	15.5714     	-36.8123    	356.715     	6253.21     	17741.8     	128.608     	410.14      	0.928678    	-731.013    	-14.3293    	-6.99125    	-390.068    	4829.04     	-24.858     	5.19393     	1959.37     	1459.77     	59.5174     	1890.04     	1.93535     	132.37      
2.305 	35846.2     	14.9936     	-28.4251    	1885.44     	18.565      	143.299     	21.4395     	1.33059     	14.4449     	-33.8244    	363.726     	6177        	17764.1     	127.364     	400.47      	-1.30241    	-736.276    	-13.5967    	14.9936     	-392.04     	4819.84     	-23.2766    	5.34185     	1925.48     	1303.15     	61.6963     	1885.44     	2.08596     	124.68      
2.315 	35631       	36.6826     	-27.667     	1880.85     	31.9997     	152.006     	17.6297     	1.15037     	12.2562     	-30.6418    	370.572     	6102.73     	17785.3     	126.138     	391.007     	-2.89145    	-741.443    	-13.2119    	36.6826     	-393.863    	4810.65     	-21.7321    	5.41186     	1892.24     	1145.7      	63.7855     	1880.85     	2.2217      	116.562     
2.325 	35416.3     	58.0637     	-26.8636    	1876.28     	45.1578     	162.02      	13.7083     	0.910346    	9.04628     	-27.3363    	377.266     	6030.24     	17805.6     	124.928     	381.706     	-3.93473    	-746.402    	-13.2977    	58.0637     	-395.532    	4801.47     	-20.2232    	5.40416     	1859.77     	987.85      	65.6063     	1876.28     	2.33852     	108.234     
2.335 	35202.9     	79.1252     	-26.0362    	1871.72     	58.0037     	173.355     	9.73401     	0.610954    	4.9021      	-23.9882    	383.82      	5959.46     	17825.1     	123.733     	372.532     	-4.5485     	-751.038    	-13.9427    	79.1252     	-397.039    	4792.3      	-18.7487    	5.32181     	1828.16     	830.124     	66.9929     	1871.72     	2.43362     	99.9069     
2.345 	34991.6     	99.8559     	-25.2042    	1867.17     	70.5036     	185.961     	5.76898     	0.255653    	-0.0490838  	-20.6829    	390.24      	5890.37     	17844.4     	122.553     	363.465     	-4.86353    	-755.242    	-15.1973    	99.8559     	-398.371    	4783.14     	-17.3073    	5.17056     	1797.5      	673.065     	67.7993     	1867.17     	2.50543     	91.7783     
2.355 	34783.4     	120.245     	-24.3843    	1862.63     	82.6248     	199.73      	1.87526     	-0.149225   	-5.64723    	-17.5074    	396.526     	5823.04     	17863.5     	121.385     	354.491     	-5.01928    	-758.912    	-17.0733    	120.245     	-399.513    	4773.99     	-15.8983    	4.95847     	1767.85     	517.219     	67.9058     	1862.63     	2.55366     	84.0221     
2.365 	34579.2     	140.282     	-23.5899    	1858.11     	94.3363     	214.5       	-1.88899    	-0.594758   	-11.7082    	-14.5466    	402.672     	5757.59     	17882.9     	120.232     	345.61      	-5.15748    	-761.961    	-19.5442    	140.282     	-400.449    	4764.85     	-14.5209    	4.69552     	1739.25     	363.096     	67.224      	1858.11     	2.57916     	76.7849     
2.375 	34379.9     	159.956     	-22.8303    	1853.6      	105.609     	230.058     	-5.47272    	-1.06986    	-18.0332    	-11.8786    	408.668     	5694.17     	17902.9     	119.091     	336.83      	-5.41584    	-764.319    	-22.5484    	159.956     	-401.161    	4755.73     	-13.1746    	4.39311     	1711.7      	211.147     	65.6995     	1853.6      	2.58387     	70.181      
2.385 	34186.3     	179.259     	-22.1108    	1849.1      	116.414     	246.157     	-8.83453    	-1.56179    	-24.4185    	-9.57179    	414.493     	5632.96     	17923.5     	117.964     	328.164     	-5.92185    	-765.934    	-25.9936    	179.259     	-401.631    	4746.62     	-11.8592    	4.06354     	1685.2      	61.7341     	63.3143     	1849.1      	2.57059     	64.2888     
2.395 	33998.9     	198.18      	-21.4322    	1844.62     	126.727     	262.518     	-11.9445    	-2.05681    	-30.6652    	-7.68079    	420.123     	5574.16     	17945       	116.85      	319.633     	-6.78708    	-766.777    	-29.7629    	198.18      	-401.842    	4737.51     	-10.5746    	3.71948     	1659.68     	-84.882     	60.0861     	1844.62     	2.5428      	59.1498     
2.405 	33817.9     	216.71      	-20.7912    	1840.15     	136.523     	278.846     	-14.7853    	-2.54081    	-36.5877    	-6.24389    	425.53      	5517.93     	17967.4     	115.751     	311.258     	-8.10231    	-766.841    	-33.722     	216.71      	-401.782    	4728.42     	-9.32061    	3.37343     	1635.07     	-228.556    	56.0664     	1840.15     	2.50445     	54.7689     
2.415 	33643.3     	234.842     	-20.1801    	1835.69     	145.78      	294.841     	-17.3521    	-2.99998    	-42.0223    	-5.28089    	430.681     	5464.45     	17990.6     	114.665     	303.062     	-9.93348    	-766.139    	-37.7267    	234.842     	-401.437    	4719.34     	-8.09738    	3.03718     	1611.26     	-369.262    	51.3376     	1835.69     	2.45968     	51.1153     
2.425 	33474.8     	252.566     	-19.5882    	1831.25     	154.477     	310.207     	-19.6523    	-3.4215     	-46.8331    	-4.79178    	435.541     	5413.82     	18014.5     	113.595     	295.067     	-12.3189    	-764.708    	-41.6316    	252.566     	-400.801    	4710.28     	-6.90485    	2.72142     	1588.15     	-507.086    	46.0082     	1831.25     	2.41263     	48.1265     
2.435 	33312       	269.876     	-19.0017    	1826.82     	162.595     	324.661     	-21.7038    	-3.79411    	-50.9171    	-4.75647    	440.076     	5366.14     	18039       	112.54      	287.292     	-15.2676    	-762.6      	-45.2972    	269.876     	-399.867    	4701.22     	-5.74289    	2.43535     	1565.59     	-642.22     	40.2067     	1826.82     	2.36719     	45.7124     
2.445 	33154       	286.762     	-18.4048    	1822.4      	170.119     	337.95      	-23.5333    	-4.10866    	-54.2073    	-5.1354     	444.252     	5321.44     	18063.5     	111.499     	279.751     	-18.759     	-759.883    	-48.5978    	286.762     	-398.635    	4692.18     	-4.61118    	2.18634     	1543.45     	-774.944    	34.0758     	1822.4      	2.32679     	43.7604     
2.455 	32999.8     	303.219     	-17.7806    	1818        	177.033     	349.851     	-25.174     	-4.35848    	-56.674     	-5.87113    	448.038     	5279.7      	18087.7     	110.474     	272.453     	-22.7442    	-756.635    	-51.4277    	303.219     	-397.107    	4683.15     	-3.50919    	1.97979     	1521.58     	-905.604    	27.7649     	1818        	2.29427     	42.1423     
2.465 	32848.2     	319.24      	-17.1125    	1813.61     	183.325     	360.183     	-26.6625    	-4.5397     	-58.3238    	-6.89078    	451.408     	5240.86     	18111.3     	109.465     	265.4       	-27.1475    	-752.944    	-53.706     	319.24      	-395.286    	4674.13     	-2.43609    	1.81901     	1499.85     	-1034.59    	21.424      	1813.61     	2.27172     	40.7204     
2.475 	32698       	334.819     	-16.3844    	1809.23     	188.983     	368.811     	-28.0363    	-4.65135    	-59.1977    	-8.10931    	454.343     	5204.82     	18133.5     	108.469     	258.588     	-31.8709    	-748.9      	-55.3805    	334.819     	-393.18     	4665.13     	-1.39073    	1.70519     	1478.14     	-1162.31    	15.1966     	1809.23     	2.26039     	39.3545     
2.485 	32547.9     	349.949     	-15.5826    	1804.86     	194.001     	375.647     	-29.3312    	-4.69539    	-59.3668    	-9.43333    	456.828     	5171.42     	18153.9     	107.489     	252.007     	-36.7974    	-744.59     	-56.4294    	349.949     	-390.797    	4656.13     	-0.371613   	1.63755     	1456.33     	-1289.16    	9.2142      	1804.86     	2.2607      	37.9083     
2.495 	32396.6     	364.625     	-14.6961    	1800.51     	198.369     	380.657     	-30.5784    	-4.67658    	-58.927     	-10.7654    	458.859     	5140.49     	18172       	106.522     	245.638     	-41.7968    	-740.098    	-56.8615    	364.625     	-388.146    	4647.15     	0.623095    	1.61344     	1434.33     	-1415.51    	3.59106     	1800.51     	2.27221     	36.2556     
2.505 	32242.9     	378.842     	-13.7177    	1796.17     	202.085     	383.855     	-31.8029    	-4.60214    	-57.9934    	-12.0083    	460.438     	5111.83     	18187.1     	105.567     	239.462     	-46.7313    	-735.498    	-56.715     	378.842     	-385.238    	4638.19     	1.59554     	1.62863     	1412.07     	-1541.65    	-1.57949    	1796.17     	2.29367     	34.2856     
2.515 	32085.8     	392.595     	-12.6446    	1791.85     	205.145     	385.306     	-33.0214    	-4.48141    	-56.693     	-13.07      	461.575     	5085.25     	18198.8     	104.625     	233.449     	-51.4613    	-730.855    	-56.054     	392.595     	-382.079    	4629.23     	2.54812     	1.67761     	1389.5      	-1667.82    	-6.22779    	1791.85     	2.32315     	31.9071     
2.525 	31924.5     	405.88      	-11.4789    	1787.54     	207.549     	385.119     	-34.2416    	-4.32537    	-55.1578    	-13.8672    	462.288     	5060.53     	18206.6     	103.693     	227.573     	-55.8515    	-726.218    	-54.9645    	405.88      	-378.678    	4620.29     	3.48348     	1.75388     	1366.6      	-1794.16    	-10.3092    	1787.54     	2.35814     	29.0517     
2.535 	31758.2     	418.693     	-10.2277    	1783.24     	209.297     	383.441     	-35.4618    	-4.14603    	-53.5182    	-14.3299    	462.6       	5037.48     	18210.1     	102.772     	221.8       	-59.7766    	-721.621    	-53.5491    	418.693     	-375.039    	4611.37     	4.40434     	1.85033     	1343.36     	-1920.7     	-13.8039    	1783.24     	2.39569     	25.6758     
2.545 	31586.6     	431.031     	-8.90307    	1778.96     	210.393     	380.457     	-36.6711    	-3.95592    	-51.8961    	-14.4037    	462.543     	5015.92     	18208.8     	101.86      	216.099     	-63.1266    	-717.082    	-51.9206    	431.031     	-371.167    	4602.45     	5.31351     	1.95958     	1319.8      	-2047.38    	-16.7163    	1778.96     	2.43262     	21.7613     
2.555 	31409.4     	442.889     	-7.5218     	1774.68     	210.842     	376.375     	-37.8501    	-3.7674     	-50.3997    	-14.0531    	462.149     	4995.72     	18202.6     	100.955     	210.439     	-65.8113    	-712.603    	-50.1956    	442.889     	-367.061    	4593.56     	6.2137      	2.07433     	1295.95     	-2174.04    	-19.0721    	1774.68     	2.46566     	17.3148     
2.565 	31226.9     	454.266     	-6.10497    	1770.43     	210.65      	371.423     	-38.9727    	-3.59217    	-49.1184    	-13.2625    	461.456     	4976.76     	18191.2     	100.058     	204.793     	-67.7641    	-708.172    	-48.488     	454.266     	-362.719    	4584.67     	7.10746     	2.18765     	1271.86     	-2300.41    	-20.9155    	1770.43     	2.49162     	12.3661     
2.575 	31039.2     	465.158     	-4.67707    	1766.18     	209.827     	365.841     	-40.0076    	-3.44065    	-48.1197    	-12.0365    	460.502     	4958.95     	18174.4     	99.1681     	199.133     	-68.9444    	-703.763    	-46.9029    	465.158     	-358.138    	4575.8      	7.99707     	2.29322     	1247.59     	-2426.16    	-22.3053    	1766.18     	2.5076      	6.96548     
2.585 	30846.9     	475.564     	-3.26511    	1761.95     	208.383     	359.868     	-40.9206    	-3.32156    	-47.4468    	-10.4003    	459.324     	4942.26     	18152.3     	98.284      	193.439     	-69.3392    	-699.336    	-45.5309    	475.564     	-353.312    	4566.94     	8.88446     	2.38558     	1223.19     	-2550.88    	-23.3105    	1761.95     	2.51107     	1.17994     
