q      	H_1-I_2      	H_2-Hg       	C-I_1        	H_1-I_1      	C-I_2        	O-H_2        	H_2-I_1      	O-H_1        	O-C          	H_1-Hg       	H_2-I_2      	C-Hg        
0.395 	-218.001    	-177.472    	-524.223    	-208.028    	-607.466    	91.1294     	-90.5593    	2411.22     	1270.5      	-376.298    	-103.082    	-1009.03    
0.405 	-218.241    	-176.294    	-528.633    	-249.278    	-607.526    	89.7605     	-89.2835    	2528.25     	1359.01     	-416.402    	-102.98     	-1005.2     
0.415 	-218.26     	-175.295    	-532.618    	-286.682    	-606.302    	88.0844     	-88.0358    	2644.81     	1432.82     	-449.386    	-102.719    	-1002.16    
0.425 	-217.899    	-174.498    	-535.714    	-318.449    	-603.55     	85.7156     	-86.821     	2758.77     	1487.59     	-473.578    	-102.255    	-999.879    
0.435 	-216.992    	-173.906    	-537.487    	-343.152    	-599.099    	82.3291     	-85.637     	2868.31     	1520.25     	-487.844    	-101.554    	-998.24     
0.445 	-215.373    	-173.504    	-537.555    	-359.782    	-592.86     	77.6747     	-84.4748    	2971.97     	1529.12     	-491.631    	-100.594    	-997.031    
0.455 	-212.887    	-173.259    	-535.602    	-367.782    	-584.83     	71.5859     	-83.32      	3068.68     	1513.92     	-484.972    	-99.3699    	-995.972    
0.465 	-209.403    	-173.126    	-531.4      	-367.057    	-575.093    	63.9839     	-82.1538    	3157.84     	1475.71     	-468.459    	-97.8869    	-994.738    
0.475 	-204.821    	-173.047    	-524.812    	-357.957    	-563.811    	54.8759     	-80.9543    	3239.32     	1416.75     	-443.188    	-96.1645    	-992.971    
0.485 	-199.084    	-172.957    	-515.806    	-341.242    	-551.218    	44.3489     	-79.6982    	3313.42     	1340.36     	-410.684    	-94.2338    	-990.311    
0.495 	-192.186    	-172.787    	-504.451    	-318.027    	-537.6      	32.5596     	-78.362     	3380.85     	1250.6      	-372.797    	-92.1347    	-986.413    
0.505 	-184.176    	-172.468    	-490.915    	-289.707    	-523.285    	19.7203     	-76.9243    	3442.73     	1152.08     	-331.593    	-89.9138    	-980.971    
0.515 	-175.163    	-171.934    	-475.46     	-257.878    	-508.622    	6.08262     	-75.3668    	3500.45     	1049.65     	-289.235    	-87.6214    	-973.736    
0.525 	-165.318    	-171.125    	-458.425    	-224.241    	-493.961    	-8.08011    	-73.6757    	3555.65     	948.091     	-247.86     	-85.3077    	-964.529    
0.535 	-154.871    	-169.994    	-440.216    	-190.517    	-479.637    	-22.4911    	-71.8433    	3610.13     	851.873     	-209.467    	-83.0205    	-953.254    
0.545 	-144.108    	-168.504    	-421.285    	-158.349    	-465.951    	-36.8875    	-69.8686    	3665.77     	764.906     	-175.812    	-80.8016    	-939.905    
0.555 	-133.357    	-166.634    	-402.111    	-129.223    	-453.157    	-51.0362    	-67.758     	3724.45     	690.348     	-148.326    	-78.6848    	-924.564    
