q      	H_1-I_2      	H_2-Hg       	C-I_1        	H_1-I_1      	C-I_2        	O-H_2        	H_2-I_1      	O-H_1        	O-C          	H_1-Hg       	H_2-I_2      	C-Hg        
1.715 	23.5083     	15.4526     	251.757     	32.0848     	284.463     	241.767     	10.3407     	6487.14     	15242       	-2.8747     	15.0752     	17.8185     
1.725 	23.1766     	16.7022     	260.358     	30.792      	291.243     	242.259     	10.5095     	6321.43     	15222.5     	-1.04475    	14.9152     	31.3219     
1.735 	22.6959     	17.9865     	266.45      	28.7622     	295.806     	239.597     	10.6161     	6156.65     	15152.8     	1.08231     	14.5993     	45.9013     
1.745 	22.0701     	19.2517     	270.022     	26.1019     	298.063     	233.926     	10.6624     	5993.36     	15034.8     	3.62213     	14.1381     	61.1728     
1.755 	21.3042     	20.4455     	271.15      	22.936      	297.974     	225.425     	10.6513     	5832.21     	14871.3     	6.65533     	13.5455     	76.7377     
1.765 	20.4045     	21.5194     	269.987     	19.4003     	295.558     	214.305     	10.5871     	5673.86     	14665.9     	10.2262     	12.8385     	92.1959     
1.775 	19.3791     	22.4308     	266.756     	15.6332     	290.89      	200.807     	10.4752     	5518.98     	14422.6     	14.3433     	12.0371     	107.16      
1.785 	18.2376     	23.1448     	261.742     	11.7688     	284.106     	185.193     	10.3224     	5368.2      	14146       	18.9827     	11.1627     	121.267     
1.795 	16.9919     	23.6348     	255.272     	7.92975     	275.399     	167.744     	10.1359     	5222.13     	13840.9     	24.0921     	10.2385     	134.188     
1.805 	15.6557     	23.8842     	247.702     	4.22255     	265.013     	148.753     	9.92381     	5081.29     	13512.4     	29.5971     	9.28823     	145.638     
1.815 	14.2447     	23.8859     	239.401     	0.73325     	253.239     	128.518     	9.69452     	4946.1      	13165.5     	35.4077     	8.33531     	155.381     
1.825 	12.776      	23.6424     	230.732     	-2.47484    	240.401     	107.338     	9.45618     	4816.88     	12805.1     	41.4254     	7.40245     	163.235     
1.835 	11.2681     	23.1657     	222.036     	-5.3621     	226.85      	85.5033     	9.21652     	4693.84     	12436       	47.5504     	6.51076     	169.078     
1.845 	9.74033     	22.4754     	213.618     	-7.91205    	212.947     	63.2931     	8.98241     	4577.03     	12062.3     	53.6873     	5.67917     	172.841     
1.855 	8.21193     	21.5981     	205.733     	-10.1295    	199.054     	40.968      	8.75948     	4466.42     	11687.9     	59.7512     	4.92386     	174.514     
1.865 	6.70188     	20.5657     	198.576     	-12.0378    	185.514     	18.7659     	8.55191     	4361.83     	11316.1     	65.671      	4.25779     	174.141     
1.875 	5.22801     	19.4135     	192.276     	-13.6747    	172.648     	-3.10202    	8.36213     	4262.99     	10949.7     	71.3924     	3.69045     	171.816     
1.885 	3.80639     	18.1785     	186.893     	-15.0889    	160.735     	-24.4542    	8.19073     	4169.53     	10590.7     	76.8784     	3.22759     	167.679     
1.895 	2.45074     	16.8981     	182.415     	-16.3346    	150.002     	-45.1406    	8.03641     	4080.99     	10240.7     	82.1091     	2.87122     	161.91      
1.905 	1.17187     	15.6077     	178.764     	-17.4682    	140.621     	-65.0435    	7.89605     	3996.89     	9900.54     	87.0791     	2.61969     	154.721     
1.915 	-0.0227404  	14.3397     	175.806     	-18.5436    	132.7       	-84.0771    	7.7649      	3916.68     	9570.79     	91.7947     	2.46789     	146.353     
1.925 	-1.12924    	13.1225     	173.354     	-19.6088    	126.279     	-102.187    	7.63683     	3839.84     	9251.41     	96.2696     	2.40757     	137.068     
1.935 	-2.14758    	11.9792     	171.186     	-20.7038    	121.33      	-119.346    	7.50468     	3765.84     	8942.03     	100.52      	2.42785     	127.14      
1.945 	-3.08153    	10.9271     	169.056     	-21.8583    	117.765     	-135.555    	7.36071     	3694.17     	8641.99     	104.561     	2.51565     	116.852     
1.955 	-3.93849    	9.97754     	166.708     	-23.0908    	115.434     	-150.835    	7.19709     	3624.4      	8350.45     	108.4       	2.65637     	106.486     
1.965 	-4.7292     	9.13588     	163.895     	-24.4089    	114.136     	-165.227    	7.00634     	3556.13     	8066.46     	112.036     	2.83444     	96.3195     
1.975 	-5.46726    	8.40196     	160.388     	-25.8098    	113.633     	-178.784    	6.78188     	3489.07     	7789.08     	115.453     	3.03401     	86.6184     
1.985 	-6.16855    	7.77063     	155.994     	-27.2821    	113.657     	-191.571    	6.51848     	3422.98     	7517.38     	118.622     	3.23956     	77.6311     
1.995 	-6.85051    	7.2326      	150.562     	-28.8073    	113.925     	-203.657    	6.21267     	3357.7      	7250.59     	121.499     	3.43648     	69.5837     
2.005 	-7.53135    	6.77546     	143.998     	-30.3624    	114.153     	-215.113    	5.86309     	3293.16     	6988.09     	124.026     	3.6116      	62.6754     
2.015 	-8.22925    	6.38474     	136.265     	-31.9223    	114.067     	-226.007    	5.47067     	3229.36     	6729.45     	126.136     	3.75367     	57.0739     
2.025 	-8.96149    	6.045       	127.388     	-33.4623    	113.419     	-236.403    	5.03881     	3166.35     	6474.46     	127.752     	3.85367     	52.9119     
2.035 	-9.74366    	5.74091     	117.455     	-34.9598    	111.997     	-246.358    	4.57335     	3104.24     	6223.1      	128.798     	3.9051      	50.2843     
2.045 	-10.5889    	5.45818     	106.611     	-36.3961    	109.632     	-255.92     	4.08242     	3043.17     	5975.58     	129.198     	3.90408     	49.2457     
2.055 	-11.5071    	5.18442     	95.0516     	-37.7579    	106.208     	-265.125    	3.57623     	2983.3      	5732.22     	128.887     	3.84942     	49.8089     
2.065 	-12.5048    	4.90976     	83.0158     	-39.0372    	101.665     	-274.001    	3.06664     	2924.81     	5493.5      	127.814     	3.74252     	51.9447     
2.075 	-13.5841    	4.62724     	70.7728     	-40.2318    	96.0025     	-282.566    	2.56673     	2867.85     	5259.98     	125.949     	3.58716     	55.5821     
2.085 	-14.743     	4.33308     	58.6099     	-41.3444    	89.2746     	-290.828    	2.09028     	2812.56     	5032.21     	123.284     	3.38923     	60.6099     
2.095 	-15.9751    	4.0266      	46.8193     	-42.3815    	81.5902     	-298.787    	1.6511      	2759.07     	4810.76     	119.842     	3.15639     	66.8792     
2.105 	-17.2699    	3.71002     	35.684      	-43.3516    	73.1047     	-306.439    	1.2625      	2707.43     	4596.11     	115.67      	2.89765     	74.2071     
2.115 	-18.6127    	3.38805     	25.4647     	-44.2639    	64.0116     	-313.773    	0.936627    	2657.69     	4388.61     	110.85      	2.6229      	82.3815     
2.125 	-19.9857    	3.06732     	16.3879     	-45.1257    	54.5331     	-320.777    	0.683903    	2609.82     	4188.49     	105.489     	2.34245     	91.1664     
2.135 	-21.3678    	2.75572     	8.63558     	-45.9413    	44.9082     	-327.44     	0.512531    	2563.78     	3995.81     	99.7188     	2.06656     	100.309     
2.145 	-22.7362    	2.46168     	2.33687     	-46.7097    	35.3813     	-333.749    	0.428071    	2519.45     	3810.42     	93.6914     	1.80499     	109.546     
2.155 	-24.0667    	2.19344     	-2.43709    	-47.4237    	26.1901     	-339.697    	0.433137    	2476.71     	3632.01     	87.5735     	1.56662     	118.613     
2.165 	-25.3345    	1.95828     	-5.6761     	-48.0692    	17.5544     	-345.279    	0.52722     	2435.39     	3460.09     	81.5385     	1.35904     	127.249     
2.175 	-26.5156    	1.76199     	-7.43065    	-48.6248    	9.66644     	-350.495    	0.70665     	2395.32     	3294        	75.759      	1.18836     	135.209     
2.185 	-27.5874    	1.60829     	-7.80894    	-49.0625    	2.68169     	-355.351    	0.964692    	2356.3      	3132.97     	70.3993     	1.05893     	142.267     
2.195 	-28.5295    	1.49847     	-6.97122    	-49.3488    	-3.28708    	-359.856    	1.29178     	2318.15     	2976.12     	65.6074     	0.97328     	148.226     
2.205 	-29.3248    	1.43122     	-5.12184    	-49.4461    	-8.17418    	-364.027    	1.67589     	2280.69     	2822.54     	61.508      	0.93207     	152.924     
2.215 	-29.9596    	1.40257     	-2.49941    	-49.3152    	-11.9628    	-367.882    	2.10297     	2243.77     	2671.29     	58.1962     	0.934153    	156.236     
2.225 	-30.4249    	1.40602     	0.634439    	-48.9175    	-14.6844    	-371.442    	2.55754     	2207.26     	2521.48     	55.7327     	0.976712    	158.081     
2.235 	-30.7159    	1.43289     	4.00713     	-48.2181    	-16.4155    	-374.733    	3.02328     	2171.06     	2372.27     	54.141      	1.05546     	158.423     
2.245 	-30.8327    	1.47273     	7.34741     	-47.1881    	-17.2726    	-377.778    	3.48369     	2135.11     	2222.94     	53.4056     	1.1649      	157.272     
2.255 	-30.7801    	1.5139      	10.3973     	-45.8079    	-17.405     	-380.602    	3.92273     	2099.38     	2072.92     	53.4725     	1.29864     	154.682     
2.265 	-30.5672    	1.54418     	12.9231     	-44.0686    	-16.9866    	-383.226    	4.32544     	2063.89     	1921.76     	54.2517     	1.44969     	150.747     
2.275 	-30.2073    	1.5515      	14.7249     	-41.9748    	-16.2061    	-385.669    	4.67855     	2028.67     	1769.22     	55.6212     	1.61084     	145.603     
2.285 	-29.717     	1.52456     	15.6447     	-39.545     	-15.2574    	-387.946    	4.97091     	1993.8      	1615.2      	57.4325     	1.77496     	139.414     
2.295 	-29.1159    	1.45353     	15.5714     	-36.8123    	-14.3293    	-390.068    	5.19393     	1959.37     	1459.77     	59.5174     	1.93535     	132.37      
2.305 	-28.4251    	1.33059     	14.4449     	-33.8244    	-13.5967    	-392.04     	5.34185     	1925.48     	1303.15     	61.6963     	2.08596     	124.68      
2.315 	-27.667     	1.15037     	12.2562     	-30.6418    	-13.2119    	-393.863    	5.41186     	1892.24     	1145.7      	63.7855     	2.2217      	116.562     
2.325 	-26.8636    	0.910346    	9.04628     	-27.3363    	-13.2977    	-395.532    	5.40416     	1859.77     	987.85      	65.6063     	2.33852     	108.234     
2.335 	-26.0362    	0.610954    	4.9021      	-23.9882    	-13.9427    	-397.039    	5.32181     	1828.16     	830.124     	66.9929     	2.43362     	99.9069     
2.345 	-25.2042    	0.255653    	-0.0490838  	-20.6829    	-15.1973    	-398.371    	5.17056     	1797.5      	673.065     	67.7993     	2.50543     	91.7783     
2.355 	-24.3843    	-0.149225   	-5.64723    	-17.5074    	-17.0733    	-399.513    	4.95847     	1767.85     	517.219     	67.9058     	2.55366     	84.0221     
2.365 	-23.5899    	-0.594758   	-11.7082    	-14.5466    	-19.5442    	-400.449    	4.69552     	1739.25     	363.096     	67.224      	2.57916     	76.7849     
2.375 	-22.8303    	-1.06986    	-18.0332    	-11.8786    	-22.5484    	-401.161    	4.39311     	1711.7      	211.147     	65.6995     	2.58387     	70.181      
2.385 	-22.1108    	-1.56179    	-24.4185    	-9.57179    	-25.9936    	-401.631    	4.06354     	1685.2      	61.7341     	63.3143     	2.57059     	64.2888     
2.395 	-21.4322    	-2.05681    	-30.6652    	-7.68079    	-29.7629    	-401.842    	3.71948     	1659.68     	-84.882     	60.0861     	2.5428      	59.1498     
2.405 	-20.7912    	-2.54081    	-36.5877    	-6.24389    	-33.722     	-401.782    	3.37343     	1635.07     	-228.556    	56.0664     	2.50445     	54.7689     
2.415 	-20.1801    	-2.99998    	-42.0223    	-5.28089    	-37.7267    	-401.437    	3.03718     	1611.26     	-369.262    	51.3376     	2.45968     	51.1153     
2.425 	-19.5882    	-3.4215     	-46.8331    	-4.79178    	-41.6316    	-400.801    	2.72142     	1588.15     	-507.086    	46.0082     	2.41263     	48.1265     
2.435 	-19.0017    	-3.79411    	-50.9171    	-4.75647    	-45.2972    	-399.867    	2.43535     	1565.59     	-642.22     	40.2067     	2.36719     	45.7124     
2.445 	-18.4048    	-4.10866    	-54.2073    	-5.1354     	-48.5978    	-398.635    	2.18634     	1543.45     	-774.944    	34.0758     	2.32679     	43.7604     
2.455 	-17.7806    	-4.35848    	-56.674     	-5.87113    	-51.4277    	-397.107    	1.97979     	1521.58     	-905.604    	27.7649     	2.29427     	42.1423     
2.465 	-17.1125    	-4.5397     	-58.3238    	-6.89078    	-53.706     	-395.286    	1.81901     	1499.85     	-1034.59    	21.424      	2.27172     	40.7204     
2.475 	-16.3844    	-4.65135    	-59.1977    	-8.10931    	-55.3805    	-393.18     	1.70519     	1478.14     	-1162.31    	15.1966     	2.26039     	39.3545     
2.485 	-15.5826    	-4.69539    	-59.3668    	-9.43333    	-56.4294    	-390.797    	1.63755     	1456.33     	-1289.16    	9.2142      	2.2607      	37.9083     
2.495 	-14.6961    	-4.67658    	-58.927     	-10.7654    	-56.8615    	-388.146    	1.61344     	1434.33     	-1415.51    	3.59106     	2.27221     	36.2556     
2.505 	-13.7177    	-4.60214    	-57.9934    	-12.0083    	-56.715     	-385.238    	1.62863     	1412.07     	-1541.65    	-1.57949    	2.29367     	34.2856     
2.515 	-12.6446    	-4.48141    	-56.693     	-13.07      	-56.054     	-382.079    	1.67761     	1389.5      	-1667.82    	-6.22779    	2.32315     	31.9071     
2.525 	-11.4789    	-4.32537    	-55.1578    	-13.8672    	-54.9645    	-378.678    	1.75388     	1366.6      	-1794.16    	-10.3092    	2.35814     	29.0517     
2.535 	-10.2277    	-4.14603    	-53.5182    	-14.3299    	-53.5491    	-375.039    	1.85033     	1343.36     	-1920.7     	-13.8039    	2.39569     	25.6758     
2.545 	-8.90307    	-3.95592    	-51.8961    	-14.4037    	-51.9206    	-371.167    	1.95958     	1319.8      	-2047.38    	-16.7163    	2.43262     	21.7613     
2.555 	-7.5218     	-3.7674     	-50.3997    	-14.0531    	-50.1956    	-367.061    	2.07433     	1295.95     	-2174.04    	-19.0721    	2.46566     	17.3148     
2.565 	-6.10497    	-3.59217    	-49.1184    	-13.2625    	-48.488     	-362.719    	2.18765     	1271.86     	-2300.41    	-20.9155    	2.49162     	12.3661     
2.575 	-4.67707    	-3.44065    	-48.1197    	-12.0365    	-46.9029    	-358.138    	2.29322     	1247.59     	-2426.16    	-22.3053    	2.5076      	6.96548     
2.585 	-3.26511    	-3.32156    	-47.4468    	-10.4003    	-45.5309    	-353.312    	2.38558     	1223.19     	-2550.88    	-23.3105    	2.51107     	1.17994     
2.595 	-1.89751    	-3.24158    	-47.118     	-8.39742    	-44.4434    	-348.233    	2.46024     	1198.74     	-2674.13    	-24.0061    	2.50003     	-4.91066    
2.605 	-0.602889   	-3.20501    	-47.1269    	-6.08807    	-43.6899    	-342.894    	2.51378     	1174.28     	-2795.43    	-24.4687    	2.47311     	-11.2181    
2.615 	0.591206    	-3.2137     	-47.4445    	-3.54588    	-43.295     	-337.287    	2.5439      	1149.88     	-2914.32    	-24.7722    	2.42957     	-17.6505    
2.625 	1.65954     	-3.26695    	-48.0218    	-0.854387   	-43.2585    	-331.405    	2.54935     	1125.59     	-3030.32    	-24.9848    	2.3694      	-24.1161    
2.635 	2.5804      	-3.36168    	-48.7935    	1.89698     	-43.5556    	-325.243    	2.52988     	1101.45     	-3143.02    	-25.1655    	2.29322     	-30.5281    
2.645 	3.33666     	-3.49255    	-49.6824    	4.61709     	-44.1393    	-318.8      	2.48614     	1077.48     	-3252.06    	-25.3629    	2.20231     	-36.8071    
2.655 	3.91669     	-3.65231    	-50.6044    	7.21734     	-44.9436    	-312.074    	2.41948     	1053.7      	-3357.12    	-25.6129    	2.09849     	-42.8845    
2.665 	4.31502     	-3.83215    	-51.4729    	9.61564     	-45.8876    	-305.071    	2.33185     	1030.11     	-3458       	-25.9393    	1.98403     	-48.704     
2.675 	4.53275     	-4.02214    	-52.2037    	11.74       	-46.8806    	-297.8      	2.22558     	1006.73     	-3554.54    	-26.3536    	1.86156     	-54.2223    
2.685 	4.57773     	-4.21169    	-52.7197    	13.5317     	-47.8272    	-290.271    	2.10323     	983.53      	-3646.67    	-26.8562    	1.73391     	-59.41      
2.695 	4.46433     	-4.39003    	-52.9542    	14.9473     	-48.6331    	-282.503    	1.96746     	960.506     	-3734.41    	-27.4382    	1.60397     	-64.2499    
2.705 	4.21306     	-4.54672    	-52.8544    	15.9607     	-49.2102    	-274.515    	1.82084     	937.636     	-3817.82    	-28.0833    	1.4746      	-68.7365    
2.715 	3.84976     	-4.67205    	-52.3834    	16.5635     	-49.4817    	-266.33     	1.6658      	914.902     	-3897.05    	-28.7702    	1.3485      	-72.8734    
2.725 	3.40468     	-4.75745    	-51.5217    	16.7648     	-49.3859    	-257.977    	1.50451     	892.287     	-3972.25    	-29.4749    	1.22806     	-76.6713    
2.735 	2.91122     	-4.79585    	-50.2673    	16.5906     	-48.8796    	-249.483    	1.33887     	869.776     	-4043.64    	-30.1731    	1.11531     	-80.1452    
2.745 	2.4046      	-4.78188    	-48.6355    	16.0815     	-47.9403    	-240.879    	1.17044     	847.359     	-4111.43    	-30.8422    	1.01186     	-83.312     
2.755 	1.9204      	-4.71212    	-46.6575    	15.2908     	-46.5672    	-232.195    	1.00053     	825.033     	-4175.83    	-31.4629    	0.918821    	-86.1882    
2.765 	1.49304     	-4.5851     	-44.3782    	14.2814     	-44.7806    	-223.461    	0.830187    	802.799     	-4237.02    	-32.0206    	0.836795    	-88.7875    
2.775 	1.15431     	-4.40135    	-41.8539    	13.1223     	-42.6215    	-214.708    	0.660238    	780.666     	-4295.16    	-32.5062    	0.765896    	-91.1192    
2.785 	0.932013    	-4.16332    	-39.149     	11.8857     	-40.148     	-205.96     	0.491392    	758.648     	-4350.39    	-32.916     	0.705763    	-93.1877    
2.795 	0.848731    	-3.87518    	-36.3333    	10.643      	-37.4332    	-197.244    	0.324286    	736.767     	-4402.75    	-33.2515    	0.655604    	-94.9912    
2.805 	0.920824    	-3.54265    	-33.4778    	9.46168     	-34.5604    	-188.58     	0.15956     	715.046     	-4452.27    	-33.5192    	0.614264    	-96.5228    
2.815 	1.1577      	-3.17267    	-30.6528    	8.40254     	-31.6192    	-179.986    	-0.00209198 	693.511     	-4498.92    	-33.7288    	0.580291    	-97.7705    
2.825 	1.56138     	-2.77315    	-27.924     	7.51679     	-28.7008    	-171.475    	-0.159873   	672.192     	-4542.61    	-33.8922    	0.552024    	-98.7195    
2.835 	2.12635     	-2.35262    	-25.3504    	6.84431     	-25.8934    	-163.059    	-0.312859   	651.115     	-4583.21    	-34.022     	0.52767     	-99.353     
2.845 	2.83981     	-1.91987    	-22.9823    	6.41223     	-23.2779    	-154.743    	-0.459994   	630.306     	-4620.54    	-34.1303    	0.505394    	-99.6551    
2.855 	3.68218     	-1.48368    	-20.8597    	6.23425     	-20.9241    	-146.533    	-0.600104   	609.788     	-4654.42    	-34.2267    	0.483392    	-99.6128    
2.865 	4.62791     	-1.05246    	-19.0114    	6.31066     	-18.888     	-138.427    	-0.73193    	589.578     	-4684.65    	-34.3176    	0.459963    	-99.2179    
2.875 	5.64659     	-0.634042   	-17.4547    	6.62898     	-17.2091    	-130.427    	-0.854178   	569.691     	-4710.99    	-34.4054    	0.43357     	-98.4696    
2.885 	6.70423     	-0.235395   	-16.1954    	7.16523     	-15.9093    	-122.528    	-0.965588   	550.134     	-4733.27    	-34.4876    	0.402883    	-97.3757    
2.895 	7.76474     	0.137515    	-15.2286    	7.88562     	-14.9926    	-114.729    	-1.065      	530.91      	-4751.28    	-34.557     	0.366818    	-95.9539    
2.905 	8.79144     	0.479869    	-14.5396    	8.74873     	-14.4455    	-107.025    	-1.15144    	512.018     	-4764.89    	-34.6022    	0.324557    	-94.2325    
2.915 	9.74863     	0.788062    	-14.1053    	9.70788     	-14.2388    	-99.4137    	-1.22417    	493.45      	-4773.99    	-34.6076    	0.27555     	-92.2503    
2.925 	10.6031     	1.05974     	-13.8957    	10.7137     	-14.3294    	-91.8937    	-1.28278    	475.198     	-4778.5     	-34.5552    	0.219523    	-90.0557    
2.935 	11.3256     	1.29374     	-13.8756    	11.7166     	-14.6637    	-84.4647    	-1.32723    	457.251     	-4778.43    	-34.4254    	0.156453    	-87.7053    
2.945 	11.8919     	1.49008     	-14.0063    	12.6693     	-15.1801    	-77.1287    	-1.35787    	439.596     	-4773.8     	-34.1987    	0.0865583   	-85.2621    
2.955 	12.284      	1.64981     	-14.2472    	13.5288     	-15.8135    	-69.8895    	-1.37547    	422.222     	-4764.72    	-33.857     	0.0102638   	-82.7924    
2.965 	12.4905     	1.77487     	-14.5573    	14.2584     	-16.498     	-62.7534    	-1.3812     	405.118     	-4751.31    	-33.3853    	-0.0718223  	-80.3635    
2.975 	12.5074     	1.86797     	-14.8966    	14.8292     	-17.1709    	-55.7285    	-1.37658    	388.279     	-4733.77    	-32.7728    	-0.158941   	-78.0399    
2.985 	12.3378     	1.9324      	-15.2274    	15.2206     	-17.7754    	-48.8251    	-1.36349    	371.698     	-4712.31    	-32.0142    	-0.250211   	-75.8805    
2.995 	11.992      	1.97187     	-15.5146    	15.4213     	-18.2634    	-42.0549    	-1.344      	355.377     	-4687.18    	-31.1103    	-0.34466    	-73.9353    
3.005 	11.4867     	1.99032     	-15.7274    	15.4292     	-18.5975    	-35.4306    	-1.32036    	339.32      	-4658.65    	-30.0682    	-0.441242   	-72.2426    
3.015 	10.8444     	1.99174     	-15.8387    	15.2504     	-18.7522    	-28.9658    	-1.29488    	323.534     	-4626.98    	-28.9019    	-0.538867   	-70.8268    
3.025 	10.0922     	1.98009     	-15.8263    	14.8992     	-18.7142    	-22.6741    	-1.2698     	308.031     	-4592.45    	-27.6312    	-0.636414   	-69.697     
3.035 	9.26034     	1.95907     	-15.6726    	14.3961     	-18.4827    	-16.5688    	-1.24719    	292.826     	-4555.32    	-26.2814    	-0.732748   	-68.8455    
3.045 	8.38141     	1.93208     	-15.365     	13.7669     	-18.0683    	-10.6622    	-1.22891    	277.935     	-4515.84    	-24.8815    	-0.826733   	-68.2481    
3.055 	7.48839     	1.9021      	-14.8955    	13.0409     	-17.4915    	-4.96526    	-1.21642    	263.376     	-4474.24    	-23.4637    	-0.917243   	-67.8648    
3.065 	6.61349     	1.87161     	-14.261     	12.2491     	-16.7808    	0.512921    	-1.21081    	249.166     	-4430.7     	-22.0609    	-1.00318    	-67.6414    
3.075 	5.78672     	1.8426      	-13.463     	11.4227     	-15.9702    	5.76522     	-1.21271    	235.324     	-4385.38    	-20.7054    	-1.08346    	-67.5117    
3.085 	5.03471     	1.81647     	-12.5076    	10.5914     	-15.097     	10.7868     	-1.22225    	221.864     	-4338.4     	-19.4273    	-1.15708    	-67.4005    
3.095 	4.37967     	1.79413     	-11.4054    	9.78221     	-14.1991    	15.5753     	-1.23907    	208.799     	-4289.87    	-18.2527    	-1.22309    	-67.2274    
3.105 	3.8386      	1.77591     	-10.1715    	9.01832     	-13.3122    	20.1306     	-1.26238    	196.136     	-4239.83    	-17.2027    	-1.28061    	-66.9103    
3.115 	3.42276     	1.76171     	-8.82501    	8.31811     	-12.4682    	24.4549     	-1.29095    	183.883     	-4188.3     	-16.2917    	-1.3289     	-66.3694    
3.125 	3.13739     	1.75095     	-7.38929    	7.69479     	-11.6928    	28.5525     	-1.32323    	172.04      	-4135.3     	-15.5275    	-1.36733    	-65.5315    
3.135 	2.98179     	1.74272     	-5.8913     	7.15614     	-11.0043    	32.4292     	-1.35741    	160.606     	-4080.8     	-14.9105    	-1.39545    	-64.3334    
3.145 	2.94958     	1.73578     	-4.36139    	6.70461     	-10.4126    	36.0926     	-1.39152    	149.575     	-4024.76    	-14.4338    	-1.41298    	-62.7251    
3.155 	3.02933     	1.72869     	-2.83271    	6.33778     	-9.91908    	39.551      	-1.42356    	138.94      	-3967.14    	-14.0842    	-1.41987    	-60.6729    
3.165 	3.20528     	1.71986     	-1.34052    	6.04892     	-9.51662    	42.8135     	-1.45156    	128.69      	-3907.9     	-13.8424    	-1.41629    	-58.1604    
3.175 	3.45838     	1.70765     	0.0786888   	5.82784     	-9.19032    	45.8894     	-1.47376    	118.815     	-3846.98    	-13.6848    	-1.40269    	-55.1904    
3.185 	3.76731     	1.69043     	1.38824     	5.66185     	-8.91873    	48.788      	-1.48862    	109.304     	-3784.37    	-13.5847    	-1.37974    	-51.7845    
3.195 	4.10968     	1.66667     	2.55242     	5.53672     	-8.67534    	51.5181     	-1.49496    	100.148     	-3720.03    	-13.5137    	-1.34843    	-47.9825    
3.205 	4.46323     	1.63501     	3.53783     	5.43772     	-8.43032    	54.088      	-1.492      	91.3363     	-3653.98    	-13.4438    	-1.30995    	-43.8404    
3.215 	4.80686     	1.59431     	4.31478     	5.35058     	-8.15248    	56.505      	-1.47939    	82.8641     	-3586.23    	-13.3485    	-1.26577    	-39.4284    
3.225 	5.12176     	1.54367     	4.85866     	5.26232     	-7.81115    	58.7755     	-1.45727    	74.7272     	-3516.83    	-13.2049    	-1.21754    	-34.8271    
3.235 	5.3922      	1.48256     	5.1514      	5.16194     	-7.378      	60.9052     	-1.42621    	66.9245     	-3445.86    	-12.9942    	-1.1671     	-30.1245    
3.245 	5.60623     	1.41074     	5.18261     	5.04099     	-6.82865    	62.8986     	-1.38721    	59.4576     	-3373.41    	-12.7031    	-1.11638    	-25.4113    
3.255 	5.75614     	1.32832     	4.95077     	4.89384     	-6.14399    	64.7597     	-1.34166    	52.3305     	-3299.6     	-12.3242    	-1.06737    	-20.7775    
3.265 	5.8387      	1.23579     	4.4639      	4.71782     	-5.31113    	66.4918     	-1.29125    	45.5491     	-3224.6     	-11.8566    	-1.02205    	-16.3076    
3.275 	5.85509     	1.13394     	3.74012     	4.51319     	-4.3239     	68.0978     	-1.23792    	39.1201     	-3148.57    	-11.3051    	-0.982312   	-12.0773    
3.285 	5.81067     	1.02387     	2.80764     	4.28287     	-3.18302    	69.5804     	-1.18371    	33.0506     	-3071.7     	-10.6801    	-0.949885   	-8.15023    
3.295 	5.71452     	0.906959    	1.70442     	4.03202     	-1.89581    	70.9423     	-1.13074    	27.3465     	-2994.21    	-9.99667    	-0.926275   	-4.57485    
3.305 	5.57874     	0.784768    	0.477301    	3.76763     	-0.47547    	72.1869     	-1.08106    	22.0121     	-2916.3     	-9.27338    	-0.912691   	-1.38299    
3.315 	5.41767     	0.659026    	-0.81921    	3.49785     	1.05982     	73.3175     	-1.03658    	17.0487     	-2838.2     	-8.53097    	-0.909995   	1.41145     
3.325 	5.24696     	0.531539    	-2.12471    	3.23145     	2.68818     	74.3384     	-0.998988   	12.4537     	-2760.15    	-7.79093    	-0.918654   	3.8126      
3.335 	5.08264     	0.404123    	-3.37494    	2.97719     	4.38535     	75.2546     	-0.969655   	8.22016     	-2682.37    	-7.07406    	-0.938708   	5.84196     
3.345 	4.94008     	0.278532    	-4.50422    	2.74327     	6.12614     	76.0719     	-0.949618   	4.33624     	-2605.09    	-6.39907    	-0.969761   	7.53681     
3.355 	4.83317     	0.156392    	-5.44798    	2.53686     	7.88581     	76.7966     	-0.939517   	0.784893    	-2528.51    	-5.78137    	-1.01098    	8.94794     
3.365 	4.77342     	0.0391292   	-6.14548    	2.3637      	9.64133     	77.4362     	-0.939583   	-2.45595    	-2452.83    	-5.23207    	-1.06112    	10.1367     
3.375 	4.76932     	-0.0720754  	-6.54247    	2.22788     	11.3724     	77.9982     	-0.94964    	-5.41302    	-2378.25    	-4.75725    	-1.11857    	11.1717     
3.385 	4.82582     	-0.176336   	-6.59368    	2.13165     	13.0623     	78.491      	-0.969119   	-8.11708    	-2304.9     	-4.35761    	-1.18137    	12.1249     
3.395 	4.94403     	-0.273089   	-6.26508    	2.07542     	14.6984     	78.923      	-0.997091   	-10.602     	-2232.94    	-4.02845    	-1.24733    	13.0681     
3.405 	5.12111     	-0.362107   	-5.53563    	2.05791     	16.2721     	79.3024     	-1.03232    	-12.9035    	-2162.46    	-3.75992    	-1.3141     	14.0691     
3.415 	5.35036     	-0.443496   	-4.39871    	2.0763      	17.7788     	79.6374     	-1.07331    	-15.0581    	-2093.55    	-3.53772    	-1.37924    	15.1883     
3.425 	5.62161     	-0.517675   	-2.86275    	2.12653     	19.2177     	79.9355     	-1.11838    	-17.1019    	-2026.27    	-3.344      	-1.4403     	16.4757     
3.435 	5.92165     	-0.585342   	-0.951422   	2.20365     	20.5904     	80.2037     	-1.16573    	-19.0687    	-1960.62    	-3.15849    	-1.49497    	17.9688     
