q      	H_200-H_21   	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	C_100-H_19   	H_200-H_16   	C_100-C_3    	C_100-H_24   	H_100-C_14   	C_100-C_13   	C_100-H_15   	H_100-C_1    	H_200-H_22   	H_100-N_7    	H_100-H_23   	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_2    	H_200-C_12   	C_100-C_5    	H_200-C_3    	C_100-C_10   	H_100-C_13   	H_100-C_2    	C_100-C_2    	H_100-N_8    	H_200-C_5    	H_100-H_17   	H_100-H_24   	H_200-H_15   	C_100-H_22   	H_200-N_7    	H_200-H_23   	H_200-C_11   	C_100-H_17   	C_100-C_1    	H_200-C_1    	C_100-N_7    	C_100-C_14   	H_100-C_12   	C_100-H_21   	H_200-N_8    	H_200-H_24   	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	C_100-C_11   	H_100-H_16   	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	C_100-H_23   	C_100-N_8    	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	C_100-H_18  
8.575 	4.77828e-06 	0.00209714  	-1.85862e-07	8.46255e-05 	4.57833e-06 	-3.40638e-05	5.70631e-06 	0.0196703   	9.82909e-06 	-0.000269027	-0.00423906 	0.000182124 	0.000225748 	7.93475e-07 	-0.000147874	-1.27023e-06	0.000125782 	-6.23841e-05	2.86654e-06 	0.000110057 	0.000132878 	0.0121768   	0.000130671 	-0.0135523  	4.0812e-05  	-9.09652e-05	0.0018259   	-0.000188511	-6.18733e-05	4.10867e-06 	5.59686e-06 	2.00996e-06 	0.000262425 	-0.000116234	2.72012e-06 	0.00022858  	-0.000131055	0.0236906   	0.00023823  	-0.00961161 	0.0192723   	6.54307e-05 	0.000206486 	0.000132315 	-9.63045e-07	0.0041653   	-1.88683e-06	0.000275182 	1.32455e-05 	0.0106948   	2.85968e-06 	1.16888e-05 	-0.00443519 	6.90643e-06 	3.20918e-07 	5.54291e-06 	2.46889e-06 	4.94626e-06 	-0.000138665	-0.0098187  	-0.0001032  	3.8968e-06  	-0.000117887	0.000193694 	1.70163e-06 	2.91374e-06 	0.00445578  	0.000281955 	0.000136399 	1.71692e-06 	7.38188e-05 	-0.000101973
8.585 	4.54746e-06 	0.00373549  	3.75775e-07 	8.54576e-05 	-8.86501e-06	-3.00036e-05	5.25143e-06 	0.0209057   	-2.35724e-05	-0.00023636 	-0.000593193	0.000218081 	0.000251285 	7.77617e-07 	-9.76978e-05	-1.55369e-06	0.000118755 	-3.33145e-05	2.79898e-06 	0.000140518 	0.000139705 	0.0118707   	0.000153518 	-0.0139714  	5.88429e-05 	-5.85612e-05	0.00138868  	-0.000149356	-6.95567e-05	4.06614e-06 	4.6816e-06  	2.33806e-06 	0.000302479 	-0.000106031	3.25158e-06 	0.000232678 	-0.000101314	0.024547    	0.000218318 	-0.00582655 	0.0182605   	6.41451e-05 	0.000201168 	0.000163954 	-1.29995e-06	0.0028909   	-2.35476e-06	0.000286026 	2.49121e-05 	0.0126047   	2.93364e-06 	4.27478e-05 	-0.00528733 	7.08709e-06 	-1.35076e-07	3.45527e-05 	2.56042e-06 	5.24994e-06 	-0.000102303	-0.008274   	-9.13532e-05	3.7584e-06  	-0.000122313	0.000171004 	-3.15082e-05	2.63457e-06 	0.00289932  	0.000293248 	0.000132658 	1.75594e-06 	7.06054e-05 	-8.60777e-05
8.595 	4.28598e-06 	0.00535994  	9.66774e-07 	8.51372e-05 	-2.31331e-05	-2.38714e-05	4.82688e-06 	0.0218611   	-5.46062e-05	-0.000203611	0.00308743  	0.000250424 	0.000270983 	7.85796e-07 	-4.75672e-05	-1.79219e-06	0.000107628 	-8.06506e-06	2.67332e-06 	0.000169264 	0.000145049 	0.0116867   	0.000176645 	-0.014051   	7.70043e-05 	-2.38237e-05	0.000981609 	-0.000113275	-7.51518e-05	3.98019e-06 	3.70268e-06 	2.65933e-06 	0.000338506 	-0.000100604	3.79111e-06 	0.00023435  	-7.20779e-05	0.025083    	0.000193557 	-0.00188878 	0.0169562   	6.28228e-05 	0.000193139 	0.000192675 	-1.53744e-06	0.00156253  	-2.73619e-06	0.000293701 	3.98917e-05 	0.0143099   	3.06094e-06 	7.54128e-05 	-0.00615344 	7.15381e-06 	-5.31375e-07	6.23124e-05 	2.61521e-06 	5.4732e-06  	-6.51853e-05	-0.00669932 	-7.89426e-05	3.58157e-06 	-0.000123892	0.000143736 	-6.56577e-05	2.36485e-06 	0.00143729  	0.000299987 	0.000124975 	1.79382e-06 	7.078e-05   	-6.55283e-05
8.605 	3.9973e-06  	0.00691622  	1.56925e-06 	8.32535e-05 	-3.78584e-05	-1.57205e-05	4.43232e-06 	0.0224777   	-8.26126e-05	-0.00017172 	0.00668354  	0.000277893 	0.000284355 	8.09111e-07 	9.66769e-07 	-1.9804e-06 	9.26614e-05 	1.26157e-05 	2.48633e-06 	0.000195547 	0.00014868  	0.011589    	0.000199463 	-0.0138252  	9.47881e-05 	1.22968e-05 	0.000582786 	-8.12372e-05	-7.87885e-05	3.84922e-06 	2.68161e-06 	2.96132e-06 	0.000369435 	-9.9472e-05 	4.30931e-06 	0.00023377  	-4.46692e-05	0.0252971   	0.000164481 	0.00209799  	0.0153588   	6.12165e-05 	0.000182657 	0.000217564 	-1.67523e-06	0.00022327  	-3.03239e-06	0.00029806  	5.76885e-05 	0.0157577   	3.23103e-06 	0.00010855  	-0.00705155 	7.10495e-06 	-8.69861e-07	8.81023e-05 	2.628e-06   	5.60021e-06 	-2.91486e-05	-0.00515963 	-6.63356e-05	3.37038e-06 	-0.000122514	0.000112348 	-9.99778e-05	2.1043e-06  	9.34707e-05 	0.000301831 	0.000113447 	1.82475e-06 	7.4253e-05  	-4.15249e-05
8.615 	3.68512e-06 	0.00835415  	2.16543e-06 	7.9492e-05  	-5.26477e-05	-5.69659e-06	4.06681e-06 	0.0227086   	-0.00010699 	-0.000141535	0.0100813   	0.000299395 	0.000291083 	8.38624e-07 	4.64367e-05 	-2.11389e-06	7.42239e-05 	2.82038e-05 	2.23728e-06 	0.000218692 	0.000150451 	0.0115375   	0.000221405 	-0.0133339  	0.000111683 	4.88471e-05 	0.000172039 	-5.40755e-05	-8.06149e-05	3.67279e-06 	1.64129e-06 	3.23229e-06 	0.000394359 	-0.000102006	4.77884e-06 	0.000231146 	-2.03176e-05	0.0251941   	0.000131772 	0.00603026  	0.0134774   	5.91462e-05 	0.000170004 	0.000237829 	-1.7157e-06 	-0.00108384 	-3.2463e-06 	0.000299014 	7.77251e-05 	0.0169027   	3.43157e-06 	0.000141047 	-0.00799355 	6.94181e-06 	-1.15364e-06	0.00011129  	2.59546e-06 	5.61922e-06 	4.09488e-06 	-0.00371511 	-5.38749e-05	3.1301e-06  	-0.000118144	7.74468e-05 	-0.000133664	1.85234e-06 	-0.00110997 	0.000298576 	9.83265e-05 	1.84359e-06 	8.08436e-05 	-1.53261e-05
8.625 	3.35335e-06 	0.00962937  	2.73812e-06 	7.36494e-05 	-6.70928e-05	5.96006e-06 	3.729e-06   	0.0225209   	-0.000127214	-0.000113789	0.0131761   	0.00031404  	0.000291033 	8.65752e-07 	8.75081e-05 	-2.1893e-06 	5.27811e-05 	3.84143e-05 	1.92798e-06 	0.000238111 	0.000150312 	0.0114896   	0.000241946 	-0.012622   	0.000127195 	8.49035e-05 	-0.000268031	-3.24534e-05	-8.07898e-05	3.45163e-06 	6.05299e-07 	3.46163e-06 	0.000412559 	-0.000107452	5.17528e-06 	0.000226712 	-1.15872e-07	0.0247839   	9.6237e-05  	0.00980784  	0.0113313   	5.65088e-05 	0.000155478 	0.000252833 	-1.66369e-06	-0.00231714 	-3.38232e-06	0.000296543 	9.9366e-05  	0.0177084   	3.64882e-06 	0.000171848 	-0.00898405 	6.66858e-06 	-1.38684e-06	0.000131349 	2.51624e-06 	5.52302e-06 	3.30225e-05 	-0.00241886 	-4.18707e-05	2.86705e-06 	-0.000110821	3.97759e-05 	-0.000165903	1.60818e-06 	-0.00215269 	0.000290166 	8.00137e-05 	1.84614e-06 	9.02869e-05 	1.1803e-05  
8.635 	3.00609e-06 	0.0107048   	3.27119e-06 	6.56424e-05 	-8.07816e-05	1.89157e-05 	3.41725e-06 	0.0218972   	-0.00014285 	-8.90806e-05	0.0158763   	0.000321177 	0.000284264 	8.8261e-07  	0.000123021 	-2.20443e-06	2.88841e-05 	4.32042e-05 	1.5627e-06  	0.000253318 	0.000148311 	0.0114028   	0.00026062  	-0.011737   	0.000140858 	0.000119601 	-0.000751179	-1.68445e-05	-7.94752e-05	3.18766e-06 	-4.02868e-07	3.6402e-06  	0.000423535 	-0.000114969	5.4779e-06  	0.000220724 	1.50187e-05 	0.0240818   	5.87907e-05 	0.0133368   	0.00894998  	5.32828e-05 	0.000139383 	0.000262114 	-1.52633e-06	-0.00343769 	-3.44611e-06	0.000290693 	0.000121942 	0.0181488   	3.86822e-06 	0.000199987 	-0.0100197  	6.29214e-06 	-1.57439e-06	0.000147873 	2.39097e-06 	5.30912e-06 	5.6356e-05  	-0.0013149  	-3.0595e-05 	2.58836e-06 	-0.000100656	1.94802e-07 	-0.000195895	1.37084e-06 	-0.00301646 	0.000276706 	5.90462e-05 	1.82932e-06 	0.000102244 	3.86414e-05 
8.645 	2.64762e-06 	0.0115519   	3.74997e-06 	5.5512e-05  	-9.33088e-05	3.27489e-05 	3.12978e-06 	0.0208368   	-0.000153572	-6.78538e-05	0.0181062   	0.000320415 	0.000271022 	8.82318e-07 	0.000152028 	-2.15837e-06	3.15351e-06 	4.27676e-05 	1.148e-06   	0.000263939 	0.000144588 	0.0112368   	0.000277034 	-0.0107282  	0.00015226  	0.00015216  	-0.00128685 	-7.51729e-06	-7.68309e-05	2.88394e-06 	-1.36048e-06	3.76067e-06 	0.000427018 	-0.000123659	5.67027e-06 	0.00021345  	2.43757e-05 	0.0231074   	2.0425e-05  	0.0165322   	0.00637271  	4.95296e-05 	0.000122017 	0.000265408 	-1.31277e-06	-0.00441043 	-3.44435e-06	0.000281582 	0.000144775 	0.0182086   	4.07493e-06 	0.000224616 	-0.0110886  	5.82176e-06 	-1.72177e-06	0.000160588 	2.22218e-06 	4.97981e-06 	7.31065e-05 	-0.000436603	-2.02772e-05	2.30171e-06 	-8.78318e-05	-4.03407e-05	-0.000222882	1.13923e-06 	-0.00368551 	0.000258454 	3.60805e-05 	1.79126e-06 	0.000116313 	6.40587e-05 
8.655 	2.28233e-06 	0.0121513   	4.16164e-06 	4.34228e-05 	-0.000104288	4.69609e-05 	2.86473e-06 	0.0193555   	-0.000159171	-5.03931e-05	0.019808    	0.000311637 	0.000251739 	8.59244e-07 	0.000173816 	-2.05152e-06	-2.37387e-05	3.75205e-05 	6.92459e-07 	0.000269719 	0.000139373 	0.0109551   	0.000290873 	-0.00964432 	0.000161052 	0.000181908 	-0.00187975 	-4.5268e-06 	-7.30088e-05	2.54453e-06 	-2.24627e-06	3.8177e-06  	0.000422977 	-0.000132606	5.74069e-06 	0.000205165 	2.74751e-05 	0.0218848   	-1.78194e-05	0.0193202   	0.00364791  	4.53896e-05 	0.000103668 	0.000262654 	-1.0338e-06 	-0.00520522 	-3.38447e-06	0.0002694   	0.000167199 	0.017884    	4.25436e-06 	0.000245031 	-0.0121707  	5.26883e-06 	-1.83478e-06	0.000169355 	2.01418e-06 	4.54205e-06 	8.26061e-05 	0.000194414 	-1.11014e-05	2.01505e-06 	-7.25948e-05	-8.0805e-05 	-0.000246169	9.12187e-07 	-0.00414684 	0.000235822 	1.18698e-05 	1.73137e-06 	0.000132042 	8.70563e-05 
8.665 	1.91469e-06 	0.0124931   	4.49548e-06 	2.96561e-05 	-0.000113361	6.09891e-05 	2.62026e-06 	0.0174854   	-0.000159564	-3.68177e-05	0.0209441   	0.000295003 	0.000227022 	8.09185e-07 	0.000187929 	-1.88564e-06	-5.10889e-05	2.80772e-05 	2.06425e-07 	0.000270529 	0.000132975 	0.0105272   	0.000301912 	-0.00853231 	0.000166961 	0.000208299 	-0.00252964 	-7.71444e-06	-6.81497e-05	2.17442e-06 	-3.04112e-06	3.80813e-06 	0.000411622 	-0.000140909	5.68244e-06 	0.000196142 	2.40821e-05 	0.0204415   	-5.48853e-05	0.0216404   	0.000831912 	4.10745e-05 	8.46095e-05 	0.000253998 	-7.01537e-07	-0.00579774 	-3.27439e-06	0.000254401 	0.000188587 	0.0171827   	4.39273e-06 	0.00026069  	-0.0132381  	4.6465e-06  	-1.91929e-06	0.000174174 	1.77285e-06 	4.00712e-06 	8.45268e-05 	0.000568887 	-3.20516e-06	1.73633e-06 	-5.52513e-05	-0.000120132	-0.000265149	6.88526e-07 	-0.00439062 	0.000209363 	-1.27636e-05	1.65035e-06 	0.000148939 	0.000106802 
