q      	cage        
0.005 	-4669.05    
0.015 	-4727.95    
0.025 	-4844.77    
0.035 	-5017.55    
0.045 	-5243.38    
0.055 	-5518.51    
0.065 	-5838.38    
0.075 	-6197.7     
0.085 	-6590.6     
0.095 	-7010.73    
0.105 	-7451.34    
0.115 	-7905.47    
0.125 	-8366.04    
0.135 	-8826.01    
0.145 	-9278.48    
0.155 	-9716.81    
0.165 	-10134.8    
0.175 	-10526.6    
0.185 	-10887.2    
0.195 	-11212      
0.205 	-11497.2    
0.215 	-11739.7    
0.225 	-11937.4    
0.235 	-12088.7    
0.245 	-12193.1    
0.255 	-12250.5    
0.265 	-12261.9    
0.275 	-12228.7    
0.285 	-12153.1    
0.295 	-12037.8    
0.305 	-11885.9    
0.315 	-11700.9    
0.325 	-11486.7    
0.335 	-11247.3    
0.345 	-10986.8    
0.355 	-10709.5    
0.365 	-10419.3    
0.375 	-10120.4    
0.385 	-9816.54    
0.395 	-9511.23    
0.405 	-9207.74    
0.415 	-8908.94    
0.425 	-8617.35    
0.435 	-8335.09    
0.445 	-8063.86    
0.455 	-7804.96    
0.465 	-7559.29    
0.475 	-7327.37    
0.485 	-7109.35    
0.495 	-6905.04    
0.505 	-6713.99    
0.515 	-6535.46    
0.525 	-6368.5     
0.535 	-6212       
0.545 	-6064.7     
0.555 	-5925.27    
0.565 	-5792.34    
0.575 	-5664.51    
0.585 	-5540.43    
0.595 	-5418.81    
0.605 	-5298.47    
0.615 	-5178.33    
0.625 	-5057.45    
0.635 	-4935.06    
0.645 	-4810.56    
0.655 	-4683.52    
0.665 	-4553.7     
0.675 	-4421.03    
0.685 	-4285.62    
0.695 	-4147.73    
0.705 	-4007.81    
0.715 	-3866.42    
0.725 	-3724.25    
0.735 	-3582.09    
0.745 	-3440.82    
0.755 	-3301.38    
0.765 	-3164.72    
0.775 	-3031.83    
0.785 	-2903.67    
0.795 	-2781.17    
0.805 	-2665.19    
0.815 	-2556.51    
0.825 	-2455.8     
0.835 	-2363.6     
0.845 	-2280.31    
0.855 	-2206.18    
0.865 	-2141.29    
0.875 	-2085.53    
0.885 	-2038.63    
0.895 	-2000.1     
0.905 	-1969.32    
0.915 	-1945.46    
0.925 	-1927.54    
0.935 	-1914.45    
