q      	H_200-H_21   	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	C_100-H_19   	H_200-H_16   	C_100-C_3    	H_100-C_14   	H_200-Br_23  	C_100-C_13   	C_100-H_15   	H_100-C_1    	H_200-H_22   	H_100-N_7    	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_2    	H_200-C_12   	C_100-C_5    	H_200-C_3    	C_100-Br_23  	H_100-Br_23  	C_100-C_10   	H_100-C_13   	H_100-C_2    	C_100-C_2    	H_100-N_8    	H_200-C_5    	H_100-H_17   	H_200-H_15   	H_200-Br_24  	C_100-H_22   	H_200-N_7    	H_200-C_11   	C_100-H_17   	C_100-C_1    	H_200-C_1    	C_100-Br_24  	C_100-N_7    	C_100-C_14   	H_100-C_12   	C_100-H_21   	H_200-N_8    	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	C_100-C_11   	H_100-H_16   	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	C_100-N_8    	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-Br_24  	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	C_100-H_18  
4.915 	0.000736867 	0.217766    	0.000794446 	-0.00261256 	-0.00269566 	-0.0178176  	0.000265427 	0.491699    	-0.00315966 	-0.0984581  	0.376968    	-0.0149643  	-0.00287882 	0.000290371 	0.0145854   	-0.00100957 	-0.00552089 	0.000577067 	-0.000814837	-0.00199803 	0.292456    	-0.00539365 	5.71237     	-0.10616    	0.415467    	-0.00461221 	-0.000337079	0.293879    	0.0126046   	-0.00580633 	0.000313896 	0.000532305 	-0.0860065  	-0.0184216  	0.00677125  	-0.00146306 	-0.00866401 	0.117712    	0.00308493  	6.57118     	0.0278205   	0.268793    	-0.00737241 	-0.0091744  	0.000895723 	0.363116    	0.000458046 	-0.00309401 	-0.00190725 	0.35843     	0.000363139 	-2.00403e-06	0.238979    	0.000683311 	0.000346602 	-0.00651303 	0.000411542 	0.000329251 	-0.0355538  	-0.00241346 	0.000337986 	-1.39707e-05	0.000263603 	-0.00893087 	-0.130791   	0.000558156 	0.0791925   	-0.0080529  	-0.00649494 	0.000767367 	-0.00463053 	-0.0137075  
4.925 	0.00074718  	0.210561    	0.000846039 	-0.00390961 	-0.00333202 	-0.0188747  	0.00023077  	0.495455    	-0.00376664 	-0.10742    	0.381517    	-0.0153411  	-0.00330914 	0.000309698 	0.0140971   	-0.00207086 	-0.00701072 	0.000579023 	-0.00221007 	-0.00297447 	0.288907    	-0.00638214 	5.67435     	-0.124731   	0.428899    	-0.00575466 	-0.00154652 	0.307252    	0.0122227   	-0.00607737 	0.000282333 	0.000505097 	-0.100001   	-0.0188392  	0.00564234  	-0.00187162 	-0.00863225 	0.109135    	0.00151318  	6.59164     	0.0308898   	0.276179    	-0.00788183 	-0.00969405 	0.000676232 	0.353796    	0.000453104 	-0.00397568 	-0.00244718 	0.357078    	0.000357295 	-0.000456674	0.220461    	0.00065389  	0.000325385 	-0.00738136 	0.000375605 	0.000385016 	-0.0474587  	-0.00317396 	0.000285762 	-0.000726992	-0.000684605	-0.00930085 	-0.143022   	0.000544232 	0.0893292   	-0.00777942 	-0.00749602 	0.000793913 	-0.00586629 	-0.0137904  
4.935 	0.000751806 	0.202226    	0.000888852 	-0.00528455 	-0.00396198 	-0.0199067  	0.000194118 	0.496111    	-0.00448558 	-0.116154   	0.38333     	-0.0157437  	-0.00373644 	0.000330872 	0.0134383   	-0.00316457 	-0.00857378 	0.000576922 	-0.00367636 	-0.00397828 	0.284944    	-0.0073866  	5.60156     	-0.143008   	0.440271    	-0.00689446 	-0.00275996 	0.319315    	0.0117983   	-0.00632888 	0.00025048  	0.000476005 	-0.114775   	-0.0192939  	0.0044186   	-0.00240172 	-0.00866632 	0.100847    	-0.00018142 	6.58145     	0.0328541   	0.283948    	-0.00827954 	-0.0102959  	0.000457363 	0.342954    	0.000445225 	-0.00496095 	-0.00303294 	0.355973    	0.00034746  	-0.00101272 	0.201424    	0.000621685 	0.000301601 	-0.00816905 	0.000337555 	0.000442233 	-0.0590855  	-0.00399833 	0.000228264 	-0.0014121  	-0.00161777 	-0.00961072 	-0.154578   	0.00053247  	0.101371    	-0.00761909 	-0.00848601 	0.000810326 	-0.00708711 	-0.0139829  
4.945 	0.000752153 	0.193273    	0.00092268  	-0.00670035 	-0.00457366 	-0.0208856  	0.000157228 	0.494149    	-0.00530001 	-0.124544   	0.382747    	-0.0161715  	-0.00415429 	0.000354082 	0.0126286   	-0.00426519 	-0.0101772  	0.00057227  	-0.005182   	-0.00498501 	0.280797    	-0.00838966 	5.50063     	-0.160667   	0.449554    	-0.00801193 	-0.00395789 	0.330231    	0.0113427   	-0.00655335 	0.00021992  	0.000446589 	-0.129966   	-0.0197703  	0.00312609  	-0.00304789 	-0.00875925 	0.0934465   	-0.00195886 	6.54691     	0.0340387   	0.292009    	-0.00857038 	-0.010963   	0.000240529 	0.331075    	0.000435845 	-0.00602571 	-0.00366136 	0.355356    	0.000334928 	-0.00165674 	0.182713    	0.000588521 	0.0002767   	-0.00886726 	0.000298921 	0.000500488 	-0.0697277  	-0.00486982 	0.000167919 	-0.00206696 	-0.00251775 	-0.0098612  	-0.165398   	0.000523926 	0.115176    	-0.00756581 	-0.00944672 	0.00081711  	-0.00826791 	-0.0142866  
4.955 	0.00074962  	0.184219    	0.000947536 	-0.00811809 	-0.00515599 	-0.0217848  	0.000121852 	0.49008     	-0.00619016 	-0.13248    	0.380151    	-0.0166222  	-0.00455591 	0.000379459 	0.0116912   	-0.00534745 	-0.0117871  	0.000566576 	-0.0066941  	-0.00597025 	0.276675    	-0.00937281 	5.37882     	-0.177392   	0.456744    	-0.00908785 	-0.00512073 	0.340175    	0.0108675   	-0.00674443 	0.000192206 	0.000418378 	-0.145189   	-0.0202509  	0.00179274  	-0.0038007  	-0.00890229 	0.0874925   	-0.00377673 	6.4947      	0.0347822   	0.300249    	-0.00876091 	-0.0116756  	2.76155e-05 	0.318652    	0.000426365 	-0.0071429  	-0.00432814 	0.355421    	0.00032104  	-0.00237213 	0.165139    	0.00055616  	0.000252129 	-0.00946902 	0.000261208 	0.000559312 	-0.0787072  	-0.0057699  	0.000107184 	-0.00269074 	-0.00336765 	-0.0100539  	-0.175432   	0.000519502 	0.130525    	-0.00760979 	-0.0103597  	0.000814997 	-0.00938469 	-0.0146982  
4.965 	0.000745529 	0.175571    	0.000963639 	-0.00949835 	-0.00569917 	-0.02258    	8.96806e-05 	0.48443     	-0.0071336  	-0.139859   	0.375947    	-0.0170923  	-0.00493438 	0.000407055 	0.0106522   	-0.00638721 	-0.0133699  	0.000561292 	-0.00817956 	-0.00691042 	0.272762    	-0.0103171  	5.24375     	-0.192886   	0.461865    	-0.010104   	-0.00622947 	0.34933     	0.010384    	-0.00689732 	0.000168804 	0.000392814 	-0.160054   	-0.0207167  	0.00044744  	-0.00464721 	-0.00908549 	0.0834794   	-0.00559171 	6.43163     	0.0354222   	0.308534    	-0.00885925 	-0.0124121  	-0.000179192	0.306176    	0.000418089 	-0.00828348 	-0.0050281  	0.356305    	0.000307135 	-0.00313975 	0.14945     	0.000526237 	0.000229279 	-0.00996947 	0.000225844 	0.000618186 	-0.0853993  	-0.00667895 	4.84723e-05 	-0.00328399 	-0.0041524  	-0.0101915  	-0.184637   	0.000519915 	0.147132    	-0.00773823 	-0.0112068  	0.000804911 	-0.0104153  	-0.0152105  
4.975 	0.000741062 	0.167804    	0.000971391 	-0.0108027  	-0.00619502 	-0.0232506  	6.22929e-05 	0.477712    	-0.00810606 	-0.146593   	0.370549    	-0.017577   	-0.00528307 	0.000436832 	0.0095397   	-0.00736225 	-0.0148934  	0.000557753 	-0.00960613 	-0.00778357 	0.269213    	-0.0112039  	5.10308     	-0.206879   	0.464967    	-0.0110437  	-0.00726626 	0.357872    	0.00990306  	-0.0070091  	0.000151034 	0.00037119  	-0.174181   	-0.0211482  	-0.000881007	-0.00557141 	-0.0092983  	0.0818194   	-0.00736091 	6.36435     	0.0362812   	0.316709    	-0.00887493 	-0.0131494  	-0.000377587	0.294113    	0.000412178 	-0.00941746 	-0.00575532 	0.358087    	0.000294498 	-0.00393878 	0.136305    	0.000500205 	0.000209426 	-0.010366   	0.000194133 	0.000676539 	-0.0892564  	-0.00757695 	-5.93382e-06	-0.00384846 	-0.00485921 	-0.0102774  	-0.192983   	0.000525667 	0.164648    	-0.00793625 	-0.0119712  	0.000787935 	-0.0113404  	-0.0158119  
4.985 	0.000737217 	0.161346    	0.000971355 	-0.0119948  	-0.00663737 	-0.0237797  	4.11058e-05 	0.470414    	-0.00908221 	-0.152613   	0.364361    	-0.0180706  	-0.00559588 	0.000468644 	0.00838299  	-0.00825301 	-0.0163274  	0.000557125 	-0.0109434  	-0.00857009 	0.266147    	-0.0120157  	4.9643      	-0.219142   	0.46612     	-0.0118927  	-0.008215   	0.36596     	0.00943396  	-0.00707896 	0.000140025 	0.000354607 	-0.187211   	-0.0215261  	-0.00216475 	-0.00655487 	-0.00953005 	0.0828267   	-0.00904335 	6.29908     	0.0376536   	0.324601    	-0.00881865 	-0.0138647  	-0.000565338	0.282891    	0.000409597 	-0.010515   	-0.0065033  	0.360782    	0.000284317 	-0.00474751 	0.126255    	0.000479291 	0.000193693 	-0.0106585  	0.000167211 	0.000733762 	-0.089829   	-0.00844423 	-5.39492e-05	-0.0043869  	-0.00547798 	-0.0103163  	-0.200453   	0.000537025 	0.182678    	-0.00818764 	-0.0126376  	0.00076527  	-0.0121438  	-0.0164879  
4.995 	0.000734758 	0.15656     	0.000964221 	-0.0130423  	-0.00702226 	-0.0241551  	2.73322e-05 	0.462977    	-0.0100365  	-0.157865   	0.357761    	-0.0185666  	-0.00586761 	0.000502234 	0.00721133  	-0.00904321 	-0.0176449  	0.000560364 	-0.0121635  	-0.00925327 	0.263641    	-0.0127369  	4.8344      	-0.229488   	0.465411    	-0.0126389  	-0.00906184 	0.373726    	0.00898453  	-0.00710827 	0.000136663 	0.000343927 	-0.198823   	-0.0218317  	-0.00337779 	-0.00757732 	-0.00977054 	0.086705    	-0.0106012  	6.24137     	0.0397935   	0.332025    	-0.00870208 	-0.0145352  	-0.000740471	0.272888    	0.000411082 	-0.0115473  	-0.00726513 	0.364345    	0.000277643 	-0.0055442  	0.119729    	0.000464454 	0.000183002 	-0.0108492  	0.00014601  	0.000789209 	-0.0867823  	-0.00926215 	-9.37527e-05	-0.00490274 	-0.0060016  	-0.0103135  	-0.207044   	0.000554012 	0.200788    	-0.00847581 	-0.0131931  	0.00073819  	-0.0128134  	-0.0172206  
5.005 	0.000734196 	0.15373     	0.00095078  	-0.0139171  	-0.00734804 	-0.0243695  	2.19455e-05 	0.455781    	-0.010944   	-0.162322   	0.351087    	-0.0190581  	-0.00609419 	0.000537224 	0.00605316  	-0.00972029 	-0.0188227  	0.000568179 	-0.0132423  	-0.0098198  	0.261733    	-0.0133541  	4.71964     	-0.237787   	0.462943    	-0.0132736  	-0.00979564 	0.381266    	0.00856053  	-0.00710061 	0.000141567 	0.000339751 	-0.208744   	-0.0220484  	-0.00449672 	-0.00861731 	-0.0100105  	0.0935387   	-0.0120008  	6.19589     	0.0429054   	0.338784    	-0.00853756 	-0.0151396  	-0.000901446	0.264419    	0.000417116 	-0.0124877  	-0.00803366 	0.368669    	0.000275348 	-0.00630786 	0.117011    	0.000456363 	0.000178048 	-0.0109427  	0.00013123  	0.000842211 	-0.0799088  	-0.0100137  	-0.00012384 	-0.0053999  	-0.00642612 	-0.0102754  	-0.212767   	0.000576403 	0.218525    	-0.00878452 	-0.0136277  	0.000708004 	-0.013341   	-0.0179904  
