q      	cage        
2.805 	-67.1348    
2.815 	-64.7163    
2.825 	-61.5256    
2.835 	-57.559     
2.845 	-52.8434    
2.855 	-47.4349    
2.865 	-41.4156    
2.875 	-34.8899    
2.885 	-27.9808    
2.895 	-20.8238    
2.905 	-13.5624    
2.915 	-6.34242    
2.925 	0.693674    
2.935 	7.41166     
2.945 	13.6903     
2.955 	19.4253     
2.965 	24.5327     
2.975 	28.9512     
2.985 	32.6433     
2.995 	35.5963     
3.005 	37.8216     
3.015 	39.3532     
3.025 	40.2456     
3.035 	40.5711     
3.045 	40.4158     
3.055 	39.8765     
3.065 	39.0555     
3.075 	38.0574     
3.085 	36.9843     
3.095 	35.9318     
3.105 	34.9862     
3.115 	34.2205     
3.125 	33.6927     
3.135 	33.444      
3.145 	33.4974     
3.155 	33.8581     
3.165 	34.5135     
3.175 	35.4349     
3.185 	36.5789     
3.195 	37.8901     
3.205 	39.3038     
3.215 	40.7491     
3.225 	42.1523     
3.235 	43.44       
3.245 	44.5425     
3.255 	45.3967     
3.265 	45.9487     
3.275 	46.156      
3.285 	45.9892     
3.295 	45.4331     
3.305 	44.4873     
3.315 	43.1657     
3.325 	41.4962     
3.335 	39.5194     
3.345 	37.2865     
3.355 	34.8578     
3.365 	32.2994     
3.375 	29.6813     
3.385 	27.0742     
3.395 	24.547      
3.405 	22.164      
3.415 	19.9826     
3.425 	18.0512     
3.435 	16.4076     
3.445 	15.0777     
3.455 	14.0748     
3.465 	13.3993     
3.475 	13.0392     
3.485 	12.9708     
3.495 	13.1597     
3.505 	13.5627     
3.515 	14.1297     
3.525 	14.8056     
3.535 	15.533      
3.545 	16.2543     
3.555 	16.9142     
3.565 	17.4616     
3.575 	17.852      
3.585 	18.0486     
3.595 	18.0243     
3.605 	17.7619     
3.615 	17.2553     
3.625 	16.5087     
3.635 	15.5372     
3.645 	14.3653     
3.655 	13.0257     
3.665 	11.5584     
3.675 	10.0085     
3.685 	8.42418     
3.695 	6.85511     
3.705 	5.35004     
3.715 	3.95497     
3.725 	2.71126     
3.735 	1.65398     
3.745 	0.810593    
3.755 	0.19986     
3.765 	-0.168836   
3.775 	-0.295801   
3.785 	-0.190961   
3.795 	0.126588    
3.805 	0.629378    
3.815 	1.28269     
3.825 	2.04596     
3.835 	2.87433     
3.845 	3.72044     
3.855 	4.53625     
3.865 	5.27482     
3.875 	5.89213     
3.885 	6.34866     
3.895 	6.61086     
3.905 	6.65233     
3.915 	6.45473     
3.925 	6.00834     
3.935 	5.31236     
3.945 	4.3748      
3.955 	3.21205     
3.965 	1.84821     
3.975 	0.314027    
3.985 	-1.35426    
3.995 	-3.1164     
4.005 	-4.92961    
4.015 	-6.75019    
4.025 	-8.53513    
4.035 	-10.2436    
4.045 	-11.8385    
4.055 	-13.2875    
4.065 	-14.5644    
4.075 	-15.6493    
4.085 	-16.5301    
4.095 	-17.2017    
4.105 	-17.6667    
4.115 	-17.9345    
4.125 	-18.0213    
4.135 	-17.9485    
4.145 	-17.7424    
4.155 	-17.4327    
4.165 	-17.051     
4.175 	-16.6299    
4.185 	-16.2015    
4.195 	-15.7959    
4.205 	-15.4403    
4.215 	-15.158     
4.225 	-14.9673    
4.235 	-14.8813    
4.245 	-14.907     
4.255 	-15.0456    
4.265 	-15.2923    
4.275 	-15.6368    
4.285 	-16.0638    
4.295 	-16.5538    
4.305 	-17.0839    
4.315 	-17.6289    
4.325 	-18.1622    
4.335 	-18.6574    
4.345 	-19.0889    
4.355 	-19.433     
4.365 	-19.6692    
4.375 	-19.7808    
4.385 	-19.7553    
4.395 	-19.5855    
4.405 	-19.2689    
4.415 	-18.8086    
4.425 	-18.2122    
4.435 	-17.4924    
4.445 	-16.6657    
4.455 	-15.7521    
4.465 	-14.7741    
4.475 	-13.7556    
4.485 	-12.7215    
4.495 	-11.6961    
4.505 	-10.7022    
4.515 	-9.76078    
4.525 	-8.8894     
4.535 	-8.10212    
4.545 	-7.40876    
4.555 	-6.8146     
4.565 	-6.32023    
4.575 	-5.92161    
4.585 	-5.61029    
4.595 	-5.37381    
4.605 	-5.19628    
4.615 	-5.05906    
4.625 	-4.94158    
4.635 	-4.82218    
4.645 	-4.67907    
4.655 	-4.49118    
4.665 	-4.23908    
4.675 	-3.90576    
4.685 	-3.47735    
4.695 	-2.94367    
4.705 	-2.29869    
4.715 	-1.54077    
4.725 	-0.672742   
4.735 	0.298152    
4.745 	1.36053     
4.755 	2.49927     
4.765 	3.69611     
4.775 	4.93027     
4.785 	6.17923     
4.795 	7.41959     
4.805 	8.62789     
4.815 	9.78148     
4.825 	10.8593     
4.835 	11.8428     
4.845 	12.7162     
4.855 	13.4675     
4.865 	14.0884     
4.875 	14.575      
4.885 	14.9276     
4.895 	15.1505     
4.905 	15.2521     
4.915 	15.2444     
4.925 	15.1421     
4.935 	14.9626     
4.945 	14.725      
4.955 	14.4492     
4.965 	14.1553     
4.975 	13.8628     
4.985 	13.5897     
4.995 	13.3522     
5.005 	13.1635     
5.015 	13.034      
5.025 	12.9703     
5.035 	12.9756     
5.045 	13.049      
5.055 	13.186      
5.065 	13.3787     
5.075 	13.616      
5.085 	13.8841     
5.095 	14.167      
5.105 	14.4473     
5.115 	14.7068     
5.125 	14.9274     
