q      	H_200-H_21   	H_200-C_7    	C_100-N_2    	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	H_100-N_2    	C_100-H_19   	H_200-H_16   	C_100-C_3    	H_100-C_14   	H_200-Br_23  	C_100-C_13   	C_100-H_15   	H_200-H_22   	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_8    	H_200-C_12   	C_100-C_8    	C_100-C_5    	H_200-C_3    	C_100-Br_23  	H_100-Br_23  	C_100-C_10   	H_100-C_13   	H_200-C_5    	H_100-H_17   	C_100-N_1    	H_100-C_8    	H_200-H_15   	H_200-Br_24  	C_100-C_7    	C_100-H_22   	H_200-C_11   	C_100-H_17   	H_100-C_7    	C_100-Br_24  	C_100-C_14   	H_100-C_12   	C_100-H_21   	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	H_100-N_1    	C_100-C_11   	H_100-H_16   	H_200-N_1    	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-Br_24  	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	H_200-N_2    	C_100-H_18  
4.125 	-0.00209338 	0.0252732   	-0.0336079  	0.0842055   	-0.0016942  	0.013013    	0.016678    	0.00433015  	0.0304665   	-0.00296031 	0.148946    	0.00342058  	0.38557     	-0.301069   	0.0179865   	-0.0030386  	0.0179467   	0.0294709   	-0.00164041 	0.0308657   	0.0178872   	-0.446294   	-0.463031   	-0.0120385  	-7.48858    	0.330249    	-0.183047   	-0.00509375 	0.0172748   	-0.00156785 	-0.0216659  	0.0183593   	-0.00172445 	0.435257    	-0.494075   	0.0259676   	0.012096    	0.0419614   	0.0163919   	-6.40997    	-0.25773    	0.01626     	0.0302004   	-0.374723   	-0.00181552 	0.0132954   	0.010298    	-0.00908829 	-0.182866   	-0.00173311 	0.0170318   	0.00728599  	-0.342373   	-0.00303964 	-0.00299227 	0.0118426   	-0.00152814 	-0.00287451 	0.00348123  	-0.00137367 	0.0211031   	-0.000126401	0.0204042   	0.210815    	-0.00108412 	-0.372055   	0.00918444  	0.00310991  	-0.00111922 	0.011819    	0.00201074  	0.0276146   
4.135 	-0.00206186 	0.0246855   	-0.000415293	0.0839947   	-0.0016474  	0.0131052   	0.0172046   	0.00564232  	0.0312326   	-0.00287969 	0.170057    	0.00384107  	0.396301    	-0.280767   	0.0197827   	-0.00284176 	0.0188191   	0.0304665   	-0.00171384 	0.0299649   	0.0182553   	-0.441868   	-0.430838   	-0.010689   	-7.61361    	0.326015    	-0.199511   	-0.00338489 	0.0173497   	-0.00156177 	-0.00632365 	0.0186819   	-0.00139779 	0.437773    	-0.507009   	0.0275486   	0.0127084   	0.0414662   	0.018       	-6.33852    	-0.255741   	0.0176464   	0.0288572   	-0.359764   	-0.00171017 	0.0153098   	0.0109275   	-0.00727437 	-0.177236   	-0.00173989 	0.0198525   	0.00834423  	-0.333945   	-0.00300088 	-0.00277045 	0.0137418   	-0.00141036 	-0.00263648 	0.00443156  	-0.00125023 	0.0218795   	-9.92856e-05	0.0206503   	0.232928    	-0.00104307 	-0.350927   	0.0115677   	0.00429202  	-0.00113786 	0.0139644   	0.00299396  	0.0287336   
4.145 	-0.00202109 	0.0241922   	0.0312962   	0.0836481   	-0.00159369 	0.013209    	0.0178433   	0.00694812  	0.032049    	-0.00278855 	0.190572    	0.0044425   	0.407788    	-0.259538   	0.0218363   	-0.00264348 	0.0197583   	0.0316316   	-0.00177963 	0.0291824   	0.0187233   	-0.436618   	-0.394877   	-0.0091156  	-7.71111    	0.323742    	-0.217477   	-0.00130877 	0.0176633   	-0.00155104 	0.00895795  	0.0190782   	-0.00107607 	0.441213    	-0.519044   	0.0292956   	0.0133205   	0.0410895   	0.0197058   	-6.25313    	-0.253075   	0.0190455   	0.0274528   	-0.342957   	-0.0015954  	0.0173968   	0.0118703   	-0.00518928 	-0.17296    	-0.00173975 	0.0224936   	0.00957642  	-0.323957   	-0.00293549 	-0.00254756 	0.0156986   	-0.00129153 	-0.00239778 	0.00527879  	-0.00111994 	0.0227639   	-0.000147807	0.0209819   	0.258339    	-0.00100685 	-0.326915   	0.0142634   	0.00567989  	-0.00116519 	0.0162892   	0.00406144  	0.0302262   
4.155 	-0.00197254 	0.0237901   	0.0601772   	0.0828662   	-0.00153404 	0.0133229   	0.0185534   	0.00820466  	0.0328529   	-0.00268875 	0.209393    	0.00519358  	0.419418    	-0.238424   	0.0240601   	-0.00244812 	0.0207249   	0.0329117   	-0.00183866 	0.0285213   	0.0192654   	-0.431166   	-0.356764   	-0.00736114 	-7.78601    	0.323224    	-0.236974   	0.00105863  	0.0181741   	-0.00153736 	0.0229564   	0.0195233   	-0.00076973 	0.445046    	-0.530196   	0.0311361   	0.0139111   	0.0408496   	0.0214556   	-6.16284    	-0.250353   	0.020412    	0.0260273   	-0.324799   	-0.00147346 	0.0194763   	0.0130723   	-0.00291174 	-0.170299   	-0.00173297 	0.024864    	0.0109497   	-0.31317    	-0.00284439 	-0.002329   	0.0176465   	-0.00117444 	-0.00216273 	0.00601665  	-0.00098641 	0.0237145   	-0.000269775	0.0213534   	0.286252    	-0.000975361	-0.301654   	0.0171691   	0.00723642  	-0.00120044 	0.0187206   	0.00517803  	0.0320407   
4.165 	-0.00191791 	0.0234724   	0.0849685   	0.081362    	-0.00146969 	0.0134439   	0.0192929   	0.0093724   	0.0335797   	-0.00258242 	0.225452    	0.00605757  	0.430573    	-0.218416   	0.026363    	-0.00225987 	0.0216798   	0.0342471   	-0.00189201 	0.0279796   	0.0198532   	-0.426116   	-0.318163   	-0.00547175 	-7.8434     	0.324203    	-0.257992   	0.0036333   	0.0188352   	-0.00152255 	0.0345146   	0.0199905   	-0.000488744	0.448731    	-0.54048    	0.0329939   	0.0144616   	0.0407563   	0.0231952   	-6.07668    	-0.248163   	0.0217015   	0.0246174   	-0.30585    	-0.00134682 	0.0214712   	0.0144715   	-0.000521546	-0.169441   	-0.00172016 	0.0268828   	0.0124253   	-0.302336   	-0.00272943 	-0.00211995 	0.0195227   	-0.00106189 	-0.00193562 	0.00664308  	-0.000853519	0.0246867   	-0.00046119 	0.0217193   	0.315824    	-0.000948587	-0.276811   	0.0201768   	0.00891839  	-0.00124258 	0.0211832   	0.00630888  	0.0341152   
4.175 	-0.00185898 	0.0232286   	0.104545    	0.0788734   	-0.00140208 	0.0135684   	0.02002     	0.0104165   	0.0341662   	-0.00247188 	0.237757    	0.00699408  	0.440657    	-0.200417   	0.0286539   	-0.00208253 	0.0225852   	0.0355752   	-0.00194087 	0.0275502   	0.0204576   	-0.422033   	-0.280725   	-0.00349531 	-7.88824    	0.326383    	-0.280471   	0.00632661  	0.0195969   	-0.00150845 	0.0425836   	0.0204516   	-0.000242232	0.451739    	-0.5499     	0.0347919   	0.0149572   	0.0408112   	0.0248719   	-6.00331    	-0.247028   	0.0228727   	0.0232553   	-0.286714   	-0.0012181  	0.0233103   	0.0160009   	0.00190323  	-0.170498   	-0.00170216 	0.0284821   	0.0139604   	-0.292167   	-0.00259328 	-0.00192514 	0.02127     	-0.000956633	-0.00172052 	0.00715996  	-0.000725232	0.0256358   	-0.000716133	0.022036    	0.346201    	-0.000926538	-0.254022   	0.0231772   	0.0106782   	-0.00129031 	0.0236026   	0.00742083  	0.0363805   
4.185 	-0.00179756 	0.0230454   	0.117955    	0.0751742   	-0.00133278 	0.0136918   	0.0206952   	0.0113082   	0.0345536   	-0.0023595  	0.245428    	0.00796101  	0.449122    	-0.185213   	0.0308446   	-0.00191944 	0.0234067   	0.0368332   	-0.00198646 	0.0272216   	0.0210494   	-0.419416   	-0.246022   	-0.00147972 	-7.92514    	0.329443    	-0.304293   	0.00904874  	0.0204084   	-0.0014968  	0.04626     	0.0208792   	-3.81457e-05	0.453575    	-0.55845    	0.0364552   	0.0153871   	0.0410081   	0.0264363   	-5.95072    	-0.247387   	0.0238886   	0.0219683   	-0.268024   	-0.00108995 	0.0249303   	0.0175908   	0.00428892  	-0.173501   	-0.00168    	0.0296091   	0.0155091   	-0.283307   	-0.00243933 	-0.00174875 	0.0228388   	-0.000861197	-0.00152119 	0.00757273  	-0.00060542 	0.0265182   	-0.00102672 	0.0222639   	0.376536    	-0.00090923 	-0.234827   	0.0260637   	0.0124658   	-0.0013421  	0.0259076   	0.00848365  	0.0387626   
4.195 	-0.00173541 	0.0229075   	0.124451    	0.070083    	-0.00126341 	0.0138101   	0.0212826   	0.0120252   	0.0346904   	-0.00224763 	0.247738    	0.00891646  	0.455482    	-0.173448   	0.032854    	-0.00177335 	0.0241147   	0.037961    	-0.00202991 	0.0269793   	0.0216014   	-0.41868    	-0.215491   	0.000528659 	-7.95814    	0.333046    	-0.329285   	0.011712    	0.0212199   	-0.00148918 	0.0448187   	0.0212475   	0.000117017 	0.453793    	-0.56611    	0.0379134   	0.0157447   	0.0413332   	0.0278443   	-5.92586    	-0.249574   	0.0247178   	0.0207781   	-0.250417   	-0.000965008	0.0262779   	0.0191713   	0.00656861  	-0.178401   	-0.00165486 	0.0302281   	0.0170249   	-0.27631    	-0.00227148 	-0.00159425 	0.0241885   	-0.000777833	-0.00134095 	0.00788989  	-0.000497678	0.0272941   	-0.00138314 	0.0223686   	0.40602     	-0.000896662	-0.220613   	0.0287363   	0.0142304   	-0.00139623 	0.0280323   	0.00947107  	0.0411852   
4.205 	-0.00167416 	0.0227981   	0.123516    	0.0634703   	-0.00119562 	0.0139192   	0.0217511   	0.0125532   	0.0345341   	-0.00213851 	0.244142    	0.00982053  	0.459337    	-0.165605   	0.0346102   	-0.00164634 	0.0246854   	0.0389032   	-0.00207225 	0.0268062   	0.0220887   	-0.420136   	-0.190379   	0.00248654  	-7.99051    	0.336858    	-0.355211   	0.0142342   	0.0219851   	-0.0014869  	0.0377374   	0.0215335   	0.000218433 	0.452021    	-0.572839   	0.0391034   	0.0160271   	0.0417666   	0.029058    	-5.93443    	-0.253802   	0.0253358   	0.0197009   	-0.234515   	-0.000845725	0.0273111   	0.0206752   	0.00868415  	-0.185073   	-0.00162796 	0.0303217   	0.0184621   	-0.271618   	-0.00209399 	-0.00146434 	0.0252888   	-0.000708398	-0.00118258 	0.00812246  	-0.000405168	0.0279289   	-0.00177374 	0.0223222   	0.433902    	-0.000888788	-0.212555   	0.0311045   	0.0159226   	-0.00145089 	0.0299187   	0.0103617   	0.0435728   
4.215 	-0.00161525 	0.0226998   	0.114883    	0.0552637   	-0.00113094 	0.0140162   	0.0220755   	0.0128856   	0.0340538   	-0.00203416 	0.234298    	0.010637    	0.460388    	-0.161998   	0.0360539   	-0.00153975 	0.0251015   	0.0396112   	-0.00211426 	0.0266837   	0.02249     	-0.423976   	-0.171702   	0.00435498  	-8.02462    	0.340555    	-0.381776   	0.0165412   	0.0226625   	-0.00149094 	0.0247146   	0.0217181   	0.000263112 	0.447969    	-0.57858    	0.0399717   	0.0162359   	0.0422826   	0.0300471   	-5.98059    	-0.260154   	0.0257255   	0.0187468   	-0.220904   	-0.000734348	0.0280004   	0.0220399   	0.0105877   	-0.193324   	-0.00160049 	0.029891    	0.019777    	-0.269548   	-0.00191129 	-0.00136085 	0.0261202   	-0.000654291	-0.00104824 	0.00828332  	-0.000330481	0.0283945   	-0.00218525 	0.0221044   	0.459514    	-0.000885496	-0.211577   	0.0330913   	0.0174958   	-0.00150417 	0.0315182   	0.0111395   	0.0458527   
