q      	cage        
0.005 	-12626.1    
0.015 	-12750.5    
0.025 	-12996.7    
0.035 	-13359.5    
0.045 	-13831.5    
0.055 	-14402.8    
0.065 	-15061.7    
0.075 	-15794.5    
0.085 	-16586.1    
0.095 	-17420.5    
0.105 	-18280.6    
0.115 	-19149.1    
0.125 	-20008.6    
0.135 	-20842.1    
0.145 	-21633.1    
0.155 	-22366.4    
0.165 	-23027.8    
0.175 	-23605      
0.185 	-24087.3    
0.195 	-24466.1    
0.205 	-24734.8    
0.215 	-24889.3    
0.225 	-24927.3    
0.235 	-24849.2    
0.245 	-24657.1    
0.255 	-24355.3    
0.265 	-23950.2    
0.275 	-23449.3    
0.285 	-22862.2    
0.295 	-22199.1    
0.305 	-21471.5    
0.315 	-20691.5    
0.325 	-19871.3    
0.335 	-19023.6    
0.345 	-18160.5    
0.355 	-17294      
0.365 	-16435.2    
0.375 	-15594.7    
0.385 	-14781.7    
0.395 	-14004.4    
0.405 	-13269.8    
0.415 	-12583.5    
0.425 	-11949.8    
0.435 	-11371.5    
0.445 	-10850.2    
0.455 	-10386.3    
0.465 	-9978.88    
0.475 	-9625.96    
0.485 	-9324.68    
0.495 	-9071.34    
0.505 	-8861.6     
0.515 	-8690.62    
0.525 	-8553.18    
0.535 	-8443.89    
0.545 	-8357.31    
0.555 	-8288.05    
0.565 	-8230.95    
0.575 	-8181.12    
0.585 	-8134.11    
0.595 	-8085.88    
0.605 	-8032.97    
0.615 	-7972.45    
0.625 	-7901.98    
0.635 	-7819.79    
0.645 	-7724.72    
0.655 	-7616.15    
0.665 	-7493.98    
0.675 	-7358.6     
0.685 	-7210.81    
0.695 	-7051.81    
0.705 	-6883.11    
0.715 	-6706.45    
0.725 	-6523.8     
0.735 	-6337.22    
0.745 	-6148.87    
0.755 	-5960.91    
0.765 	-5775.47    
0.775 	-5594.58    
0.785 	-5420.16    
0.795 	-5253.94    
0.805 	-5097.47    
0.815 	-4952.05    
0.825 	-4818.73    
0.835 	-4698.29    
0.845 	-4591.22    
0.855 	-4497.71    
0.865 	-4417.66    
0.875 	-4350.66    
0.885 	-4296       
0.895 	-4252.69    
0.905 	-4219.45    
0.915 	-4194.76    
0.925 	-4176.86    
0.935 	-4163.77    
0.945 	-4153.34    
0.955 	-4143.28    
0.965 	-4131.19    
0.975 	-4114.63    
0.985 	-4091.11    
0.995 	-4058.2     
1.005 	-4013.54    
1.015 	-3954.91    
1.025 	-3880.26    
1.035 	-3787.8     
1.045 	-3675.98    
1.055 	-3543.61    
1.065 	-3389.84    
1.075 	-3214.21    
1.085 	-3016.69    
1.095 	-2797.68    
1.105 	-2558.02    
1.115 	-2299.01    
1.125 	-2022.36    
1.135 	-1730.21    
1.145 	-1425.07    
1.155 	-1109.79    
1.165 	-787.53     
1.175 	-461.663    
1.185 	-135.745    
1.195 	186.569     
1.205 	501.594     
1.215 	805.692     
1.225 	1095.35     
1.235 	1367.24     
1.245 	1618.31     
1.255 	1845.84     
1.265 	2047.49     
1.275 	2221.36     
1.285 	2366.04     
1.295 	2480.6      
1.305 	2564.65     
1.315 	2618.32     
1.325 	2642.26     
1.335 	2637.61     
1.345 	2605.99     
1.355 	2549.42     
1.365 	2470.3      
1.375 	2371.35     
1.385 	2255.51     
1.395 	2125.91     
1.405 	1985.76     
1.415 	1838.32     
1.425 	1686.76     
1.435 	1534.16     
1.445 	1383.4      
1.455 	1237.13     
1.465 	1097.67     
1.475 	967.057     
1.485 	846.921     
1.495 	738.526     
1.505 	642.739     
1.515 	560.036     
1.525 	490.514     
1.535 	433.914     
1.545 	389.654     
1.555 	356.864     
1.565 	334.432     
1.575 	321.057     
1.585 	315.295     
1.595 	315.619     
1.605 	320.467     
1.615 	328.296     
1.625 	337.629     
1.635 	347.099     
1.645 	355.481     
1.655 	361.73      
1.665 	364.997     
1.675 	364.647     
1.685 	360.264     
1.695 	351.653     
1.705 	338.828     
1.715 	322.003     
1.725 	301.561     
1.735 	278.04      
1.745 	252.094     
1.755 	224.464     
1.765 	195.946     
1.775 	167.353     
1.785 	139.487     
1.795 	113.102     
1.805 	88.8836     
1.815 	67.4183     
1.825 	49.1788     
1.835 	34.5083     
1.845 	23.6123     
1.855 	16.5552     
1.865 	13.2627     
1.875 	13.5289     
1.885 	17.0285     
1.895 	23.3322     
1.905 	31.9261     
1.915 	42.2334     
1.925 	53.637      
1.935 	65.5039     
1.945 	77.2081     
1.955 	88.1538     
1.965 	97.7954     
1.975 	105.656     
1.985 	111.341     
1.995 	114.552     
2.005 	115.093     
2.015 	112.872     
2.025 	107.905     
2.035 	100.308     
2.045 	90.2903     
2.055 	78.1441     
2.065 	64.2307     
2.075 	48.965      
2.085 	32.7983     
2.095 	16.2007     
2.105 	-0.356823   
2.115 	-16.4192    
2.125 	-31.5639    
2.135 	-45.4146    
2.145 	-57.6537    
2.155 	-68.0316    
2.165 	-76.3737    
2.175 	-82.5836    
2.185 	-86.6441    
2.195 	-88.6152    
