q      	H_200-H_21   	H_200-C_7    	C_100-N_2    	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	H_100-N_2    	C_100-H_19   	H_200-H_16   	C_100-C_3    	H_100-C_14   	H_200-Br_23  	C_100-C_13   	C_100-H_15   	H_200-H_22   	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_8    	H_200-C_12   	C_100-C_8    	C_100-C_5    	H_200-C_3    	C_100-Br_23  	H_100-Br_23  	C_100-C_10   	H_100-C_13   	H_200-C_5    	H_100-H_17   	C_100-N_1    	H_100-C_8    	H_200-H_15   	H_200-Br_24  	C_100-C_7    	C_100-H_22   	H_200-C_11   	C_100-H_17   	H_100-C_7    	C_100-Br_24  	C_100-C_14   	H_100-C_12   	C_100-H_21   	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	H_100-N_1    	C_100-C_11   	H_100-H_16   	H_200-N_1    	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-Br_24  	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	H_200-N_2    	C_100-H_18  
4.475 	-0.000947478	0.0120479   	-0.296647   	0.0187159   	-0.000778865	0.0136091   	0.0221076   	0.00921843  	0.00573224  	-0.000608865	-0.0305061  	0.016873    	0.418144    	-0.205072   	0.0170502   	-0.000920331	0.0168528   	0.0219137   	-0.00122023 	0.0155835   	0.0100355   	-0.283375   	-0.511258   	0.0104947   	-5.65347    	0.286831    	-0.434266   	0.011607    	0.0223116   	-0.00117724 	-0.269453   	0.0173052   	-0.00127319 	0.252856    	-0.401252   	0.00433022  	0.0152745   	0.0165952   	0.020092    	-6.78018    	-0.191789   	0.0160712   	0.00893853  	-0.298274   	-0.000976107	0.0211025   	0.0236266   	0.00421417  	-0.262297   	-0.00112665 	0.0140878   	0.000878135 	-0.339837   	-0.000786686	-0.000415217	0.0146589   	-0.00135399 	-0.00108596 	0.00821015  	-0.000363661	0.0166147   	0.0161732   	0.0134915   	0.383746    	-0.00048424 	-0.405598   	0.0116001   	-0.00176544 	-0.00111952 	0.0137416   	0.00112554  	0.0224265   
4.485 	-0.000820186	0.0126544   	-0.285936   	0.0443153   	-0.000734662	0.0145285   	0.0229416   	0.00914696  	0.00599887  	-0.000459173	-0.0105502  	0.0171276   	0.41716     	-0.196214   	0.0166897   	-0.000856252	0.0173426   	0.0218618   	-0.00128633 	0.0142932   	0.00981852  	-0.255051   	-0.491772   	0.011147    	-5.27177    	0.292624    	-0.421709   	0.0121698   	0.0221539   	-0.00110506 	-0.248896   	0.0180924   	-0.00125526 	0.259136    	-0.370919   	0.00419307  	0.014363    	0.0159674   	0.0198019   	-6.41433    	-0.165447   	0.0166962   	0.00829555  	-0.286505   	-0.000931146	0.0200448   	0.0238672   	0.00577658  	-0.243703   	-0.00102712 	0.0137459   	0.00216708  	-0.304626   	-0.00068136 	-0.000312146	0.0151983   	-0.00122355 	-0.00102888 	0.00861513  	-0.000365902	0.0163903   	0.0172012   	0.0145753   	0.381776    	-0.00044314 	-0.395261   	0.0120804   	-0.00154134 	-0.00104786 	0.0150812   	0.00158916  	0.0234505   
4.495 	-0.000689453	0.0131963   	-0.27551    	0.0667735   	-0.000688242	0.0153602   	0.0236645   	0.00908863  	0.00632716  	-0.00032575 	0.00795012  	0.0172956   	0.413384    	-0.186618   	0.0163136   	-0.000779287	0.0178173   	0.02169     	-0.00134745 	0.0129497   	0.00957487  	-0.227688   	-0.471427   	0.0118188   	-4.89036    	0.297687    	-0.408551   	0.0126536   	0.0219317   	-0.00103563 	-0.229269   	0.0188917   	-0.00123595 	0.265004    	-0.339738   	0.0042632   	0.013463    	0.0153064   	0.0194448   	-6.0189     	-0.139298   	0.0173522   	0.00776558  	-0.274795   	-0.000884571	0.0188943   	0.0240684   	0.00736146  	-0.226629   	-0.000927505	0.0133333   	0.00351333  	-0.269859   	-0.000578474	-0.000228223	0.0157269   	-0.00108767 	-0.000972208	0.00897017  	-0.000368388	0.0161918   	0.0181384   	0.0156712   	0.377483    	-0.000410098	-0.385035   	0.0125112   	-0.00116709 	-0.000973476	0.0164787   	0.00201321  	0.0243882   
4.505 	-0.000559094	0.0136397   	-0.265729   	0.0853923   	-0.000641765	0.0160806   	0.0242455   	0.00902981  	0.00668055  	-0.000211629	0.0244905   	0.0173618   	0.406596    	-0.176555   	0.0159047   	-0.000691527	0.0182429   	0.0213696   	-0.00140266 	0.0115688   	0.0093099   	-0.201786   	-0.450417   	0.0124981   	-4.51574    	0.301763    	-0.395134   	0.0130443   	0.0216267   	-0.000969758	-0.211357   	0.0196675   	-0.00121546 	0.270083    	-0.308185   	0.0044907   	0.0125842   	0.0145914   	0.0190106   	-5.60166    	-0.114093   	0.0180121   	0.00732918  	-0.263352   	-0.000837569	0.0176771   	0.0242057   	0.00892167  	-0.211315   	-0.000830977	0.0128571   	0.0048688   	-0.236327   	-0.00048015 	-0.000164292	0.0162305   	-0.000949781	-0.000918381	0.00926502  	-0.000371332	0.0160276   	0.0189609   	0.0167288   	0.370884    	-0.000385868	-0.374999   	0.0128503   	-0.000674269	-0.000897911	0.0178948   	0.00237263  	0.0251949   
4.515 	-0.000432771	0.0139556   	-0.256886   	0.0996218   	-0.00059729 	0.0166697   	0.0246584   	0.00895652  	0.00702326  	-0.000119129	0.038638    	0.0173138   	0.39668     	-0.166284   	0.0154464   	-0.000595323	0.0185877   	0.0208761   	-0.00145119 	0.0101682   	0.00903092  	-0.177789   	-0.428922   	0.0131722   	-4.15379    	0.304627    	-0.381756   	0.0133304   	0.0212234   	-0.000908101	-0.195858   	0.0203851   	-0.00119393 	0.274025    	-0.276711   	0.00482298  	0.0117348   	0.0138045   	0.0184917   	-5.17058    	-0.0905317  	0.0186493   	0.00696556  	-0.252356   	-0.000791243	0.0164206   	0.0242559   	0.0104123   	-0.197914   	-0.000740408	0.0123267   	0.00618779  	-0.204753   	-0.000388305	-0.000120604	0.0166953   	-0.000813219	-0.000869614	0.00949081  	-0.000374866	0.0159041   	0.0196482   	0.0177001   	0.362045    	-0.000370903	-0.365192   	0.013059    	-9.60718e-05	-0.000822647	0.019289    	0.00264708  	0.0258309   
4.525 	-0.000313868	0.0141212   	-0.249197   	0.109077    	-0.000556695	0.0171114   	0.0248824   	0.00885512  	0.00732168  	-4.97957e-05	0.0500438   	0.0171432   	0.383622    	-0.156044   	0.0149242   	-0.000493197	0.0188235   	0.0201907   	-0.00149243 	0.00876769  	0.00874695  	-0.156067   	-0.4071     	0.0138275   	-3.80954    	0.306088    	-0.368655   	0.0135036   	0.0207093   	-0.000851136	-0.18336    	0.0210123   	-0.00117148 	0.276522    	-0.24573    	0.00520688  	0.0109218   	0.0129314   	0.0178832   	-4.73355    	-0.0692361  	0.0192381   	0.00665345  	-0.241951   	-0.000746579	0.0151526   	0.0241983   	0.0117922   	-0.186491   	-0.00065826 	0.0117542   	0.00742841  	-0.175763   	-0.000304586	-9.68202e-05	0.0171081   	-0.000681121	-0.000827812	0.0096403   	-0.00037902 	0.0158257   	0.0201837   	0.0185408   	0.351085    	-0.000365334	-0.355605   	0.0131039   	0.000534072 	-0.000749069	0.0206214   	0.00282146  	0.0262628   
4.535 	-0.000205378	0.0141208   	-0.242794   	0.113551    	-0.000521593	0.0173936   	0.0249031   	0.00871289  	0.00754557  	-4.35502e-06	0.058454    	0.0168458   	0.367515    	-0.146044   	0.0143256   	-0.000387751	0.018927    	0.0193006   	-0.00152595 	0.00738834  	0.00846832  	-0.1369     	-0.385087   	0.0144506   	-3.48699    	0.305996    	-0.356006   	0.0135589   	0.0200757   	-0.000799159	-0.174319   	0.0215199   	-0.00114818 	0.277318    	-0.215612   	0.00559081  	0.0101504   	0.0119624   	0.0171833   	-4.29809    	-0.0507319  	0.0197549   	0.00637182  	-0.232235   	-0.000704414	0.0139006   	0.0240151   	0.0130253   	-0.177022   	-0.000586513	0.0111533   	0.00855384  	-0.149874   	-0.000230311	-9.20336e-05	0.0174569   	-0.000556325	-0.000794497	0.00970811  	-0.000383712	0.0157946   	0.0205547   	0.0192125   	0.338167    	-0.000368955	-0.346186   	0.0129581   	0.00118376  	-0.00067842 	0.0218535   	0.00288621  	0.0264642   
4.545 	-0.000109811	0.0139458   	-0.237721   	0.113014    	-0.000493272	0.017509    	0.0247127   	0.00851866  	0.00766913  	1.72895e-05 	0.0637158   	0.0164216   	0.348554    	-0.136455   	0.0136408   	-0.000281578	0.0188805   	0.0182001   	-0.00155144 	0.00605177  	0.00820623  	-0.120471   	-0.362991   	0.0150286   	-3.18899    	0.304245    	-0.343909   	0.0134949   	0.0193182   	-0.000752265	-0.169043   	0.0218827   	-0.00112403 	0.276212    	-0.186669   	0.00592669  	0.00942432  	0.0108922   	0.0163932   	-3.87108    	-0.0354308  	0.0201785   	0.00610066  	-0.223255   	-0.000665411	0.0126905   	0.0236927   	0.0140816   	-0.169395   	-0.0005266  	0.0105397   	0.00953335  	-0.127473   	-0.000166437	-0.000104811	0.0177313   	-0.000441286	-0.000770755	0.00969091  	-0.000388744	0.0158102   	0.0207535   	0.0196831   	0.323494    	-0.000381221	-0.336833   	0.0126014   	0.0018228   	-0.000611772	0.0229494   	0.00283735  	0.0264168   
4.555 	-2.91154e-05	0.0135949   	-0.233938   	0.107618    	-0.000472651	0.0174548   	0.0243105   	0.00826335  	0.0076718   	1.60374e-05 	0.0657811   	0.0158755   	0.327025    	-0.127407   	0.0128634   	-0.000177179	0.0186722   	0.0168907   	-0.00156877 	0.00477961  	0.00797228  	-0.106852   	-0.340894   	0.0155494   	-2.91706    	0.300776    	-0.332384   	0.0133141   	0.0184364   	-0.000710347	-0.167681   	0.0220803   	-0.00109897 	0.273069    	-0.159154   	0.00617167  	0.00874561  	0.00972068  	0.0155174   	-3.45859    	-0.0236186  	0.020491    	0.00582161  	-0.215008   	-0.000630047	0.0115463   	0.0232215   	0.0149384   	-0.163417   	-0.00047938 	0.00992949  	0.0103431   	-0.108814   	-0.000113525	-0.00013325 	0.0179226   	-0.000338015	-0.0007572  	0.00958754  	-0.000393805	0.0158695   	0.020777    	0.0199284   	0.307303    	-0.000401262	-0.327408   	0.0120218   	0.00242423  	-0.000549999	0.0238769   	0.00267634  	0.0261107   
4.565 	3.53702e-05 	0.0130741   	-0.23132    	0.0976845   	-0.000460248	0.0172326   	0.0237024   	0.00794041  	0.0075389   	-6.45833e-06	0.0647059   	0.0152166   	0.303295    	-0.118982   	0.01199     	-7.68849e-05	0.0182965   	0.0153808   	-0.00157789 	0.00359282  	0.00777789  	-0.0960074  	-0.31885    	0.016002    	-2.67146    	0.295573    	-0.321377   	0.0130222   	0.0174342   	-0.000673103	-0.170223   	0.0220972   	-0.00107285 	0.267817    	-0.133256   	0.0062896   	0.0081147   	0.0084524   	0.0145629   	-3.06564    	-0.0154472  	0.0206781   	0.00551842  	-0.207436   	-0.0005986  	0.010489    	0.0225972   	0.01558     	-0.158821   	-0.000445125	0.00933942  	0.0109666   	-0.0940086  	-7.17384e-05	-0.000175049	0.0180247   	-0.000248031	-0.000753953	0.00939896  	-0.000398486	0.0159668   	0.0206264   	0.0199327   	0.289857    	-0.000427907	-0.317733   	0.0112151   	0.0029652   	-0.00049376 	0.0246085   	0.00240977  	0.0255445   
