q      	H_200-H_21   	H_200-C_7    	C_100-N_2    	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	H_100-N_2    	C_100-H_19   	H_200-H_16   	C_100-C_3    	C_100-H_24   	H_100-C_14   	C_100-C_13   	C_100-H_15   	H_200-H_22   	H_100-H_23   	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_8    	H_200-C_12   	C_100-C_8    	C_100-C_5    	H_200-C_3    	C_100-C_10   	H_100-C_13   	H_200-C_5    	H_100-H_17   	C_100-N_1    	H_100-H_24   	H_100-C_8    	H_200-H_15   	C_100-C_7    	C_100-H_22   	H_200-H_23   	H_200-C_11   	C_100-H_17   	H_100-C_7    	C_100-C_14   	H_100-C_12   	C_100-H_21   	H_200-H_24   	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	H_100-N_1    	C_100-C_11   	H_100-H_16   	H_200-N_1    	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	C_100-H_23   	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	H_200-N_2    	C_100-H_18  
6.075 	-1.48208e-06	0.000246923 	-0.10911    	0.0441858   	-1.5303e-05 	0.00036491  	0.00331662  	-0.00194827 	0.00585756  	7.59718e-05 	-0.00523185 	0.00408508  	0.00125759  	0.0131221   	0.00309159  	-9.7759e-06 	-4.33373e-05	0.00100627  	0.00622593  	-3.23175e-05	0.00090393  	0.00176173  	0.0460827   	0.0462847   	0.000174922 	-0.0295437  	0.00293253  	0.000104388 	-3.76394e-05	-0.10797    	-5.99337e-05	0.0032468   	1.08136e-05 	0.0157665   	0.00377697  	8.13049e-05 	0.000698217 	0.00473346  	0.00337883  	0.00517637  	0.00024792  	0.00364154  	-4.09184e-06	-0.0129582  	-0.000124378	0.000504671 	0.00256962  	-0.00173735 	0.0179653   	2.75716e-06 	-0.00260587 	0.00122791  	-0.0175547  	6.53213e-05 	1.29413e-05 	0.00178642  	4.1783e-05  	4.49703e-05 	0.00503693  	0.00160987  	4.68169e-06 	-0.000601757	0.000228041 	-0.000527931	-5.12947e-05	0.0264878   	0.00390909  	0.00140507  	2.36407e-05 	0.00113719  	-0.00147563 	0.00640794  
6.085 	3.04917e-06 	0.000373398 	-0.106658   	0.0531018   	-1.05344e-05	0.000622014 	0.0032475   	-0.00187648 	0.00585161  	7.85065e-05 	0.00348034  	0.00383087  	0.00150829  	0.0176144   	0.00275916  	-4.08438e-06	-4.12108e-05	0.00116042  	0.00622592  	-3.13842e-05	0.000938287 	0.00174511  	0.0561063   	0.0473989   	0.000177164 	-0.0209952  	0.00296339  	0.00015262  	-4.16896e-05	-0.108913   	-5.3804e-05 	0.00328948  	2.50246e-05 	0.0192885   	0.00371946  	7.76837e-05 	0.000744332 	0.00461082  	0.00334104  	0.0107352   	0.000200732 	0.0036562   	-6.01869e-06	0.000360787 	-0.000131871	0.000598876 	0.00249319  	-0.00177586 	0.0228334   	1.42005e-06 	-0.00259226 	0.00118757  	-0.00598577 	7.45199e-05 	2.70792e-05 	0.00196766  	4.14151e-05 	4.02496e-05 	0.00519648  	0.00158519  	7.82637e-06 	-0.000443855	0.000134866 	-0.000481803	-5.34842e-05	0.037921    	0.00377089  	0.00137339  	2.64873e-05 	0.0014737   	-0.00169544 	0.00632818  
6.095 	8.2715e-06  	0.000473814 	-0.103926   	0.0612566   	-7.1084e-06 	0.000859193 	0.00315168  	-0.00181177 	0.00580282  	7.97599e-05 	0.0121189   	0.00356562  	0.00174615  	0.0211275   	0.00243666  	1.40315e-06 	-3.94131e-05	0.00130092  	0.00618864  	-3.02138e-05	0.000978698 	0.00171607  	0.0650665   	0.0473468   	0.000179168 	-0.0128909  	0.00297816  	0.000196168 	-4.55305e-05	-0.109484   	-4.80705e-05	0.00330193  	3.82925e-05 	0.0217379   	0.00366402  	7.24546e-05 	0.000784393 	0.00449854  	0.00327569  	0.0161115   	0.000165857 	0.00366078  	-7.48406e-06	0.0130632   	-0.000137654	0.000676181 	0.00241516  	-0.00182122 	0.0274325   	-3.68961e-07	-0.00256286 	0.00115718  	0.00540401  	8.22244e-05 	3.99239e-05 	0.00212541  	4.1169e-05  	3.51401e-05 	0.00530476  	0.00152679  	1.02613e-05 	-0.000292798	5.55921e-05 	-0.000415069	-5.59425e-05	0.0479524   	0.00363692  	0.00131636  	2.78646e-05 	0.00180596  	-0.0019221  	0.00619609  
6.105 	1.40179e-05 	0.000543618 	-0.101007   	0.0684677   	-5.17633e-06	0.00106771  	0.00303156  	-0.00175375 	0.00570661  	7.96851e-05 	0.0204322   	0.00329179  	0.00196226  	0.0235399   	0.00212737  	6.53563e-06 	-3.80397e-05	0.00142383  	0.00610864  	-2.90288e-05	0.00102345  	0.00167415  	0.0728235   	0.0462009   	0.000181024 	-0.00536195 	0.00297414  	0.000233872 	-4.91902e-05	-0.109638   	-4.29545e-05	0.00328292  	5.03277e-05 	0.0231187   	0.003608    	6.56612e-05 	0.000817704 	0.00439485  	0.00318424  	0.0212262   	0.000142606 	0.00365249  	-8.53594e-06	0.0248708   	-0.000141703	0.000734468 	0.00233558  	-0.00187336 	0.0316866   	-2.74665e-06	-0.0025194  	0.00113319  	0.0164516   	8.81652e-05 	5.11769e-05 	0.00225661  	4.09759e-05 	2.97874e-05 	0.0053538   	0.00143527  	1.17935e-05 	-0.000151955	-6.30155e-06	-0.000329851	-5.87182e-05	0.0563681   	0.00350789  	0.00123193  	2.76609e-05 	0.00212402  	-0.0021513  	0.00600897  
6.115 	2.01073e-05 	0.000579217 	-0.0979866  	0.074585    	-4.83966e-06	0.00124031  	0.00289021  	-0.00170175 	0.00555999  	7.82696e-05 	0.0281869   	0.00301217  	0.00214881  	0.0247781   	0.00183432  	1.11858e-05 	-3.71699e-05	0.00152621  	0.00598183  	-2.80451e-05	0.00107082  	0.00161937  	0.0792728   	0.0440652   	0.000182798 	0.00148386  	0.00294922  	0.000264998 	-5.26818e-05	-0.109331   	-3.8647e-05 	0.00323241  	6.0891e-05  	0.0234683   	0.00354876  	5.7401e-05  	0.000843948 	0.00429773  	0.00306883  	0.0260089   	0.000130352 	0.00362931  	-9.22674e-06	0.0355449   	-0.000144032	0.000772667 	0.00225455  	-0.00193176 	0.0355296   	-5.81715e-06	-0.00246372 	0.00111192  	0.0270034   	9.21409e-05 	6.06049e-05 	0.00235938  	4.07584e-05 	2.4343e-05  	0.00533754  	0.00131252  	1.2261e-05  	-2.41264e-05	-4.77008e-05	-0.000228675	-6.18304e-05	0.0630088   	0.00338413  	0.00111931  	2.58146e-05 	0.00241863  	-0.0023783  	0.00576608  
6.125 	2.63507e-05 	0.000578115 	-0.0949409  	0.0794949   	-6.14775e-06	0.00137142  	0.00273119  	-0.00165476 	0.00536163  	7.55353e-05 	0.0351756   	0.00272975  	0.00229936  	0.0248196   	0.00156028  	1.52529e-05 	-3.68656e-05	0.00160617  	0.00580563  	-2.74639e-05	0.00111906  	0.00155232  	0.0843484   	0.041072    	0.000184524 	0.00756517  	0.00290197  	0.000289246 	-5.6005e-05 	-0.108519   	-3.53033e-05	0.00315152  	6.97992e-05 	0.0228564   	0.00348384  	4.78243e-05 	0.000863186 	0.00420503  	0.00293233  	0.0304006   	0.000128558 	0.00358998  	-9.61075e-06	0.044894    	-0.00014469 	0.00079077  	0.00217214  	-0.00199545 	0.0389076   	-9.64726e-06	-0.00239772 	0.00108968  	0.0369191   	9.40244e-05 	6.80453e-05 	0.00243298  	4.0434e-05  	1.89606e-05 	0.00525204  	0.0011616   	1.15385e-05 	8.8535e-05  	-6.6009e-05 	-0.000114401	-6.52683e-05	0.0677753   	0.00326557  	0.000978963 	2.23158e-05 	0.00268145  	-0.00259807 	0.00546879  
6.135 	3.25573e-05 	0.00053901  	-0.0919322  	0.0831239   	-9.09746e-06	0.00145729  	0.00255853  	-0.00161153 	0.00511194  	7.15378e-05 	0.0412236   	0.00244772  	0.00240895  	0.0236955   	0.00130769  	1.86646e-05 	-3.71697e-05	0.00166297  	0.00557909  	-2.74645e-05	0.0011665   	0.00147409  	0.0880243   	0.0373779   	0.000186202 	0.0128289   	0.00283174  	0.000306727 	-5.91465e-05	-0.107164   	-3.3039e-05 	0.00304254  	7.69284e-05 	0.0213827   	0.00341097  	3.71302e-05 	0.000875835 	0.00411457  	0.00277817  	0.0343562   	0.000136781 	0.00353407  	-9.74187e-06	0.052779    	-0.000143765	0.000789812 	0.00208852  	-0.00206305 	0.0417812   	-1.42634e-05	-0.00232324 	0.00106299  	0.0460764   	9.37649e-05 	7.34078e-05 	0.00247786  	3.99186e-05 	1.37912e-05 	0.00509559  	0.000986639 	9.54286e-06 	0.000184561 	-5.92819e-05	9.8493e-06  	-6.8992e-05 	0.0706315   	0.00315178  	0.000812658 	1.72047e-05 	0.00290538  	-0.0028054  	0.00512046  
6.145 	3.854e-05   	0.000461854 	-0.0890084  	0.0854395   	-1.36343e-05	0.00149609  	0.00237654  	-0.00157057 	0.00481301  	6.63646e-05 	0.0461936   	0.00216932  	0.00247432  	0.0214886   	0.00107868  	2.1377e-05  	-3.81058e-05	0.00169698  	0.00530297  	-2.81985e-05	0.00121153  	0.0013863   	0.0903145   	0.0331593   	0.000187783 	0.0172511   	0.00273866  	0.000317932 	-6.20829e-05	-0.105234   	-3.19282e-05	0.00290877  	8.22154e-05 	0.0191733   	0.00332824  	2.55609e-05 	0.000882644 	0.00402417  	0.00261029  	0.0378456   	0.000154671 	0.00346186  	-9.67158e-06	0.0591163   	-0.000141373	0.000771797 	0.00200386  	-0.00213272 	0.044126    	-1.96503e-05	-0.00224206 	0.00102867  	0.0543733   	9.13883e-05 	7.66737e-05 	0.00249556  	3.91306e-05 	8.97873e-06 	0.00486881  	0.000792669 	6.23518e-06 	0.000263185 	-2.63426e-05	0.000140767 	-7.29346e-05	0.0716062   	0.00304199  	0.000623398 	1.05698e-05 	0.00308469  	-0.00299511 	0.00472646  
6.155 	4.41216e-05 	0.00034787  	-0.0862019  	0.0864502   	-1.96553e-05	0.00148789  	0.0021897   	-0.00153021 	0.00446856  	6.01325e-05 	0.0499896   	0.00189776  	0.00249386  	0.0183313   	0.000875017 	2.33743e-05 	-3.96777e-05	0.00170965  	0.00497973  	-2.97845e-05	0.00125267  	0.00129097  	0.0912719   	0.0286064   	0.000189171 	0.0208367   	0.00262371  	0.000323681 	-6.47831e-05	-0.102708   	-3.20021e-05	0.00275442  	8.56565e-05 	0.0163761   	0.00323409  	1.33945e-05 	0.000884642 	0.00393182  	0.00243299  	0.0408547   	0.000181956 	0.00337435  	-9.44723e-06	0.063879    	-0.000137657	0.000739595 	0.00191841  	-0.00220228 	0.0459343   	-2.57518e-05	-0.00215583 	0.000984065 	0.0617314   	8.69938e-05 	7.78934e-05 	0.00248866  	3.79941e-05 	4.65595e-06 	0.00457457  	0.000585448 	1.62275e-06 	0.000324334 	3.31302e-05 	0.00027494  	-7.70054e-05	0.0707907   	0.00293519  	0.000415323 	2.54401e-06 	0.00321518  	-0.00316219 	0.0042939   
6.165 	4.91393e-05 	0.000199533 	-0.0835291  	0.0862036   	-2.7013e-05 	0.00143458  	0.00200254  	-0.0014887  	0.00408379  	5.29841e-05 	0.0525588   	0.00163616  	0.00246769  	0.0143996   	0.000698061 	2.46668e-05 	-4.18703e-05	0.00170344  	0.00461345  	-3.23041e-05	0.00128855  	0.00119052  	0.0909853   	0.0239175   	0.000190216 	0.023618    	0.00248867  	0.000325057 	-6.72113e-05	-0.099576   	-3.32496e-05	0.00258441  	8.7304e-05  	0.0131558   	0.00312739  	9.3544e-07  	0.000883084 	0.00383564  	0.00225077  	0.0433853   	0.00021841  	0.00327314  	-9.11077e-06	0.0670961   	-0.000132787	0.000696792 	0.00183242  	-0.00226924 	0.0472138   	-3.24724e-05	-0.00206605 	0.000927082 	0.0680966   	8.07476e-05 	7.71802e-05 	0.00246059  	3.64429e-05 	9.40139e-07 	0.00421792  	0.000371239 	-4.24146e-06	0.000368588 	0.000118543 	0.000408938 	-8.10943e-05	0.0683352   	0.00283015  	0.000193554 	-6.70031e-06	0.00329428  	-0.00330199 	0.00383144  
