q      	cage        
0.005 	-6879.22    
0.015 	-6929.1     
0.025 	-7027.96    
0.035 	-7173.99    
0.045 	-7364.54    
0.055 	-7596.17    
0.065 	-7864.67    
0.075 	-8165.24    
0.085 	-8492.47    
0.095 	-8840.56    
0.105 	-9203.33    
0.115 	-9574.44    
0.125 	-9947.41    
0.135 	-10315.8    
0.145 	-10673.4    
0.155 	-11014.2    
0.165 	-11332.5    
0.175 	-11623.2    
0.185 	-11881.6    
0.195 	-12103.8    
0.205 	-12286.4    
0.215 	-12426.9    
0.225 	-12523.3    
0.235 	-12574.7    
0.245 	-12580.5    
0.255 	-12541.4    
0.265 	-12458.2    
0.275 	-12332.8    
0.285 	-12167.4    
0.295 	-11965      
0.305 	-11728.9    
0.315 	-11462.7    
0.325 	-11170.4    
0.335 	-10856.2    
0.345 	-10524.4    
0.355 	-10179.3    
0.365 	-9825.24    
0.375 	-9466.33    
0.385 	-9106.58    
0.395 	-8749.72    
0.405 	-8399.18    
0.415 	-8058.07    
0.425 	-7729.1     
0.435 	-7414.57    
0.445 	-7116.38    
0.455 	-6836.01    
0.465 	-6574.5     
0.475 	-6332.49    
0.485 	-6110.24    
0.495 	-5907.61    
0.505 	-5724.16    
0.515 	-5559.11    
0.525 	-5411.43    
0.535 	-5279.88    
0.545 	-5163       
0.555 	-5059.23    
0.565 	-4966.88    
0.575 	-4884.23    
0.585 	-4809.53    
0.595 	-4741.06    
0.605 	-4677.16    
0.615 	-4616.26    
0.625 	-4556.91    
0.635 	-4497.8     
0.645 	-4437.79    
0.655 	-4375.92    
0.665 	-4311.41    
0.675 	-4243.69    
0.685 	-4172.38    
0.695 	-4097.31    
0.705 	-4018.49    
0.715 	-3936.11    
0.725 	-3850.53    
0.735 	-3762.27    
0.745 	-3671.96    
0.755 	-3580.35    
0.765 	-3488.27    
0.775 	-3396.6     
0.785 	-3306.23    
0.795 	-3218.08    
0.805 	-3133.01    
0.815 	-3051.83    
0.825 	-2975.26    
0.835 	-2903.92    
0.845 	-2838.28    
0.855 	-2778.66    
0.865 	-2725.2     
0.875 	-2677.88    
0.885 	-2636.48    
0.895 	-2600.57    
0.905 	-2569.55    
0.915 	-2542.64    
0.925 	-2518.86    
0.935 	-2497.11    
0.945 	-2476.14    
0.955 	-2454.59    
0.965 	-2431.04    
0.975 	-2404.02    
0.985 	-2372.04    
0.995 	-2333.67    
1.005 	-2287.53    
1.015 	-2232.33    
1.025 	-2166.96    
1.035 	-2090.45    
1.045 	-2002.05    
1.055 	-1901.25    
1.065 	-1787.8     
1.075 	-1661.7     
1.085 	-1523.24    
1.095 	-1373.01    
1.105 	-1211.86    
1.115 	-1040.94    
1.125 	-861.624    
1.135 	-675.54     
1.145 	-484.511    
1.155 	-290.527    
1.165 	-95.7082    
1.175 	97.7421     
1.185 	287.58      
1.195 	471.57      
1.205 	647.531     
1.215 	813.387     
1.225 	967.206     
1.235 	1107.25     
1.245 	1231.99     
1.255 	1340.18     
1.265 	1430.84     
1.275 	1503.3      
1.285 	1557.2      
1.295 	1592.5      
1.305 	1609.49     
1.315 	1608.74     
1.325 	1591.15     
1.335 	1557.84     
1.345 	1510.21     
1.355 	1449.82     
1.365 	1378.42     
1.375 	1297.89     
1.385 	1210.15     
1.395 	1117.18     
1.405 	1020.95     
1.415 	923.352     
1.425 	826.213     
1.435 	731.214     
1.445 	639.877     
1.455 	553.534     
