q      	H_200-H_21   	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	C_100-H_19   	H_200-H_16   	C_100-C_3    	H_100-C_14   	H_200-Br_23  	C_100-C_13   	C_100-H_15   	H_100-C_1    	H_200-H_22   	H_100-N_7    	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_2    	H_200-C_12   	C_100-C_5    	H_200-C_3    	C_100-Br_23  	H_100-Br_23  	C_100-C_10   	H_100-C_13   	H_100-C_2    	C_100-C_2    	H_100-N_8    	H_200-C_5    	H_100-H_17   	H_200-H_15   	H_200-Br_24  	C_100-H_22   	H_200-N_7    	H_200-C_11   	C_100-H_17   	C_100-C_1    	H_200-C_1    	C_100-Br_24  	C_100-N_7    	C_100-C_14   	H_100-C_12   	C_100-H_21   	H_200-N_8    	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	C_100-C_11   	H_100-H_16   	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	C_100-N_8    	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-Br_24  	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	C_100-H_18  
8.025 	5.79848e-06 	0.0283673   	1.62637e-05 	0.000167721 	0.000124457 	0.000520229 	-2.70846e-07	0.00372741  	0.000347285 	-4.14481e-05	0.0113189   	0.000220071 	-0.000364639	1.59683e-05 	-0.000590651	0.000463522 	0.000402389 	2.13043e-05 	0.000486207 	1.69463e-06 	-0.0237578  	-0.00038107 	0.551653    	0.00148241  	0.000399032 	0.000168361 	4.81925e-07 	0.0118817   	-0.000277911	-0.000344745	1.70788e-05 	8.56998e-06 	0.000892079 	0.000305258 	0.000115302 	0.000284914 	0.000203617 	0.0111887   	-9.86535e-05	0.339108    	-0.00109445 	0.0187132   	0.000177172 	9.31425e-05 	-0.000360391	0.0307507   	1.47022e-05 	9.52206e-05 	0.00048471  	-0.00242244 	1.30324e-05 	0.000512374 	0.00210886  	9.48287e-06 	1.79355e-05 	-0.000206777	1.2697e-05  	8.51967e-06 	-0.00537492 	0.000246144 	2.02517e-05 	0.000448616 	-0.000387161	-0.000274865	0.00439056  	2.37847e-05 	0.0157841   	0.000564326 	0.00011366  	9.18192e-06 	-3.70532e-05	2.86893e-05 
8.035 	5.29162e-06 	0.0291061   	1.68268e-05 	8.39814e-05 	0.000149011 	0.000494075 	3.19585e-07 	0.00588884  	0.000335931 	0.000131892 	0.0115793   	0.000193777 	-0.000377234	1.53551e-05 	-0.000598673	0.000435978 	0.000405716 	2.20756e-05 	0.000489349 	-7.45447e-06	-0.0248933  	-0.000350411	0.595177    	0.00187492  	0.00150555  	0.000184276 	-1.83782e-05	0.0132327   	-0.00027234 	-0.000333257	1.80455e-05 	9.18141e-06 	0.00055224  	0.000244818 	0.000138875 	0.000262425 	0.000182788 	0.00901736  	-0.000121678	0.34205     	-0.000661337	0.0169307   	0.000170513 	0.00010434  	-0.000404002	0.030298    	1.46877e-05 	9.11705e-05 	0.000535098 	-0.00259294 	1.2356e-05  	0.000492297 	0.00143762  	8.39842e-06 	1.7066e-05  	-0.000178937	1.27699e-05 	9.00638e-06 	-0.00453845 	0.000261214 	2.00832e-05 	0.000398499 	-0.000401172	-0.000252253	0.00435205  	2.29033e-05 	0.012526    	0.000549587 	0.000183201 	8.88567e-06 	-2.36919e-06	4.92641e-05 
8.045 	4.71524e-06 	0.0291674   	1.73025e-05 	-9.56635e-07	0.000164999 	0.000458729 	8.6892e-07  	0.00808075  	0.000319114 	0.000249213 	0.011627    	0.000163224 	-0.000388472	1.45146e-05 	-0.000604415	0.000395038 	0.000400893 	2.25558e-05 	0.000485147 	-2.13346e-05	-0.0259624  	-0.000314175	0.627484    	0.00220713  	0.00273186  	0.000195431 	-3.99788e-05	0.0142666   	-0.000272583	-0.000318003	1.87972e-05 	9.5958e-06  	0.000190466 	0.00017272  	0.000156539 	0.000235361 	0.00015449  	0.00699647  	-0.00014911 	0.337547    	-0.000443576	0.0146025   	0.00015894  	0.00011459  	-0.000448694	0.0294521   	1.45346e-05 	8.57233e-05 	0.000570682 	-0.0025747  	1.14626e-05 	0.000460229 	0.000895201 	7.32568e-06 	1.60004e-05 	-0.000148333	1.27315e-05 	9.43815e-06 	-0.00412877 	0.000272729 	1.97318e-05 	0.00033765  	-0.000412785	-0.00022758 	0.00422321  	2.17576e-05 	0.00896451  	0.000532625 	0.000246127 	8.41488e-06 	3.14966e-05 	7.20317e-05 
8.055 	4.08636e-06 	0.0285962   	1.76821e-05 	-8.52226e-05	0.000172986 	0.00041524  	1.36068e-06 	0.0102551   	0.000297599 	0.000313689 	0.0114685   	0.000129229 	-0.000398   	1.34727e-05 	-0.000607396	0.000341889 	0.000387868 	2.27274e-05 	0.000474332 	-3.87652e-05	-0.0269002  	-0.000272632	0.648468    	0.00247881  	0.00407874  	0.000201628 	-6.29678e-05	0.0149975   	-0.000278545	-0.000298658	1.93169e-05 	9.80813e-06 	-0.000179798	9.17258e-05 	0.0001682   	0.000204102 	0.000119903 	0.0051583   	-0.00017973 	0.326069    	-0.000421516	0.0118224   	0.000143514 	0.000123058 	-0.000494291	0.0282341   	1.42493e-05 	7.95832e-05 	0.000591345 	-0.00234581 	1.03877e-05 	0.000417566 	0.000504055 	6.28416e-06 	1.47688e-05 	-0.000115075	1.25855e-05 	9.80913e-06 	-0.00410735 	0.00028012  	1.92046e-05 	0.000267686 	-0.000421369	-0.000201224	0.00401248  	2.03771e-05 	0.00518305  	0.000513674 	0.000301431 	7.7897e-06  	6.38534e-05 	9.60248e-05 
8.065 	3.42392e-06 	0.0274593   	1.79594e-05 	-0.000166933	0.000173816 	0.000364981 	1.78249e-06 	0.0123631   	0.000272247 	0.000331056 	0.0111162   	9.27874e-05 	-0.000405458	1.22619e-05 	-0.000607113	0.000278096 	0.000366877 	2.25835e-05 	0.000457715 	-5.84581e-05	-0.0276407  	-0.000226205	0.658374    	0.0026919   	0.0055431   	0.000202805 	-8.59572e-05	0.0154506   	-0.000289845	-0.000274962	1.95954e-05 	9.82172e-06 	-0.000544424	5.00341e-06 	0.000173956 	0.000169129 	8.0493e-05  	0.00352756  	-0.000212174	0.308334    	-0.000567642	0.00870319  	0.00012537  	0.000129049 	-0.000540468	0.0266773   	1.38422e-05 	7.34241e-05 	0.000597432 	-0.00189176 	9.17317e-06 	0.000366023 	0.000281485 	5.29387e-06 	1.34059e-05 	-7.93431e-05	1.23382e-05 	1.01165e-05 	-0.00441963 	0.000282946 	1.85132e-05 	0.000190547 	-0.000426307	-0.000173565	0.00373077  	1.87982e-05 	0.00127532  	0.000492939 	0.000348402 	7.03735e-06 	9.40482e-05 	0.000120243 
8.075 	2.74807e-06 	0.0258432   	1.81309e-05 	-0.000244245	0.000168564 	0.000309589 	2.12629e-06 	0.0143568   	0.000243988 	0.000309377 	0.0105872   	5.50349e-05 	-0.000410495	1.092e-05   	-0.00060306 	0.000205544 	0.000338423 	2.21275e-05 	0.000436151 	-7.90685e-05	-0.0281188  	-0.000175471	0.657782    	0.00285039  	0.00711742  	0.000199045 	-0.000107576	0.0156609   	-0.000305827	-0.000246741	1.96305e-05 	9.64792e-06 	-0.00088912 	-8.39969e-05	0.000174091 	0.000131011 	3.79482e-05 	0.00212098  	-0.000244987	0.285288    	-0.000847895	0.00537289  	0.000105678 	0.000132021 	-0.000586758	0.0248256   	1.33277e-05 	6.78609e-05 	0.000589731 	-0.00120614 	7.8663e-06  	0.000307564 	0.000239083 	4.37462e-06 	1.19502e-05 	-4.13921e-05	1.19984e-05 	1.03603e-05 	-0.00499783 	0.000280906 	1.76728e-05 	0.000108435 	-0.000427023	-0.000144978	0.00339111  	1.70627e-05 	-0.0026582  	0.000470608 	0.00038663  	6.19093e-06 	0.000121484 	0.000143688 
8.085 	2.07943e-06 	0.0238493   	1.81958e-05 	-0.000315413	0.00015849  	0.000250899 	2.38831e-06 	0.0161902   	0.000213787 	0.00025871  	0.00990304  	1.72101e-05 	-0.000412786	9.48886e-06 	-0.000594759	0.000126372 	0.000303246 	2.13728e-05 	0.000410507 	-9.9248e-05 	-0.0282738  	-0.000121146	0.647568    	0.0029601   	0.00878934  	0.00019056  	-0.000126522	0.0156721   	-0.000325605	-0.000213926	1.94272e-05 	9.30546e-06 	-0.00119997 	-0.000171677	0.00016905  	9.04036e-05 	-5.89153e-06	0.000947252 	-0.000276672	0.258058    	-0.00122326 	0.0019693   	8.55999e-05 	0.000131597 	-0.000632562	0.0227323   	1.27235e-05 	6.34256e-05 	0.000569431 	-0.000291101	6.5178e-06  	0.00024433  	0.000382334 	3.54528e-06 	1.04426e-05 	-1.56114e-06	1.15768e-05 	1.05433e-05 	-0.00576437 	0.00027385  	1.67022e-05 	2.37396e-05 	-0.000423017	-0.000115826	0.00300823  	1.52163e-05 	-0.00651386 	0.000446849 	0.000416004 	5.288e-06   	0.000145636 	0.000165401 
8.095 	1.43831e-06 	0.0215895   	1.81556e-05 	-0.000378835	0.000144979 	0.000190867 	2.56899e-06 	0.0178205   	0.000182613 	0.000190695 	0.00908876  	-1.93922e-05	-0.000412035	8.01226e-06 	-0.000581788	4.28983e-05 	0.000262289 	2.03421e-05 	0.000381631 	-0.000117697	-0.028052   	-6.40752e-05	0.62887     	0.00302837  	0.0105414   	0.000177683 	-0.000141612	0.0155336   	-0.0003481  	-0.000176563	1.89971e-05 	8.81953e-06 	-0.00146395 	-0.000254431	0.000159409 	4.80256e-05 	-4.91146e-05	7.14866e-06 	-0.000305749	0.227913    	-0.00165156 	-0.00136525 	6.62436e-05 	0.000127575 	-0.000677166	0.0204584   	1.20495e-05 	6.05466e-05 	0.000538068 	0.000842488 	5.17991e-06 	0.000178558 	0.000710426 	2.82306e-06 	8.92447e-06 	3.97231e-05 	1.10856e-05 	1.06703e-05 	-0.00663553 	0.000261771 	1.56231e-05 	-6.1034e-05 	-0.000413883	-8.6456e-05 	0.0025981   	1.33072e-05 	-0.0101885  	0.00042182  	0.000436697 	4.36901e-06 	0.000166065 	0.000184499 
8.105 	8.43938e-07 	0.0191816   	1.80142e-05 	-0.0004331  	0.000129488 	0.000131495 	2.67264e-06 	0.0192095   	0.000151407 	0.000118081 	0.00817195  	-5.34689e-05	-0.000407998	6.53467e-06 	-0.00056381 	-4.24618e-05	0.000216655 	1.90661e-05 	0.000350331 	-0.000133213	-0.0274092  	-5.20881e-06	0.603034    	0.00306378  	0.012351    	0.000160853 	-0.000151829	0.0152995   	-0.000372093	-0.000134833	1.83579e-05 	8.22066e-06 	-0.00166945 	-0.000328787	0.000145855 	4.65049e-06 	-8.98178e-05	-0.000705986	-0.000330805	0.196208    	-0.0020893  	-0.00448948 	4.86271e-05 	0.000119921 	-0.000719761	0.0180703   	1.13275e-05 	5.95338e-05 	0.00049746  	0.00217517  	3.9045e-06  	0.000112505 	0.00121625  	2.22277e-06 	7.43642e-06 	8.19448e-05 	1.05379e-05 	1.0748e-05  	-0.00752547 	0.000244806 	1.44589e-05 	-0.00014335 	-0.000399342	-5.71972e-05	0.00217737  	1.13843e-05 	-0.0135833  	0.000395671 	0.000449138 	3.47563e-06 	0.000182429 	0.000200203 
8.115 	3.13822e-07 	0.0167441   	1.7777e-05  	-0.000477031	0.000113478 	7.47514e-05 	2.70704e-06 	0.0203243   	0.000121054 	5.42011e-05 	0.00718175  	-8.37581e-05	-0.000400486	5.09945e-06 	-0.000540597	-0.000127274	0.000167567 	1.75828e-05 	0.000317344 	-0.000144739	-0.0263135  	5.44174e-05 	0.571557    	0.00307577  	0.0141907   	0.0001406   	-0.000156355	0.0150252   	-0.000396278	-8.90534e-05	1.75319e-05 	7.54343e-06 	-0.00180671 	-0.000391543	0.000129145 	-3.89127e-05	-0.000126186	-0.00120556 	-0.000350543	0.164336    	-0.00249366 	-0.00726878 	3.36398e-05 	0.000108762 	-0.000759476	0.0156375   	1.05805e-05 	6.05691e-05 	0.000449638 	0.00367932  	2.7411e-06  	4.83613e-05 	0.00188663  	1.75623e-06 	6.01689e-06 	0.000124502 	9.94728e-06 	1.07844e-05 	-0.00835013 	0.000223227 	1.32347e-05 	-0.000220724	-0.00037926 	-2.83566e-05	0.00176288  	9.49582e-06 	-0.0166071  	0.000368559 	0.000453987 	2.64908e-06 	0.000194491 	0.000211871 
