q      	cage        
0.005 	-12928.5    
0.015 	-13041.6    
0.025 	-13265.4    
0.035 	-13595.2    
0.045 	-14023.9    
0.055 	-14542.5    
0.065 	-15139.9    
0.075 	-15803.8    
0.085 	-16520.1    
0.095 	-17273.9    
0.105 	-18049.6    
0.115 	-18831.3    
0.125 	-19603      
0.135 	-20349.1    
0.145 	-21054.6    
0.155 	-21705.7    
0.165 	-22289.6    
0.175 	-22795.2    
0.185 	-23213.1    
0.195 	-23535.6    
0.205 	-23757.1    
0.215 	-23874.1    
0.225 	-23885.2    
0.235 	-23790.7    
0.245 	-23593.3    
0.255 	-23297.2    
0.265 	-22908.4    
0.275 	-22434.4    
0.285 	-21883.8    
0.295 	-21266.3    
0.305 	-20592.5    
0.315 	-19873.4    
0.325 	-19120.2    
0.335 	-18344.1    
0.345 	-17556.1    
0.355 	-16766.7    
0.365 	-15985.9    
0.375 	-15222.6    
0.385 	-14484.9    
0.395 	-13779.8    
0.405 	-13113      
0.415 	-12489.2    
0.425 	-11911.7    
0.435 	-11382.8    
0.445 	-10903.3    
0.455 	-10473.2    
0.465 	-10091.4    
0.475 	-9756.04    
0.485 	-9464.31    
0.495 	-9212.87    
0.505 	-8997.87    
0.515 	-8815.09    
0.525 	-8660.12    
0.535 	-8528.44    
0.545 	-8415.55    
0.555 	-8317.1     
0.565 	-8228.96    
0.575 	-8147.32    
0.585 	-8068.74    
0.595 	-7990.19    
0.605 	-7909.1     
0.615 	-7823.37    
0.625 	-7731.37    
0.635 	-7631.92    
0.645 	-7524.29    
0.655 	-7408.16    
0.665 	-7283.58    
0.675 	-7150.94    
0.685 	-7010.9     
0.695 	-6864.36    
0.705 	-6712.42    
0.715 	-6556.32    
0.725 	-6397.41    
0.735 	-6237.07    
0.745 	-6076.74    
0.755 	-5917.81    
0.765 	-5761.66    
0.775 	-5609.58    
0.785 	-5462.78    
0.795 	-5322.36    
0.805 	-5189.29    
0.815 	-5064.4     
0.825 	-4948.39    
0.835 	-4841.76    
0.845 	-4744.87    
0.855 	-4657.88    
0.865 	-4580.79    
0.875 	-4513.37    
0.885 	-4455.22    
0.895 	-4405.72    
0.905 	-4364.07    
0.915 	-4329.26    
0.925 	-4300.05    
0.935 	-4275.06    
0.945 	-4252.7     
0.955 	-4231.23    
0.965 	-4208.75    
0.975 	-4183.28    
0.985 	-4152.73    
0.995 	-4114.97    
1.005 	-4067.87    
1.015 	-4009.32    
1.025 	-3937.31    
1.035 	-3849.96    
1.045 	-3745.58    
1.055 	-3622.7     
1.065 	-3480.14    
1.075 	-3317.05    
1.085 	-3132.92    
1.095 	-2927.68    
1.105 	-2701.63    
1.115 	-2455.55    
1.125 	-2190.65    
1.135 	-1908.56    
1.145 	-1611.36    
1.155 	-1301.52    
1.165 	-981.877    
1.175 	-655.571    
1.185 	-326.007    
1.195 	3.21608     
1.205 	328.379     
1.215 	645.716     
1.225 	951.495     
1.235 	1242.1      
1.245 	1514.1      
1.255 	1764.34     
1.265 	1990.01     
1.275 	2188.68     
1.285 	2358.41     
1.295 	2497.72     
1.305 	2605.71     
1.315 	2681.98     
1.325 	2726.73     
1.335 	2740.67     
1.345 	2725.07     
1.355 	2681.67     
1.365 	2612.67     
1.375 	2520.65     
1.385 	2408.53     
1.395 	2279.47     
1.405 	2136.81     
1.415 	1983.99     
1.425 	1824.45     
1.435 	1661.61     
1.445 	1498.69     
1.455 	1338.75     
1.465 	1184.55     
1.475 	1038.55     
1.485 	902.826     
1.495 	779.059     
1.505 	668.512     
1.515 	572.025     
1.525 	490.011     
1.535 	422.479     
1.545 	369.053     
1.555 	329.012     
1.565 	301.333     
1.575 	284.737     
1.585 	277.746     
1.595 	278.741     
1.605 	286.017     
1.615 	297.845     
1.625 	312.523     
1.635 	328.432     
1.645 	344.077     
1.655 	358.129     
1.665 	369.455     
1.675 	377.143     
1.685 	380.517     
1.695 	379.141     
1.705 	372.819     
1.715 	361.585     
1.725 	345.684     
1.735 	325.549     
1.745 	301.775     
1.755 	275.081     
1.765 	246.282     
1.775 	216.243     
1.785 	185.853     
1.795 	155.981     
1.805 	127.446     
1.815 	100.992     
1.825 	77.2553     
1.835 	56.7514     
1.845 	39.8571     
1.855 	26.8033     
1.865 	17.6718     
1.875 	12.3989     
1.885 	10.7835     
1.895 	12.5001     
1.905 	17.1164     
1.915 	24.1137     
1.925 	32.9098     
1.935 	42.8831     
1.945 	53.3983     
1.955 	63.83       
1.965 	73.586      
1.975 	82.1287     
1.985 	88.9924     
1.995 	93.7987     
2.005 	96.267      
2.015 	96.2212     
2.025 	93.5926     
2.035 	88.418      
2.045 	80.8343     
2.055 	71.0698     
2.065 	59.4314     
2.075 	46.2905     
2.085 	32.0658     
2.095 	17.206      
2.105 	2.17102     
2.115 	-12.5859    
2.125 	-26.6354    
2.135 	-39.5882    
2.145 	-51.108     
2.155 	-60.9237    
2.165 	-68.837     
2.175 	-74.7281    
2.185 	-78.558     
2.195 	-80.367     
2.205 	-80.2715    
2.215 	-78.4568    
2.225 	-75.1678    
2.235 	-70.6985    
2.245 	-65.3788    
2.255 	-59.5609    
2.265 	-53.6056    
2.275 	-47.8678    
2.285 	-42.6834    
2.295 	-38.357     
2.305 	-35.1512    
2.315 	-33.2775    
2.325 	-32.8898    
2.335 	-34.08      
2.345 	-36.8764    
2.355 	-41.2436    
2.365 	-47.086     
2.375 	-54.2529    
2.385 	-62.545     
2.395 	-71.7232    
2.405 	-81.5188    
2.415 	-91.6438    
2.425 	-101.802    
2.435 	-111.699    
2.445 	-121.056    
2.455 	-129.616    
2.465 	-137.154    
2.475 	-143.482    
2.485 	-148.461    
2.495 	-151.996    
2.505 	-154.043    
2.515 	-154.608    
2.525 	-153.745    
2.535 	-151.551    
2.545 	-148.162    
2.555 	-143.747    
2.565 	-138.499    
2.575 	-132.626    
2.585 	-126.348    
2.595 	-119.879    
2.605 	-113.429    
2.615 	-107.189    
2.625 	-101.328    
2.635 	-95.9859    
2.645 	-91.2696    
2.655 	-87.2504    
2.665 	-83.9626    
2.675 	-81.4032    
2.685 	-79.5339    
2.695 	-78.2837    
2.705 	-77.5533    
2.715 	-77.2198    
2.725 	-77.143     
2.735 	-77.1716    
2.745 	-77.1499    
2.755 	-76.9241    
2.765 	-76.3493    
2.775 	-75.2951    
2.785 	-73.6506    
2.795 	-71.3289    
2.805 	-68.2703    
2.815 	-64.4445    
2.825 	-59.8513    
2.835 	-54.5205    
2.845 	-48.5105    
2.855 	-41.9058    
2.865 	-34.8133    
2.875 	-27.3585    
2.885 	-19.6805    
2.895 	-11.9266    
2.905 	-4.24707    
2.915 	3.21031     
2.925 	10.3056     
2.935 	16.9114     
2.945 	22.917      
2.955 	28.232      
2.965 	32.7889     
2.975 	36.545      
2.985 	39.4828     
2.995 	41.6102     
3.005 	42.9593     
3.015 	43.5843     
3.025 	43.5588     
3.035 	42.9727     
3.045 	41.9278     
3.055 	40.5344     
3.065 	38.9061     
3.075 	37.1561     
3.085 	35.3928     
3.095 	33.716      
3.105 	32.2133     
3.115 	30.958      
3.125 	30.0059     
3.135 	29.395      
3.145 	29.1442     
3.155 	29.2536     
3.165 	29.7053     
3.175 	30.4652     
3.185 	31.4847     
3.195 	32.7039     
3.205 	34.054      
3.215 	35.4609     
3.225 	36.8484     
3.235 	38.1417     
3.245 	39.2705     
3.255 	40.1719     
3.265 	40.7928     
3.275 	41.0921     
3.285 	41.0421     
3.295 	40.6295     
3.305 	39.8556     
3.315 	38.7361     
3.325 	37.3002     
3.335 	35.5891     
3.345 	33.6542     
3.355 	31.5549     
3.365 	29.3561     
3.375 	27.1254     
3.385 	24.9305     
3.395 	22.8365     
3.405 	20.9032     
3.415 	19.1831     
3.425 	17.7193     
3.435 	16.544      
3.445 	15.6776     
3.455 	15.1279     
3.465 	14.8901     
3.475 	14.9472     
3.485 	15.2713     
3.495 	15.8242     
3.505 	16.5597     
3.515 	17.4253     
3.525 	18.3644     
3.535 	19.3188     
3.545 	20.2306     
3.555 	21.0449     
3.565 	21.7114     
3.575 	22.1868     
3.585 	22.436      
3.595 	22.4334     
3.605 	22.1635     
3.615 	21.6217     
3.625 	20.8138     
3.635 	19.7559     
3.645 	18.4734     
3.655 	16.9997     
3.665 	15.3749     
3.675 	13.6439     
3.685 	11.8549     
3.695 	10.057      
3.705 	8.29841     
3.715 	6.62481     
3.725 	5.07732     
3.735 	3.69115     
3.745 	2.49432     
3.755 	1.50672     
3.765 	0.739514    
3.775 	0.194916    
3.785 	-0.133704   
3.795 	-0.26135    
3.805 	-0.21062    
3.815 	-0.0106376  
3.825 	0.304246    
3.835 	0.695927    
3.845 	1.12415     
3.855 	1.54813     
3.865 	1.92821     
3.875 	2.2274      
3.885 	2.41277     
3.895 	2.45668     
3.905 	2.33778     
3.915 	2.04171     
3.925 	1.56152     
3.935 	0.897806    
3.945 	0.0585197   
3.955 	-0.941485   
3.965 	-2.08118    
3.975 	-3.33434    
3.985 	-4.67063    
3.995 	-6.05695    
4.005 	-7.45872    
4.015 	-8.84131    
4.025 	-10.1714    
4.035 	-11.4182    
4.045 	-12.5547    
4.055 	-13.5584    
4.065 	-14.4125    
4.075 	-15.1058    
4.085 	-15.6337    
4.095 	-15.9976    
4.105 	-16.2049    
4.115 	-16.2688    
4.125 	-16.207     
4.135 	-16.0414    
4.145 	-15.7969    
4.155 	-15.5002    
4.165 	-15.1787    
4.175 	-14.8593    
4.185 	-14.5676    
4.195 	-14.3264    
4.205 	-14.1549    
4.215 	-14.0683    
4.225 	-14.0769    
4.235 	-14.1858    
4.245 	-14.3949    
4.255 	-14.6989    
4.265 	-15.0877    
4.275 	-15.5468    
4.285 	-16.058     
4.295 	-16.6003    
4.305 	-17.1507    
4.315 	-17.6851    
4.325 	-18.1798    
4.335 	-18.6118    
4.345 	-18.9603    
4.355 	-19.2073    
4.365 	-19.3383    
4.375 	-19.3429    
4.385 	-19.2152    
4.395 	-18.9541    
4.405 	-18.563     
4.415 	-18.05      
4.425 	-17.427     
4.435 	-16.7097    
4.445 	-15.9166    
4.455 	-15.0684    
4.465 	-14.1868    
4.475 	-13.2938    
4.485 	-12.411     
4.495 	-11.5584    
4.505 	-10.7535    
4.515 	-10.0109    
4.525 	-9.34178    
4.535 	-8.75305    
4.545 	-8.24745    
4.555 	-7.82337    
4.565 	-7.47498    
4.575 	-7.19249    
4.585 	-6.96259    
4.595 	-6.7691     
4.605 	-6.59361    
4.615 	-6.41631    
4.625 	-6.21686    
4.635 	-5.97525    
4.645 	-5.67266    
4.655 	-5.29231    
4.665 	-4.82015    
4.675 	-4.24552    
4.685 	-3.56164    
4.695 	-2.76591    
4.705 	-1.86013    
4.715 	-0.850482   
4.725 	0.252673    
4.735 	1.4351      
4.745 	2.67921     
4.755 	3.96465     
4.765 	5.26908     
4.775 	6.56895     
4.785 	7.84034     
4.795 	9.05989     
4.805 	10.2056     
4.815 	11.2575     
4.825 	12.1988     
4.835 	13.0159     
