q      	cage        
2.805 	-74.3199    
2.815 	-71.3028    
2.825 	-67.4696    
2.835 	-62.8554    
2.845 	-57.5231    
2.855 	-51.561     
2.865 	-45.0788    
2.875 	-38.2032    
2.885 	-31.0731    
2.895 	-23.8344    
2.905 	-16.6342    
2.915 	-9.61595    
2.925 	-2.91408    
2.935 	3.35043     
2.945 	9.07408     
2.955 	14.174      
2.965 	18.5904     
2.975 	22.2877     
2.985 	25.2556     
2.995 	27.5079     
3.005 	29.0816     
3.015 	30.0345     
3.025 	30.4425     
3.035 	30.3957     
3.045 	29.9949     
3.055 	29.347      
3.065 	28.5608     
3.075 	27.7431     
3.085 	26.9939     
3.095 	26.4032     
3.105 	26.0478     
3.115 	25.9887     
3.125 	26.269      
3.135 	26.9129     
3.145 	27.9256     
3.155 	29.293      
3.165 	30.9836     
3.175 	32.9497     
3.185 	35.13       
3.195 	37.4524     
3.205 	39.8371     
3.215 	42.2002     
3.225 	44.4569     
3.235 	46.5251     
3.245 	48.3287     
3.255 	49.8003     
3.265 	50.8841     
3.275 	51.5374     
3.285 	51.7326     
3.295 	51.4577     
3.305 	50.7168     
3.315 	49.5292     
3.325 	47.9293     
3.335 	45.9641     
3.345 	43.6919     
3.355 	41.1797     
3.365 	38.5005     
3.375 	35.7308     
3.385 	32.9472     
3.395 	30.2241     
3.405 	27.6308     
3.415 	25.2291     
3.425 	23.0714     
3.435 	21.1989     
3.445 	19.6404     
3.455 	18.4119     
3.465 	17.5163     
3.475 	16.9436     
3.485 	16.6718     
3.495 	16.6684     
3.505 	16.8918     
3.515 	17.2932     
3.525 	17.819      
3.535 	18.413      
3.545 	19.0184     
3.555 	19.5807     
3.565 	20.0491     
3.575 	20.3791     
3.585 	20.5337     
3.595 	20.4845     
3.605 	20.2132     
3.615 	19.7113     
3.625 	18.9809     
3.635 	18.0337     
3.645 	16.8906     
3.655 	15.5804     
3.665 	14.1385     
3.675 	12.6054     
3.685 	11.0244     
3.695 	9.4405      
3.705 	7.89766     
3.715 	6.43755     
3.725 	5.09763     
3.735 	3.9097      
3.745 	2.89863     
3.755 	2.0815      
3.765 	1.46695     
