q      	H_200-H_21   	H_200-C_7    	C_100-N_2    	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	H_100-N_2    	C_100-H_19   	H_200-H_16   	C_100-C_3    	H_100-C_14   	H_200-Br_23  	C_100-C_13   	C_100-H_15   	H_200-H_22   	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_8    	H_200-C_12   	C_100-C_8    	C_100-C_5    	H_200-C_3    	C_100-Br_23  	H_100-Br_23  	C_100-C_10   	H_100-C_13   	H_200-C_5    	H_100-H_17   	C_100-N_1    	H_100-C_8    	H_200-H_15   	H_200-Br_24  	C_100-C_7    	C_100-H_22   	H_200-C_11   	C_100-H_17   	H_100-C_7    	C_100-Br_24  	C_100-C_14   	H_100-C_12   	C_100-H_21   	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	H_100-N_1    	C_100-C_11   	H_100-H_16   	H_200-N_1    	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-Br_24  	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	H_200-N_2    	C_100-H_18  
0.005 	-8.44931    	-49.1191    	-548.889    	-440.052    	-7.12235    	-63.5717    	-41.9508    	-53.9025    	-53.5689    	-7.57405    	-389.4      	-43.3563    	-337.795    	-588.173    	-36.1021    	-6.64151    	-43.5291    	-47.7152    	-6.61939    	-49.675     	-45.7794    	-316.534    	-364.522    	-60.0268    	-1786.66    	-249.981    	-402.174    	-44.2282    	-53.5542    	-8.44976    	-582.857    	-40.513     	-7.53371    	-267.48     	-247.789    	-33.5541    	-56.4877    	-23.9336    	-48.4179    	-1815.39    	-493.303    	-44.3996    	-58.9381    	-350.085    	-8.66416    	-57.9203    	-49.9061    	-53.8805    	-422.652    	-8.67673    	-78.758     	-41.3944    	-306.178    	-7.85717    	-7.08943    	-42.8551    	-8.61582    	-7.00276    	-62.8093    	-7.13215    	-57.7746    	-65.1258    	-52.0681    	-256.919    	-6.80745    	-457.618    	-51.9305    	-44.8768    	-6.1429     	-41.2116    	-77.6061    	-39.4046    
0.015 	-8.5569     	-49.8273    	-551.365    	-442.417    	-7.22073    	-63.9778    	-42.6754    	-54.7846    	-54.037     	-7.70932    	-392.372    	-44.0045    	-339.793    	-588.087    	-36.9102    	-6.75057    	-44.1754    	-48.5037    	-6.74381    	-50.3146    	-46.4137    	-320.176    	-367.541    	-60.5704    	-1802.18    	-253.061    	-404.845    	-44.8714    	-54.1321    	-8.56677    	-584.724    	-41.2673    	-7.64536    	-270.494    	-252.695    	-34.305     	-57.0574    	-25.016     	-49.123     	-1831.72    	-494.314    	-45.0434    	-59.4859    	-353.792    	-8.76284    	-58.4713    	-50.5374    	-54.7328    	-425.046    	-8.78819    	-79.2885    	-42.1885    	-309.639    	-7.94633    	-7.2285     	-43.6219    	-8.71851    	-7.12404    	-63.2219    	-7.24514    	-58.242     	-65.6231    	-52.7578    	-259.895    	-6.91286    	-459.113    	-52.5517    	-45.6177    	-6.27008    	-41.9393    	-78.1878    	-40.1741    
0.025 	-8.76968    	-51.2294    	-556.282    	-447.11     	-7.41536    	-64.7821    	-44.1094    	-56.531     	-54.9636    	-7.97688    	-398.265    	-45.2871    	-343.746    	-587.923    	-38.5096    	-6.9664     	-45.4544    	-50.0634    	-6.99009    	-51.5818    	-47.6696    	-327.39     	-373.521    	-61.6478    	-1832.86    	-259.149    	-410.131    	-46.1439    	-55.2768    	-8.79832    	-588.436    	-42.7605    	-7.8664     	-276.452    	-262.407    	-35.7906    	-58.185     	-27.1576    	-50.5185    	-1863.99    	-496.321    	-46.3174    	-60.5693    	-361.13     	-8.95798    	-59.5615    	-51.7865    	-56.4203    	-429.788    	-9.00873    	-80.3409    	-43.7603    	-316.492    	-8.12282    	-7.50372    	-45.1391    	-8.92154    	-7.36421    	-64.0392    	-7.46857    	-59.1677    	-66.609     	-54.1229    	-265.779    	-7.1214     	-462.078    	-53.7798    	-47.0842    	-6.52177    	-43.379     	-79.3412    	-41.6976    
0.035 	-9.0829     	-53.2976    	-563.566    	-454.054    	-7.70203    	-65.9687    	-46.223     	-59.1062    	-56.3299    	-8.37086    	-406.973    	-47.1765    	-349.566    	-587.696    	-40.8665    	-7.28452    	-47.3388    	-52.36      	-7.35321    	-53.4523    	-49.5223    	-338.043    	-382.349    	-63.2397    	-1878.02    	-268.105    	-417.922    	-48.0182    	-56.9662    	-9.13949    	-593.948    	-44.9616    	-8.19233    	-285.217    	-276.727    	-37.9795    	-59.8474    	-30.3123    	-52.5752    	-1911.43    	-499.298    	-48.1951    	-62.1642    	-371.948    	-9.24521    	-61.168     	-53.6265    	-58.9094    	-436.784    	-9.33362    	-81.8981    	-46.0773    	-326.604    	-8.38303    	-7.90932    	-47.3748    	-9.22029    	-7.71853    	-65.2454    	-7.79742    	-60.5341    	-68.0658    	-56.1348    	-274.436    	-7.4286     	-466.462    	-55.5865    	-49.2463    	-6.89269    	-45.4995    	-81.0465    	-43.9452    
0.045 	-9.48958    	-55.9906    	-573.108    	-463.137    	-8.07452    	-67.5144    	-48.9722    	-62.458     	-58.108     	-8.88265    	-418.343    	-49.6324    	-357.128    	-587.429    	-43.9317    	-7.69832    	-49.7889    	-55.3433    	-7.82574    	-55.8908    	-51.9349    	-351.936    	-393.859    	-65.3175    	-1936.64    	-279.722    	-428.054    	-50.4537    	-59.1681    	-9.58305    	-601.194    	-47.8257    	-8.61657    	-296.589    	-295.366    	-40.8253    	-62.0102    	-34.4128    	-55.2501    	-1972.9     	-503.201    	-50.6375    	-64.2351    	-386.02     	-9.61808    	-63.2569    	-56.0183    	-62.1506    	-445.897    	-9.75594    	-83.9348    	-49.0919    	-339.777    	-8.72164    	-8.4368     	-50.2818    	-9.60793    	-8.18003    	-66.817     	-8.22431    	-62.3149    	-69.9678    	-58.7518    	-285.667    	-7.82786    	-472.191    	-57.9307    	-52.0598    	-7.37507    	-48.255     	-83.2743    	-46.8725    
0.055 	-9.98066    	-59.2548    	-584.767    	-474.213    	-8.52481    	-69.389     	-52.3002    	-66.5188    	-60.2617    	-9.50105    	-432.176    	-52.6022    	-366.265    	-587.151    	-47.6412    	-8.19924    	-52.7529    	-58.9481    	-8.39808    	-58.8511    	-54.8596    	-368.812    	-407.834    	-67.8442    	-2007.42    	-293.731    	-440.317    	-53.3983    	-61.8403    	-10.1196    	-610.085    	-51.2941    	-9.13055    	-310.307    	-317.945    	-44.2678    	-64.6293    	-39.3714    	-58.4875    	-2046.92    	-507.976    	-53.5939    	-66.736     	-403.058    	-10.0683    	-65.7843    	-58.9106    	-66.0795    	-456.947    	-10.2667    	-86.4178    	-52.7423    	-355.753    	-9.13177    	-9.07515    	-53.7989    	-10.0756    	-8.73969    	-68.7236    	-8.73967    	-64.4761    	-72.2811    	-61.9194    	-299.217    	-8.31064    	-479.168    	-60.7587    	-55.4673    	-7.95885    	-51.5862    	-85.9866    	-50.4219    
0.065 	-10.5453    	-63.0258    	-598.368    	-487.103    	-9.0432     	-71.5557    	-56.1384    	-71.2072    	-62.7476    	-10.2126    	-448.228    	-56.0229    	-376.778    	-586.891    	-51.9183    	-8.77692    	-56.1688    	-63.0959    	-9.05863    	-62.2775    	-58.2388    	-388.359    	-424.012    	-70.7748    	-2088.78    	-309.81     	-454.455    	-56.7886    	-64.932     	-10.738     	-620.511    	-55.2963    	-9.72396    	-326.058    	-344.01     	-48.2346    	-67.6511    	-45.0833    	-62.2205    	-2131.74    	-513.555    	-57.0032    	-69.6116    	-422.713    	-10.5857    	-68.6971    	-62.242     	-70.6185    	-469.718    	-10.855     	-89.3068    	-56.954     	-374.222    	-9.60509    	-9.81112    	-57.8527    	-10.6128    	-9.38657    	-70.9285    	-9.33199    	-66.9763    	-74.9649    	-65.5722    	-314.775    	-8.86663    	-487.275    	-64.0061    	-59.3996    	-8.63188    	-55.4216    	-89.1368    	-54.5241    
0.075 	-11.1709    	-67.2292    	-613.707    	-501.599    	-9.6186     	-73.9725    	-60.4081    	-76.4294    	-65.5154    	-11.002     	-466.219    	-59.8221    	-388.438    	-586.686    	-56.6748    	-9.41949    	-59.965     	-67.6972    	-9.79409    	-66.1056    	-62.0061    	-410.216    	-442.091    	-74.0571    	-2178.9     	-327.589    	-470.175    	-60.5526    	-68.3846    	-11.4251    	-632.343    	-59.7511    	-10.385     	-343.484    	-373.041    	-52.6427    	-71.014     	-51.4279    	-66.372     	-2225.35    	-519.854    	-60.7953    	-72.7984    	-444.584    	-11.1589    	-71.9344    	-65.942     	-75.6786    	-483.96     	-11.5085    	-92.555     	-61.6415    	-394.828    	-10.132     	-10.6295    	-62.3585    	-11.2073    	-10.1081    	-73.3889    	-9.98807    	-69.7682    	-77.9717    	-69.6351    	-331.989    	-9.48403    	-496.374    	-67.5993    	-63.7776    	-9.38028    	-59.6792    	-92.6712    	-59.0991    
0.085 	-11.8439    	-71.7829    	-630.555    	-517.467    	-10.2387    	-76.5923    	-65.0224    	-82.082     	-68.5094    	-11.8522    	-485.835    	-63.9199    	-400.989    	-586.566    	-61.8137    	-10.1138    	-64.0628    	-72.6531    	-10.5897    	-70.264     	-66.0878    	-433.984    	-461.736    	-77.6333    	-2275.79    	-346.663    	-487.154    	-64.6104    	-72.1332    	-12.1667    	-645.431    	-64.5692    	-11.1005    	-362.192    	-404.46     	-57.4006    	-74.65      	-58.2727    	-70.8571    	-2325.54    	-526.779    	-64.8928    	-76.2263    	-468.227    	-11.7751    	-75.4289    	-69.9328    	-81.1612    	-499.397    	-12.2134    	-96.1097    	-66.7104    	-417.172    	-10.7019    	-11.5135    	-67.2231    	-11.8457    	-10.8905    	-76.0576    	-10.6934    	-72.7988    	-81.2487    	-74.025     	-350.469    	-10.1498    	-506.31     	-71.4572    	-68.5136    	-10.1887    	-64.2688    	-96.5293    	-64.0588    
0.095 	-12.5494    	-76.5984    	-648.655    	-534.451    	-10.8905    	-79.3643    	-69.8884    	-88.0539    	-71.67      	-12.745     	-506.738    	-68.2305    	-414.158    	-586.565    	-67.2314    	-10.8458    	-68.3777    	-77.8579    	-11.4298    	-74.6758    	-70.4048    	-459.23     	-482.586    	-81.4403    	-2377.31    	-366.597    	-505.04     	-68.8767    	-76.1077    	-12.9474    	-659.607    	-69.6546    	-11.8565    	-381.76     	-437.649    	-62.4101    	-78.4857    	-65.4762    	-75.5845    	-2429.95    	-534.224    	-69.2123    	-79.8206    	-493.168    	-12.4208    	-79.1082    	-74.1307    	-86.9603    	-515.727    	-12.9548    	-99.9134    	-72.0596    	-440.828    	-11.3034    	-12.445     	-72.3466    	-12.5138    	-11.7187    	-78.8829    	-11.4324    	-76.011     	-84.7381    	-78.6528    	-369.798    	-10.85      	-516.913    	-75.4932    	-73.5137    	-11.0406    	-69.0935    	-100.646    	-69.3083    
